 DVR ; Tuner Sharing ; Hard Disk Pooling ; Shared Media Database ; Home Automation ; Media Extenders ; Placeshifting/Spaceshifting ; Two-way Remote Control ; Second Screen 
 Rh| Beyond TV ; Yes ; Yes ; No ; No ; Yes ; Yes ; No ; unk 
 Rh| EyeTV ; unk ; unk ; Yes ; unk ; unk ; Yes ; unk ; unk 
 Rh| NextPVR ; Yes ; unk ; unk ; unk ; unk ; unk ; unk ; unk 
 Rh| Kodi (formerly XBMC) ; Yes ; Yes ; Yes ; Yes4 ; Yes ; unk ; Yes3 ; unk 
 Rh| MediaPortal ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes4 ; unk 
 Rh| MediaPhoenix/ShowShifter ; unk ; unk ; unk ; unk ; unk ; unk ; unk ; unk 
 Rh| MythTV ; Yes ; Yes ; Yes ; Yes3 ; Yes ; Yes ; Yes ; unk 
 Rh| SageTV ; Yes ; Yes ; unk ; unk ; Yes ; Yes ; unk ; unk 
 Rh| Arcsoft TotalMedia Theatre ; Yes ; Yes ; Yes ; No ; Yes ; Yes ; No ; unk 
 Rh| Windows Media Center ; Yes6 ; Yes7 ; Yes ; Yes2 ; Yes ; Yes5 ; Yes2 ; unk 
 Rh| VBox@TV ; Yes ; unk ; Yes ; unk ; unk ; Yes ; Yes ; unk 
