 Name ; Version ; Date 
 rh|BProlog ;8.1 ;2014-02-23 
 rh|JIProlog ;4.1.6.1 ;2018-03-17 
 rh|Ciao ;1.19.0 ;2020-03-21 
 rh|DOS-PROLOG ;6.0 ; 
 rh|ECLiPSe ;7.0_54 ;2020-02-26 
 rh|GNU Prolog ;1.4.5 ;2018-07-14 
 rh|Jekejeke Prolog ;1.3.1 ;2018-11-02 
 rh|JLog ;1.3.6 ;2007-09-13 
 rh|JScriptLog ;0.7.5 beta ;2007-09-10 
 rh|jTrolog ; ; 
 rh|LPA-PROLOG ;7.0 ;2019-12-19 
 rh|Open Prolog ; ; 
 rh|Poplog Prolog ;V15.65  ;2015-10-14 
 rh|SICStus Prolog ;4.6.0 ;2020-05-04 
 rh|Strawberry Prolog ;3.0 Beta 4 ;2013-12-10 
 rh|SWI-Prolog ;8.2.0 ;2020-05-27 
 rh|tuProlog ;3.2.1 ;2017-02-14 
 rh|Visual Prolog ;9.0, Build 902 ;2019-04-26 
 rh|XSB Prolog ;3.8 ;2017-10-29 
 rh|YAProlog ;6.3.3 ;2013-01-21 
