 Name ; User interface ; SSH1 ; SSH2 ; Additional protocols  ; Additional protocols  ; Port forwarding and Tunneling  ; Port forwarding and Tunneling  ; Port forwarding and Tunneling  ; Sessionmultiplexingmux ; Kerberos ; IPv6 ; Terminal ; SFTP/SCP ; Proxy clientconnectViaProxy 
 Name ; User interface ; SSH1 ; SSH2 ; TELNET ; rlogin ; Portforwarding ; SOCKSSOCKS ; VPNVPN ; Sessionmultiplexingmux ; Kerberos ; IPv6 ; Terminal ; SFTP/SCP ; Proxy clientconnectViaProxy 
rh| AbsoluteTelnet ; GUI (multi-session,single-window) ; yes ; yes ; yes ; no ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yes ; SOCKS 4, 5, HTTP 
rh| Bitvise SSH Client ; GUI or command line ; no ; yes ; no ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; SOCKS 4, 5 
rh| Dropbear ; command line ; no ; yes ; no ; no ; yes ; no ; no ; no ; no ; yes ; yes ; yes ;  dunno 
rh| lsh ; command line ; no ; yes ; yes ; no ; yes ; yes ; no ; yes ; no ; yes ; yes ; yes ;  dunno 
rh| OpenSSH (OpenBSD Secure Shell) ; command line ; noopenssh-drops-ssh1 ; yes ; no ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ;   ProxyCommand  
rh| PuTTY ; GUI or command line ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yesputty_kerberos ; yes ; yes ; yesscp_bin ;  SOCKS 4, 5, HTTP, Telnet, Local 
rh| SecureCRT ; GUI ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yes ; SOCKS 4, 5, HTTP, Telnet, Generic 
rh| SmartFTP ; GUI (multi-session,single-window) ; no ; yes ; yes ; no ; no ; no ; no ; no ; yes ; yes ; yes ; yes ; SOCKS 4, 5, HTTP 
rh| Tera Term ; GUI ; yes ; yes ; yes ; no ; yes ; no ; no ; no ; no ; yes ; yes ; SCP ;  SOCKS 4, 5, HTTP, Telnet 
rh| TN3270 Plus ; GUI ; yes ; yes ; yes ; no ; no ; yes ; no ; yes ; no ; yes ; yes ; no ;  SOCKS 4 
rh| TtyEmulator ; GUI or command line ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; no ; no ; yes ; no ;  SOCKS 4,4a, 5, HTTP Local 
rh| WinSCP winscp_contributions ; GUI or command line ; yes ; yes ; no ; no ; limitedwinscp_tunneling ; no ; no ; no ; yes ; yes ; simple ; yes ;  
rh| wolfSSH ; command line ; no ; yes ; no ; no ; yes ; no ; no ; no ; no ; yes ; simple ; yes ;  
rh| ZOC ; TDI or command line ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; no ; yes ; yes ; SCP through terminalzoc_scp_through_terminal ;  SOCKS 4, 5, HTTP, Jumpserver 
 Name ; User interface ; SSH1 ; SSH2 ; Additional protocols  ; Additional protocols  ; Tunneling  ; Tunneling  ; Tunneling  ; Sessionmultiplexingmux ; Kerberos ; IPv6 ; Terminal ; SFTP/SCP ; Proxy clientconnectViaProxy 
 Name ; User interface ; SSH1 ; SSH2 ; TELNET ; rlogin ; Portforwarding ; SOCKSSOCKS ; VPNVPN ; Sessionmultiplexingmux ; Kerberos ; IPv6 ; Terminal ; SFTP/SCP ; Proxy clientconnectViaProxy 
