 Implementation ; SSL 2.0 (insecure){{cite web|url= ; SSL 3.0 (insecure)RFC 6101 ; TLS 1.0RFC 2246 ; TLS 1.1RFC 4346 ; TLS 1.2 ; TLS 1.3 ; DTLS 1.0RFC 4347 ; DTLS 1.2 
 Botan ; No ; No{{cite web|url= 1.11.13, 2015-01-11 — Botan|date=2015-01-11|accessdate=2015-01-16|url-status=dead|archiveurl= ; Yes ; Yes ; yes ; ; Yes ; yes 
 BoringSSL ;  ;  ; Yes ; Yes ; yes ; yes ; Yes ; yes 
Bouncy Castle ; No ; No ; Yes ; Yes ; yes ; Yes(draft version) ; Yes ; yes 
 cryptlib ; No ; Disabled by default at compile time ; Yes ; Yes ; yes ; ; No ; no 
 GnuTLS ; Noa ; Disabled by default ; Yes ; Yes ; yes ; Yes ; Yes ; yes 
 JSSE ; Noa ; Disabled by default ; Yes ; Yes ; yes ; Yes(JDK 11+) ; Yes ; yes 
 LibreSSL ; No ; No ; Yes ; Yes ; yes ; yes ; Yes ; no 
 MatrixSSL ; No ; Disabled by default at compile time{{cite web|url= - News|accessdate=2014-11-09|url-status=dead|archiveurl= ; Yes ; Yes ; yes ; yes ; Yes ; yes 
 Mbed TLS ; No ; Disabled by default ; Yes ; Yes ; yes ; no ; Yes ; yes 
 NSS ; Nob ; Disabled by default ; Yes ; Yes ; yes ; yes ; Yes ; yes 
 OpenSSL ; No ; Disabled by default ; Yes ; Yes ; yes ; yes ; Yes ; yes 
 RSA BSAFE ; No ; Disabled by default ; Yes ; Yes ; yes ; no ; No ; no 
 S2n ; No ; Disabled by default ; Yes ; Yes ; yes ; ; No ; no 
 SChannel XP, 2003 ; Disabled by default in MSIE 7 ; Enabled by default ; Enabled by default in MSIE 7 ; No ; no ; ; No  ; no 
 SChannel Vista ; Disabled by default ; Enabled by default ; Yes ; No ; no ; ; No  ; no 
 SChannel 2008 ; Disabled by default ; Enabled by default ; Yes ; Disabled by default (KB4019276) ; Disabled by default (KB4019276) ; ; No ; no 
 SChannel 7, 2008R2 ; Disabled by default ; Disabled by default in MSIE 11 ; Yes ; Enabled by default in MSIE 11 ; Enabled by default in MSIE 11 ; ; Yes  ; no 
 SChannel 8, 2012 ; Disabled by default ; Enabled by default ; Yes ; Disabled by default ; Disabled by default ; ; Yes ; no 
 SChannel 8.1, 2012R2, 10 v1507 & v1511 ; Disabled by default ; Disabled by default in MSIE 11 ; Yes ; Yes ; yes ; ; Yes ; no 
 SChannel 10 v1607 / 2016 ; No ; Disabled by default ; Yes ; Yes ; yes ; ; Yes ; yes 
Secure Transport OS X 10.2-10.7, iOS 1-4 ; Yes ; Yes ; Yes ; No ; no ; ; No ; no 
 Secure Transport OS X 10.8-10.10, iOS 5-8 ; Noc ; Yes ; Yes ; Yesc ; yesc ; ; Yesc ; no 
 Secure Transport OS X 10.11, iOS 9 ; No ; Noc ; Yes ; Yes ; yes ; ; Yes ; Unknown 
 Secure Transport OS X 10.13, iOS 11 ; No ; Noc ; Yes ; Yes ; yes ; Yes(draft version) ; Yes ; Unknown 
 wolfSSL ; No ; Disabled by default ; Yes ; Yes ; yes ; yes ; Yes ; yes 
 Erlang/OTP SSL application ; No ; Disabled by default ; Yes ; Yes ; yes ;  Not yet ; Yes ; yes 
 Implementation ; SSL 2.0 (insecure) ; SSL 3.0 (insecure) ; TLS 1.0 ; TLS 1.1 ; TLS 1.2 ; TLS 1.3 ; DTLS 1.0 ; DTLS 1.2  
