Implementation ;FIPS 140-1, FIPS 140-2{{cite web|url= - Cryptographic Module Validation Program - CSRC|website=csrc.nist.gov|access-date=2014-03-18|archive-url= ;FIPS 140-1, FIPS 140-2{{cite web|url= - Cryptographic Module Validation Program - CSRC|website=csrc.nist.gov|access-date=2014-03-18|archive-url= ;Common Criteria ;Embedded FIPS Solution 
Implementation ; Level 1 ;Level 2date=January 2015 ;Common Criteria ;Embedded FIPS Solution 
 Botan{{cite web|url="Is botan FIPS 140 certified?" Frequently Asked Questions — Botan|access-date=2014-11-16|archive-url= ; ; ; ; 
Bouncy Castle ;BC-FJA 1.0.0 (#2768) BC-FJA 1.0.1 (#3152) ; ; ; 
 cryptlib ; ; ; ; 
 GnuTLS"While, as a free software project, we are not actively pursuing this kind of certification, GnuTLS has been FIPS-140-2 certified in several systems by third parties." GnuTLS 3.5.6 B.5 Certification ; Red Hat Enterprise Linux GnuTLS Cryptographic Module (#2780) ; ; ; 
 JSSE ; ; ; ; 
 LibreSSL ; no support ; ; ; 
 MatrixSSL ; SafeZone FIPS Cryptographic Module: 1.1 (#2389) ; ; ; 
 Mbed TLS ; ; ; ; 
 NSS ; Network Security Services: 3.2.2 (#247)Network Security Services Cryptographic Module: 3.11.4 (#815), 3.12.4 (#1278), 3.12.9.1 (#1837) ; Netscape Security Module: 1 (#7with Sun Sparc 5 w/ Sun Solaris v 2.4SE (ITSEC-rated)), 1.01 (#47with Sun Ultra-5 w/ Sun Trusted Solaris version 2.5.1 (ITSEC-rated))Network Security Services: 3.2.2 (#248with Solaris v8.0 with AdminSuite 3.0.1 as specified in UK IT SEC CC Report No. P148 EAL4 on a SUN SPARC Ultra-1)Network Security Services Cryptographic Module: 3.11.4 (#814with these platforms, Red Hat Enterprise Linux Version 4 Update 1 AS on IBM xSeries 336 with Intel Xeon CPU, Trusted Solaris 8 4/01 on Sun Blade 2500 Workstation with UltraSPARC IIIi CPU), 3.12.4 (#1279, #1280with these platforms, Red Hat Enterprise Linux v5 running on an IBM System x3550, Red Hat Enterprise Linux v5 running on an HP ProLiant DL145, Sun Solaris 10 5/08 running on a Sun SunBlade 2000 workstation, Sun Solaris 10 5/08 running on a Sun W2100z workstation) ; ; 
 OpenSSL{{cite web|url= and FIPS 140-2|access-date=2014-11-15|archive-url= ; OpenSSL FIPS Object Module: 1.0 (#624), 1.1.1 (#733), 1.1.2 (#918), 1.2, 1.2.1, 1.2.2, 1.2.3 or 1.2.4 (#1051)2.0, 2.0.1, 2.0.2, 2.0.3, 2.0.4, 2.0.5, 2.0.6, 2.0.7 or 2.0.8 (#1747) ;  ; ; 
 RSA BSAFE Micro-Edition Suite ; Crypto-C ME 3.0.0.1 (#1092)Crypto-C ME 4.0.1 / 4.0.2.5 (#2047, #2056, #2097, #2217)Crypto-C ME 4.1 / 4.1.0.1 / 4.1.2 / 4.1.3.2 (#2294, #2300) ; ; ; yes 
 RSA BSAFE SSL-J ; Crypto-J 6.0 (#1785, #1786)Crypto-J 6.1 / 6.1.1.0.1 (#2057, #2058)Crypto-J 6.2 / 6.2.1.1 (#2468, #2469)Crypto-J 6.2.4 (#3172, #3184) ; ; ; yes 
 SChannelMicrosoft FIPS 140 Validated Cryptographic Modules ; Cryptographic modules in Windows NT 4.0, 95, 95, 2000, XP, Server 2003, CE 5, CE 6, Mobile 6.x, Vista, Server 2008, 7, Server 2008 R2, 8, Server 2012, RT, Surface, Phone 8See details on Microsoft FIPS 140 Validated Cryptographic Modules ;  ; ; 
Secure Transport ; Apple FIPS Cryptographic Module: 1.0 (OS X 10.6, #1514), 1.1 (OS X 10.7, #1701)Apple OS X CoreCrypto Module, CoreCrypto Kernel Module: 3.0 (OS X 10.8, #1964, #1956), 4.0 (OS X 10.9, #2015, #2016)Apple iOS CoreCrypto Module, CoreCrypto Kernel Module: 3.0 (iOS 6, #1963, #1944), 4.0 (iOS 7 , #2020, #2021) ;  ; ; 
 wolfSSL ; wolfCrypt FIPS Module: 4.0 (#3389)See details on NIST certificate for validated Operating EnvironmentswolfCrypt FIPS Module: 3.6.0 (#2425)See details on NIST certificate for validated Operating Environments ; ; ; yes 
Implementation ; Level 1 ; Level 2 ;Common Criteria ;Embedded FIPS Solution 
Implementation ;FIPS 140-1, FIPS 140-2 ;FIPS 140-1, FIPS 140-2 ;Common Criteria ;Embedded FIPS Solution 
