 Implementation ; Application-defined ; PKIX path validationRFC 5280 ; CRLRFC 3280 ; OCSPRFC 2560 ; DANE (DNSSEC)RFC 6698, RFC 7218 ; Trust on First Use (TOFU) ; CAAissn=2070-1721 ; CTissn=2070-1721 
 Botan ; yes ; yes ; yes ; yes ; no ; no ; unknown ; unknown 
 Bouncy Castle ; yes ; yes ; yes ; yes ; yes ; no ; unknown ; unknown 
 cryptlib ; yes ; yes ; yes ; yes ; no ; no ; unknown ; unknown 
 GnuTLS ; yes ; yes ; yes ; yes ; yes ; yes ; unknown ; unknown 
 JSSE ; yes ; yes ; yes ; yes ; no ; no ; unknown ; unknown 
 LibreSSL ; yes ; yes ; yes ; yes ; no ; no ; unknown ; unknown 
 MatrixSSL ; yes ; yes ; yes ; yes{{cite web|url= 3.8.3|accessdate=2017-01-18|archive-url= ; no ; no ; unknown ; unknown 
 Mbed TLS ; yes ; yes ; yes ; no ; no ; no ; unknown ; unknown 
 NSS ; yes ; yes ; yes ; yes ; no ; no ; unknown ; unknown 
 OpenSSL ; yes ; yes ; yes ; yes ; yes ; no ; unknown ; yes 
 RSA BSAFE ; yes ; yes ; yes ; yes ; no ; no ; unknown ; unknown 
 SChannel ; unknown ; yes ; yes ; yes ; no ; no ; unknown ; unknown 
 Secure Transport ; yes ; yes ; yes ; yes ; no ; no ; unknown ; unknown 
 wolfSSL ; yes ; yes ; yes ; yes ; no ; no ; unknown ; unknown 
Erlang/OTP SSL application ; yes ; yes ; yes ; no ; no ; no ; unknown ; unknown 
 Implementation ; Application-defined ; PKIX path validation ; CRL ; OCSP ; DANE (DNSSEC) ; Trust on First Use (TOFU) ; CAA ; CT 
