Implementation ;Block cipher with mode of operation ;Block cipher with mode of operation ;Block cipher with mode of operation ;Block cipher with mode of operation ;Stream cipher ;Stream cipher 
Implementation ; IDEA CBC(insecure) ; DES CBC(insecure) ; DES-40 CBC(EXPORT, insecure)40 bits strength of cipher suites were designed to operate at reduced key lengths in order to comply with US regulations about the export of cryptographic software containing certain strong encryption algorithms (see Export of cryptography from the United States). These weak suites are forbidden in TLS 1.1 and later. ; RC2-40 CBC(EXPORT, insecure) ; RC4-128(insecure)The RC4 attacks weaken or break RC4 used in SSL/TLS. Use of RC4 is prohibited by RFC 7465. ; RC4-40(EXPORT, insecure)The RC4 attacks weaken or break RC4 used in SSL/TLS. 
 Botan ; No ; No ; No ; No ; No ; No 
 BoringSSL ; No ; No ; No ; No ; Disabled by default at compile time ; No 
 cryptlib ; No ; Disabled by default at compile time ; No ; No ; Disabled by default at compile time ; No 
 GnuTLS ; No ; No ; No ; No ; Disabled by default ; No 
 JSSE ; No ; Disabled by default ; Disabled by default ; No ; Disabled by default ; Disabled by default  
 LibreSSL ; Yes ; Yes ; No ; No ; Yes ; No 
 MatrixSSL ; Yes ; No ; No ; No ; Disabled by default ; No 
 Mbed TLS ; No ; Disabled by default at compile time ; No ; No ; Disabled by default at compile time ; No 
 NSS ; Yes ; Disabled by default ; Disabled by default ; Disabled by default ; Lowest priority ; Disabled by default 
 OpenSSL ; Disabled by default ; Disabled by default ; No ; No ; Disabled by default ; No 
 RSA BSAFE Micro-Edition Suite ; No ; No ; No ; No ; Disabled by default ; No 
 RSA BSAFE SSL-J ; No ; Disabled by default ; Disabled by default ; No ; Disabled by default ; Disabled by default 
 SChannel XP/2003 ; No ; Yes ; Yes ; Yes ; Yes ; Yes 
 SChannel Vista/2008 ; No ; Disabled by default ; Disabled by default ; Disabled by default ; Yes ; Disabled by default 
 SChannel 7/2008R2 ; No ; Disabled by default ; Disabled by default ; Disabled by default ; Lowest prioritywill be disabled soon ; Disabled by default 
 SChannel 8/2012 ; No ; Disabled by default ; Disabled by default ; Disabled by default ; Only as fallback ; Disabled by default 
 SChannel 8.1/2012R2 ; No ; Disabled by default ; Disabled by default ; Disabled by default ; Disabled by default ; Disabled by default 
 Schannel 10 ; No ; Disabled by default ; Disabled by default ; Disabled by default ; Disabled by default ; Disabled by default 
 Secure Transport OS X 10.6 ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes 
 Secure Transport OS X 10.7 ; Yes ; unknown ; unknown ; unknown ; Yes ; unknown 
 Secure Transport OS X 10.8-10.9 ; Yes ; Disabled by default ; Disabled by default ; Disabled by default ; Yes ; Disabled by default 
 Secure Transport OS X 10.10-10.11 ; Yes ; Disabled by default ; Disabled by default ; Disabled by default ; Lowest priority ; Disabled by default 
 Secure Transport macOS 10.12 ; Yes ; Disabled by default ; Disabled by default ; Disabled by default ; Disabled by default ; Disabled by default 
 wolfSSL ; Disabled by default ; No ; No ; No ; Disabled by default ; No 
Erlang/OTP SSL application ; no ; Disabled by default ; no ; no ; Disabled by default ; no 
Implementation ;Block cipher with mode of operation ;Block cipher with mode of operation ;Block cipher with mode of operation ;Block cipher with mode of operation ;Stream cipher ;Stream cipher 
Implementation ; IDEA CBC(insecure) ; DES CBC(insecure) ; DES-40 CBC(EXPORT, insecure) ; RC2-40 CBC(EXPORT, insecure) ; RC4-128(insecure) ; RC4-40(EXPORT, insecure) 
