 Calculator ; CPU ; RAM ; Display Size ; Physical Size (inches) ; Contains CAS ; Year Released ; Initial MSRP (nominal US$) ; Use on College&nbsp,Board Standardized Tests ; Use on ACT Standardized Tests 
   TI-73, TI-73 Explorer ; Zilog Z80 @ 6MHz ; 25KB of RAM, 512KB of Flash ROM ; 96×64 pixels  16×8 characters ; 7.3 × 3.5 × 1.0{{cite web|title=Size and Weight Specifications of Texas Instruments Graphing Calculators.|url=; no ; 1998/2003 ; 95 (TI-73) ; Allowed ; Allowed 
   TI-80 ; 980kHz Proprietary ; 7KB of RAM ; 64×48 pixels  16×8 characters ; 6.4 × 3.0 × 0.9{{cite web|title=Size and Weight Specifications of Texas Instruments Graphing Calculators.|url=; no ; 1995 ; Unknown ; Allowed ; Allowed 
   TI-81 ; Zilog Z80 @ 2MHz ; 2.4KB of RAM ; 96×64 pixels  16×8 characters ; 6.75 x 3.125 x 1.0; no ; 1990 ; 110  ; Allowed ; Allowed 
   TI-82 ; Zilog Z80 @ 6MHz ; 28KB of RAM ; 96×64 pixels  16×8 characters ; 6.9 × 3.4 × 1.0{{cite web|title=Size and Weight Specifications of Texas Instruments Graphing Calculators.|url=; no ; 1993 ; 125 ; Allowed ; Allowed 
   TI-83 ; Zilog Z80 @ 6MHz ; 32KB of RAM ; 96×64 pixels  16×8 characters ; 7.3 × 3.5 × 1.0{{cite web|title=Size and Weight Specifications of Texas Instruments Graphing Calculators.|url=; no ; 1996 ; 125 ; Allowed ; Allowed 
   TI-83 Plus ; Zilog Z80 @ 6MHz ; 32KB of RAM (24KB user accessible), 512KB of Flash ROM (160KB user accessible) ; 96×64 pixels  16×8 characters ; 7.3 × 3.5 × 1.0{{cite web|title=Size and Weight Specifications of Texas Instruments Graphing Calculators.|url=; no ; 1999 ; 104.99 ; Allowed ; Allowed 
   TI-83 Plus Silver Edition ; Zilog Z80 @ 6MHz/15MHz (Dual Speed) ; 128KB of RAM (24KB user accessible), 2MB of Flash ROM (1.5MB user accessible) ; 96×64 pixels  16×8 characters ; 7.3 × 3.5 × 1.0{{cite web|title=Size and Weight Specifications of Texas Instruments Graphing Calculators.|url=; no ; 2001 ; 129.95  ; Allowed ; Allowed 
     TI-83 Premium CE, TI-83 Premium CE Edition Python ; Zilog eZ80 @ 48MHz ; 256KB of RAM (150KB user accessible), 4MB of Flash ROM (3MB user accessible) ; 320×240 pixels  26×10 characters (large font) ; 7.6 × 3.4 × 0.75; no ; 2015/2019 ; 129 ; Allowed ; Allowed 
   TI-84 Plus ; Zilog Z80 @ 15MHz ; 128/48KB of RAM (24KB user accessible), 1MB of Flash ROM (480KB user accessible) ; 96×64 pixels  16×8 characters ; 7.5 × 3.3 × 0.9; no ; 2004 ; 109.99 ; Allowed ; Allowed 
   TI-84 Plus Silver Edition ; Zilog Z80 @ 15MHz ; 128/48KB of RAM (24KB user accessible), 2MB of Flash ROM (1.5MB user accessible) ; 96×64 pixels  16×8 characters ; 7.5 × 3.3 × 0.9; no ; 2004 ; 129.99 ; Allowed ; Allowed 
   TI-84 Plus C Silver Edition ; Zilog Z80 @ 15MHz ; 128KB of RAM (21KB user accessible), 4MB of Flash ROM (3.5MB user accessible) ; 320×240 pixels  26×10 characters (large font) ; 7.5 × 3.3 × 0.9; no ; 2013 ; 150  ; Allowed ; Allowed 
   TI-84 Plus CE ; Zilog eZ80 @ 48MHz ; 256KB of RAM (154KB user accessible), 4MB of Flash ROM (3MB user accessible) ; 320×240 pixels  26×10 characters (large font) ; 7.6 × 3.4 × 0.75; no ; 2015 ; 150 ; Allowed ; Allowed 
   TI-85 ; Zilog Z80 @ 6MHz ; 28KB of RAM ; 128×64 pixels  21×8 characters ; 6.875 x 3.31 x 0.938; no ; 1992 ; 130  ; Allowed ; Allowed 
   TI-86 ; Zilog Z80 @ 6MHz ; 128KiB of RAM ; 128×64 pixels  21×8 characters ; 7.3 × 3.5 × 1.0{{cite web|title=Size and Weight Specifications of Texas Instruments Graphing Calculators.|url=; no ; 1997 ; 150 ; Allowed ; Allowed 
   TI-89 ; Motorola 68000 @ 10MHz/12MHz (nominal) ; 256KiB of RAM (188KB user accessible), 2MiB of Flash ROM ; 160×100 pixels ; 7.3 × 3.5 × 1.0{{cite web|title=Size and Weight Specifications of Texas Instruments Graphing Calculators.|url= ;Yes ; 1998 ; 159.99  ; Allowed ; Not Allowed 
   TI-89 Titanium ; Motorola 68000 @ ≤16MHz ; 256KiB of RAM (188KB user accessible), 2.7MB of Flash ROM ; 160×100 pixels ; 7.5 × 3.3 × 0.9 ;Yes ; 2004 ; 149.99 ; Allowed ; Not Allowed 
   TI-92, TI-92 II ; Motorola 68000 @ 10MHz ; 68KB of RAM/136KB of RAM ; 240×128 pixels ; Unknown ;Yes ; 1995/1996 ; 200 (TI-92)  ; Not Allowed ; Not Allowed 
