 Calculator ;TI-BASIC ;Native code ;Lua ;Python 
TI-73, TI-73 Explorer ; yes  ; yes ; no; no 
TI-80; yes  ; Only using exploits ; no; no 
TI-81; yes  ; Only using exploits ; no; no 
 TI-82 ; yes  ; Only using exploits ; no; no 
   TI-83; yes  ; yes ; no; no 
   TI-83 Plus; yes  ; yes ; no; no 
   TI-83 Plus Silver Edition; yes ; yes ; no; no 
   TI-83 Premium CE; yes ; Varies by firmware ; no ; Only with a TI-Python adapter{{Cite web|url= 
   TI-83 Premium CE Edition Python; yes ; Varies by firmware ; no; yes 
 TI-84 Plus; yes  ; yes ; no; no 
 TI-84 Plus Silver Edition; yes ; yes ; no; no 
 TI-84 Plus C Silver Edition; yes ; yes ; no; no 
 TI-84 Plus CE; yes ; Varies by firmware ; no; no 
 TI-85; yes  ; Only using exploits ; no; no 
  TI-86; yes  ; yes ; no; no 
  TI-89; yes  ; yes ; no; no 
   TI-89 Titanium; yes  ; yes ; no; no 
   TI-92, TI-92 II; yes  ; Only using exploits ; no; no 
   TI-92 Plus; yes  ; yes ; no; no 
   Voyage 200; yes  ; yes ; no; no 
   TI-Nspire, TI-Nspire CAS; yes  ; Only using exploits ; yes; no 
  TI-Nspire CX, TI-Nspire CX CAS; yes  ; Only using exploits ; yes; no 
  TI-Nspire CX II, TI- Nspire CX CAS II ;Yes ;Only using exploits ;Yes; {{Yes|Yes 
