 Program ; Operating system ; License ; Costs ; Protocols ; Codec ; Encryption ; Max conference peers ; Other abilities ; Latest release 
rh| AudioCodes MobilityPLUS ; Windows, Android, iOS ; proprietary ; dunno ; SIP, RTP, XMPP, STUN, ICE ; G.722 wideband, G.711, G.711, iLBC, G.729a, SILK, GSM, VP8, H.264, Opus ; TLS, SRTP ; Unk ; Voice, video, IM, Group chat, content sharing, SMS and MMS over IP services, native and social network contacts integration, incoming call/IM push notifications. ; 2014 
rh| Avaya Application Server 5300 Soft Client ; Windows ; proprietary ; dunno ; SIP, RTP ; Unk ; TLS, SRTP ; Unk ;  ; 2.0, 2010 
rh| Blink ; Linux, macOS, Windows ; Mixed: free software versions under GNU GPLv3 + shareware versions under gplv3 with exception of including proprietary code ; macOS version proprietary on App Store, free version limited to sponsored SIP provider, Windows version proprietary, Linux version open source ; ICE, SIP, MSRP, RFB (VNC), XCAP ; Opus, speex, G.722, GSM, iLBC, PCMU, PCMA ; TLS, SRTP and ZRTP on all versions, OTR/SMP on Linux and macOS only ; No limit ; IM, file transfer, desktop sharing, multi-party conference, wideband ; Blink Qt <!--> 
rh| CSipSimple ; Android ; GPL ; free ; SIP, ICE, STUN, TURN  ; Opus, AMR, G.711 (u-law/a-law), speex, G.722, GSM, iLBC, G.729 (need to buy a licensed plugin), iSAC, SILK (narrow-band/wide-band/ultra wide-band)  ; SRTP, SIP over TLS 1.0 and ZRTP ; Unk ; SIP SIMPLE messaging, Support for IPv6, Integration with Android operating system with filters and rewriting rules ; 1.0.2, 11 
rh| Cisco IP Communicator ; Windows ; proprietary ; free (for Cisco SMB Partners only) ; SCCP (Skinny), SIP, TFTP, HTTP (for XML Services) ; G.722 wideband, G.711, G.711, iLBC, iSAC, G.729a, G.729 ; SRTP ; No limit (with bridge), 2 otherwise ; Call Recording, Silent Monitoring, Multiple lines and directory numbers, Configurable speed dial, Calling name and number display, Call Waiting, Call Forward, Call Transfer, Three-Way Calling (conference), Call Park, Call Pickup, Redial, Hold, Barge, Callback, Extension Mobility, Message waiting indicator, iDivert, Meet Me conferencing, Group Pickup, Do Not Disturb, XML Services ; 8.6.6, 27 
rh| CounterPath Corporation Bria ; Windows, macOS, iOS, Android ; proprietary ; dunno ; SIP, RTP, XMPP, STUN, ICE ; G.722 wideband, G.711, G.711, iLBC, G.729a, SILK, GSM, VP8, H.264, Opus ; TLS, SRTP ; 6 party voice, 3 party video ; Voice and video calling, SIP and XMPP messaging support, group chat, file, image and document sharing, contact integration, incoming call/IM push notifications ; 5.3.4 23  
rh|  Discord ; macOS, Android, iOS, Windows, Linux ; proprietary ; free, Premium "Nitro" Subscription for Additional Features. ; RTP, UDP, WS, HTTPS ; Opus ;TLS ;5000 soft limit for voice calls,access-date=2016-12-29 25 hard limit for video ;IM, file sharing, in-game overlay ;59746, 24 
rh| Ekiga ; Linux, Windows, OpenSolaris ; GPL ; free ; SIP, H.323, STUN, Zeroconf, XMPP, RTP ; H.263, H.264/MPEG-4 AVC, Theora, iLBC, Speex, SILK, GSM, ... ; No ; Unk ; Video, IM, LDAP, Call Forwarding, Call Transfer, Auto-answering, PC to phone, phone to PC, Multiple accounts, USP support, Message waiting indicator, SIMPLE-based presence etc. ; Latest stable software release/Ekiga 
rh| Empathy ; Linux ; GPL ; free ; SIP, XMPP (Jingle), ICE (STUN-TURN), Zeroconf ; Unk ; No ; Unk ; IM, multi-user A/V,  collaborative applications ; Latest stable software release/Empathy (software) 
rh| Eyeball Chat ; Windows ; proprietary ; free ; SIP, STUN, ICE, XMPP ; Unk ; Yes ; 5Eyeball Chat 3.2 Features date=2009-03-21 . EyeballlChat.com. ; IM, Conferencing, Voice, Video and SIMPLE based presence ; Windows 3.2, 2009 
rh| eyeBeam ; Windows ; proprietary ; dunno ; SIP-SIMPLE ; Unk ; TLS, SRTP ; 6 party audio, 3 party video ; Voice and Video calling, IM, Import Microsoft Outlook Contacts, USB Support, Call Recording and Conferencing ; 1.5.20.1, 03 
rh| FaceTime ; iOS, macOS ; proprietary ; Free ; SIP, IETF, Signaling protocol for VoIP, STUN, TURN and ICE| IETF, technologies for traversing firewalls and NAT ; H.264 Video, AAC-ELD Audio, H.263 and VP8 ; RTP, SRTP IETF|standards for delivering real-time and encrypted media streams for VoIP. ; 20 ; Video, voice, conferencing, with additional tools available as "Services". ; 
rh| Google Hangouts ; Linux, Windows, macOS, Android, iOS ; proprietary (using libjingle) ; free ; XMPP ; H.264/SVC, H.264/AVC, H.263 and VP8 ; SRTP ; 10 ; Video, chat, screen sharing, with additional tools available as "Hangout Apps". ; Latest stable software release/Google+ Hangouts 
rh| IBM Sametime ; Linux, macOS, Windows, mobile ; proprietary ; dunno ; SIP-SIMPLE, T.120 ; H.323 ; TLS ; Unk ; IM, File transfer, Voice, Presence, Server stored contact list, HTTP tunneling, plugins, embedable in Lotus Notes"Telephony with Lotus Sametime software". IBM.com. Retrieved 2010-02-16 ; 8.5.2, 08 
rh| Jami by Savoir-faire Linux ; Android, FreeBSD, iOS, iPhone, Linux, Microsoft Windows, OS X{{Cite web|url= ; GPL3 ; free ; SIP, RTP, STUN per account, SRV, DHT, P2P ; Audio: Opus, Speex, G.722, G.711, GSM, VP8, G.729, iLBC. Video: H.264, H.263, VP8, MPEG-4 ; Voice encryption (SRTP with SDES or ZRTP) and signaling encryption (TLS), multiple realms authentication mechanism  ; No limit ; Blockchain ID-management, Gnome-KDE client, address book, multiple accounts, unlimited call number, call transfer, call hold-unhold, call recording, multi-way conferencing ; Latest_stable_software_release/Ring_(software) 
rh| Jitsi ; Linux, macOS, Windows (all java supported). Experimental Android builds are also available.{{cite web|url= (SIP Communicator) Android— Nightly Builds Index|publisher=Jitsi.org|date=|accessdate=2014-11-15|archive-url= ; Apache ; free ; SIP-SIMPLE, XMPP-Jingle STUN ICE, TURN ; SILK, G.722, Speex, Opus, G.711 (PCMU/PCMA), iLBC, GSM, G.729, H.264, H.263, VP8 ; ZRTP, SRTP, OTR, TLS ; Unk ; Text messaging, audio-video telephony, IPv6 (often broken,Interview with Emil Ivov, Deploy360 blog P2P not supported), call recording, 64-bit ; Latest stable software release/Jitsi 
rh| KPhone ; Linux (KDE) ; GPL ; free ; SIP, STUN, NAPTR-SRV ; Unk ; SRTP ; Unk ; Video, voice, IM, external Sessions, IPv6 support for UDP ; 1.2 (November 2008) 
rh| Librestream Onsight Connect ; Windows, Android, iOS ; proprietary ; dunno ; SIP, RTP, STUN ; G.711, H.264, MPEG, and others ; TLS, SRTP ; Unk ; Voice, video, conferencing, image sharing, incoming call/IM push notifications. ; 27 
rh| Linphone ; Linux, Windows, macOS, Android, iPhone, BlackBerry ; GPL v.3 ; free ; SIP ; Speex, Opus, G711, GSM, G.722, VP8 (WebM), H263, MPEG4, Theora and H264 (plugin) ; TLS, SRTP, ZRTP ; Unk ; Video, IM, STUN, IPv6 (disables IPv4 support when enabled, P2P, Secure Encrypion, User own Encryption via Provided API [) ; 4.1.1, 30, provides daily snapshots via  
rh| Messages ; macOS ; proprietary ; free, only macOS and iOS ; SIP AIM ICQ XMPP ; H263, H264 ; Unk ; Unk ; Integrated, PBX independent ; 7.0, 25 
rh| MicroSIP ; Windows ; GPL ; free ; SIP, STUN, ICE, SIMPLE ; Speex, iLBC, GSM, G.711, G.722, G.729, SILK, Linear PCM ; TLS, SRTP ; Unk ; Video, voice, IM and Presence ; Latest stable software release/MicroSIP 
rh| Mirial Softphone (Mirial s.u.r.l.) ; Windows 2000-XP-2003-Vista-7 (including 64-bit versions), macOS (x86) ; proprietary ; not free ; SIP, RTSP ; H.323 ; DTLS-SRTP ; Unk ; H.264 Full-HD 1080p video rx/tx, Two independent lines supporting Call Control and 3-Party videoconference in Continuous Presence, G.722.1/C wideband audio, Call recording/export, DV/HDMI/Component capture, Presentation (H.239, RFC-4796), Encryption, Far End Camera Control, GPU accel (D3D and OpenGL) ; 7.0.24, 26, discontinued 
rh| Mumble ; Linux, macOS, iOS, Windows, Android ; New BSD license ; free ; ICE ; CELT, Speex, Opus ; TLS and OCB-AES128 ; No limit (limited only by server bandwidth and memory) ;Chat with (limited) embedded HTML, Automatic Gain Control, very low latency, Access Control Lists for user management, Customizable In-Game Overlay for OpenGL and DirectX, Directional Audio, Plugin Support, Nested Channels, Echo cancellation for headset free use, Global Public Server List, Logitech G15 support, Push-To-Talk and Voice-Activation ; 1.3.0, 07 
rh| Nymgo ; Windows, Android, iOS ; proprietary ; free ; SIP, RTP and RTCP ; Unk ; Yes ; No limit ;Address Book integration, Call recording/export, Mute, On Hold, Caller ID definition ; 4.2.9, 03 
rh| oovoo ; macOS, iOS, Windows, Android ; proprietary ; free ; SIP, RTP and RTCP ; Unk ; Yes ; 12 ;Address Book integration, Call recording/export, Mute, On Hold, Caller ID definition ; 4.2.9, 03 
rh| Phoner ; Windows ; proprietary ; free ; SIP, TAPI, CAPI ; G.711, G.711, G.722, G.726, G.729, GSM, iLBC, speex, Opus ; TLS, SRTP, ZRTP ; 8 ; Conferencing, call redirection, call recording ; Latest stable software release/Phoner 
rh| PhonerLite ; Windows ; proprietary ; free ; SIP ; G.711, G.711, G.722, G.726, G.729, GSM, iLBC, speex, Opus ; TLS, SRTP, ZRTP ; 8 ; Conferencing, call redirection, call recording ; Latest stable software release/PhonerLite 
rh| QuteCom ; Linux, macOS, Windows XP-2000 ; GPL ; free ; SIP ; G.711, G.729, iLBC, AMR-NB, G.722, Speex, AMR-WB (G.722.2),  H.263, H.263+, H.264, Dirac ; SRTP, but key exchange via Everbee key Exchange which is not a Standard ; Unk ; Video, IM (MSN, AIM, ICQ, Yahoo!, XMPP, Google Talk), voicemail, wengo to phone, conferencing. ; Latest stable software release/QuteCom 
rh| Roger Wilco GameSpy ; Windows ; proprietary ; dunno ; Proprietary ; dunno ; dunno ; Unk ; dunno ; 2001 
