 XEP ; Description ; Status ; ejabberd ; iChat Server ; jabberd14 ; jabberd2 ; Metronome ; Isode M-Link ; MongooseIM ; Openfire ; Prosody ; Tigase 
 0004 ; Data forms ; Final ; Yes ; unk ; unk ; No ; YesServer-side Extensions Supported in Metronome. Retrieved on 2018-03-06. ; Yes ; Yes ; Yes ; YesXMPP Extensions (XEPs) supported in Prosody. Prosody.im (2013-05-29). Retrieved on 2013-07-17. ; YesExists as API on the server side 
 0009 ; Jabber RPC ; Final ; Yes ; unk ; unk ; No ; unk ; No ; No ; unk ; Yes ; Yes 
 0012 ; Last Activity ; Final ; YesProtocols Implementation | ejabberd Community Site. Ejabberd.im (2010-08-03). Retrieved on 2013-07-17. ; unk ; Yes ; Yes. Jabber2 README.protocol. Retrieved on 2014-02-27. ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes 
 0013 ; Flexible offline message retrieval ; Draft ; No ; unk ; Yes ; No ; No ; No ; No ; Yes ; No ; Yes 
 0016 ; Privacy Lists ; Deprecated ; Yes ; unk ; Yes ; Yes ; Yes ; No ; Yes ; unk ; Yes ; Yes 
 0018 ; Invisible Presence ; Rejected ; Yes ; unk ; Yes ; No ; No ; No ; Yes ; unk ; unk ; No 
 0020 ; Feature negotiation ; Deprecated ; Yes ; unk ; unk ; No ; unk ; No ; No ; No ; Yes ; Yes 
 0022 ; Message Events ; Obsolete ; Yes ; unk ; Yes ; Yes ; unk ; No ; Yes ; unk ; Yes ; Yes 
 0023 ; Message Expiration ; Obsolete ; Yes ; unk ; Yes ; Yes ; unk ; No ; Yes ; unk ; unk ; No 
 0025 ; HTTP Polling ; Obsolete ; Yes ; unk ; unk ; No ; No ; No ; No ; unk ; No ; No 
 0030 ; Service Discovery ; Final ; Yes ; unk ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes 
 0033 ; Extended Stanza Addressing ; Draft ; Yes[#EJAB-265 Service for XEP-0033: Extended Stanza Addressing - ProcessOne - Support. Support.process-one.net. Retrieved on 2013-07-17. ; unk ; unk ; No ; No ; No ; No ; Yes ; PartialContrib. ; No 
 0039 ; Statistics Gathering (deferred) ; Deferred ; Yes ; unk ; unk ; No ; No ; No ; No ; unk ; unk ; Yes 
 0045 ; Multi User Chat ; Draft ; Yes ; unk ; Contrib.date=2011-08-09  MU-Conference - Summary [Gna!. Gna.org. Retrieved on 2013-07-17. ; No ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes 
 0047 ; In-Band Bytestreams ; Final ; Yes ; unk ; unk ; No ; unk ; No ; Yes ; Yes ; Yes ; Yes 
 0049 ; Private XML Storage ; Historical Use ; Yes ; unk ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes 
 0050 ; Ad-Hoc Commands ; Draft ; Yes ; unk ; unk ; No ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes 
 0054 ; vcard-temp ; Historical Use ; Yes ; unk ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes 
 XEP ; Description ; Status ; ejabberd ; iChat Server ; jabberd14 ; jabberd2 ; Metronome ; Isode M-Link ; MongooseIM ; Openfire ; Prosody ; Tigase 
 0055 ; Jabber Search ; Historical Use ; Yes ; unk ; unk ; No ; Yes ; Yes ; Yes ; YesProvided by search plugin ; No ; unk 
 0059 ; Result set management ; Draft ; Yes ; unk ; unk ; No ; Partial ; No ; Yes ; Yes ; No ; Yes 
 0060 ; Publish-Subscribe ; Draft ; Yes ; unk ; Contrib.Idavoll . Idavoll (2011-02-13). Retrieved on 2013-07-17. ; No ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes 
 0065 ; SOCKS5 Bytestreams ; Draft ; Yes ; unk ; Contrib.proxy65 - A SOCKS5 Bytestreams proxy for use in Jabber/XMPP file transfer. - Google Project Hosting. Code.google.com. Retrieved on 2013-07-17. ; No ; Yes ; No ; No ; Yes ; Yes ; Yes 
 0066 ; Out of Band Data ; Draft ; Yes ; unk ; unk ; No ; unk ; No ; Yes ; unk ; Yes ; Yes 
 0068 ; Field Standardization for Data Forms ; Approved ; Yes ; unk ; unk ; No ; unk ; Yes ; Yes ; unk ; Yes ; Yes 
 0070 ; Verifying HTTP Requests via XMPP ; Draft ; No ; unk ; unk ; No ; No ; No ; No ; unk ; No ; No 
