 Product ; Vendor ; Edition ; Last release ; Jakarta EEcompatibility  ; Servlet ; JSP ; HTTP/2 ; License 
 ColdFusion ; Adobe Systems ; 2016.0.1 ; 2016-05-01 ; 7 partial platform ; 3.1 ; 2.3 ; no ; proprietary, commercial 
 Enhydra ; Lutris ; 5.1.9 ; 2005-03-23 ; no ; ; ; no ; free, GPL 
 Enterprise Server ; Borland ; 6.7 ; 2007-01 ; 1.4 ; 2.4 ; 2.0 ; no ; proprietary, commercial 
 Geronimo ; ASF ; 3.0.1 ; 2013-05-28 ; 6 full platform ; 3.0 ; 2.2 ; no ; free, Apache 
 GlassFish ; Eclipse Foundation ;5.1.0 ; 2019-01-28 ; 8 full platform ; 4.0 ; 2.3 ; no ; free, EPL, GPL + classpath exception 
 iPlanet Web Server ; Oracle Corporation ; 7.0.27 ; 2018-01 ; yes ; 2.5 ; 2.1 ; no ; proprietary, commercial 
 JBoss Enterprise Application Platform ; Red Hat ; 7.2 ; 2019-01-22 ; 8 full platform ; 4.0 ; 2.3 ; yes ; free, LGPL 
 Jetty ; Eclipse Foundation ; 9.4.20 ; 2019-08-14 ; 7 partial platform ; 3.1 ; 2.3 ; yes ; free, Apache 2.0, EPL 
 JEUS ; TmaxSoft ; 8 ; 2013-08 ; 7 full platform ; 3.0 ; 2.2 ; no ; proprietary, commercial 
 JOnAS ; OW2 Consortium (formerly ObjectWeb) ; 5.3 ; 2013-10-04 ; 6 Web Profile ; 3.0 ; 2.2 ; no ; free, LGPL 
 JRun ; Adobe Systems ; 4 updater 7 ; 2007-11-06 ; 1.3 ; 3.1 ; 2.3 ; no ; proprietary, commercial 
Lucee (Formerly Railo) ;Lucee Association Switzerland ;5.3.2.77 ;2017-12-22| 2019-05-27 ; 7 partial platform ; 3.1 ; 2.3 ; no ; free, CDDL, GPL + classpath exception 
 NetWeaver Application Server ; SAP AG ; 7.4 ; 2013-01-11 ; 5 ; 2.5 ; 2.1 ; no ; proprietary, commercial 
 Oracle Containers for J2EE ; Oracle Corporation ; 10.1.3.5.0 ; 2009-08 ; 1.4 ; 2.4 ; 2.0 ; no ; proprietary, commercial 
 Orion Application Server ; IronFlare ; 2.0.7 ; 2006-03-09 ; 1.3 ; 2.3 ; 1.2 ; no ; proprietary, commercial 
 Payara ; Payara ; 5.193 ; 2019-08-29 ; 8 full platform ; 4.0 ; 2.3 ; yes ; free, CDDL, GPL + classpath exception 
 Resin Servlet Container (open source) ; Caucho Technology ; 4.0.62 ; 2019-05-23 ; 6 Web Profile ; 3.0 ; 2.2 ; no ; free, GPL 
 Resin Professional Application Server ; Caucho Technology ; 4.0.62 ; 2019-05-23 ; 6 Web Profile ; 3.0 ; 2.2 ; no ; proprietary, commercial 
 Tomcat ; ASF ; 9.0.24 ; 2019-08-17 ; 8 partial platform ; 4.0 ; 2.3 ; yes ; free, Apache v2 
 TomEE ; ASF ; 7.1.1 ; 2019-06-21 ; 6 Web Profile ; 3.0 ; 2.2 ; no ; free, Apache 
 WebLogic Server ; Oracle Corporation (formerly BEA Systems) ; 14.1.1.0.0 ; 2020-03-30  ; 8 full platform ; 4.0 ; 2.3 ; yes ; proprietary, commercial 
 WebObjects ; Apple Inc. ; 5.4.3 ; 2008-09-15 ; partial ; ; ; no ; proprietary, commercial 
 IBM WebSphere Application Server ; IBM ; 9.0 ; 2016-06-24 ; 8 full platform ; 3.1 ; 2.3 ; no ; proprietary, commercial 
 WebSphere AS Community Edition ; IBM ; 3.0.0.4 ; 2013-06-21 ; 6 full platform ; 3.0 ; 2.2 ; no ; proprietary, commercial 
 WildFly (formerly JBoss AS) ; Red Hat (formerly JBoss) ; 20.0.0.Final ; 2020-06-08 ; 8 full platform ; 4.0 ; 2.3 ; yes ; free, LGPL 
