 Audio compression format ; Algorithm ; Sample rate ; Bit rate ; Latency ; CBR ; VBR ; Stereo ; Multichannel 
 AAC ; MDCT, Hybrid Subband (AAC-HE) ; 8–192kHzMPEG 2 AAC was limited to a 96kHz sampling rate, however, with MPEG 4 AAC, a later version part of the MPEG 4 specification, the maximum sampling rate has been increased to 192kHz. ; 8–529kbit/s (stereo) ; 20–405ms ; yes ; yes ; yes: Dual, Mid/Side, Intensity, Parametric ; yes: Up to 48 channels 
 AC3 ; MDCT ; 32, 44.1, 48kHz ; 32–640kbit/s ; 40.6ms ; Yes ; No ; Yes ; Yes: Up to 6 channels 
 AMBE ; Dunno ; 8kHz ; 2, 9.6kbit/s ; Dunno ; Dunno ; Dunno ; Dunno ; Dunno 
 AMR ; ACELP ; 8kHz ; 4.75, 5.15, 5.90, 6.70, 7.40, 7.95, 10.20, 12.20kbit/s ; 25ms ; yes ; yes ; no ; no 
 AMR-WB(G.722.2) ; ACELP ; 16kHz ; 6.60, 8.85, 12.65, 14.25, 15.85, 18.25, 19.85, 23.05, 23.85kbit/s ; 25ms ; yes ; yes ; yes: only in MPEG-4 Part 12 container ; no 
 AMR-WB+ ; ACELP ; 8, 11.025, 16, 22.05, 32, 44.1, 48kHz ; 6–36kbit/s (mono)7–48kbit/s (stereo) ; 60–90ms ; yes ; yes ; yes ; no 
 aptX ; Subband ADPCM ; 24–48kHz (stereo) ; 192–384kbit/s (stereo) ; 2ms ; Yes (4:1) ; No ; Yes ; Yes: Up to 8 channels 
 ATRAC1 ; MDCT-Hybrid Subband ; 44.1kHz ; 292kbit/s ; >100ms ; yes ; no ; yes: Dual Only ; no 
 ATRAC3 ; MDCT-Hybrid Subband ; 44.1kHz ; 66, 105, 132, 146, 176, 264, 352kbit/s ; >100ms ; yes ; no ; yes: Dual (LP2), Mid/Side (LP4) ; no 
 ATRAC3plus ; MDCT-Hybrid Subband ; 44.1kHz ; 48–352kbit/s ; >100ms ; yes ; Dunno ; yes ; Yes: Up to 6 channels 
 BroadVoice (BV16, BV32) ; Two-Stage Noise Feedback Coding (TSNFC) ; 8, 16kHz ; 16, 32kbit/s ; 5ms ; yes ; no ; no ; no 
 Codec2 ; Speech ; 8kHz ; 0.7, 1.2, 1.3, 1.4, 1.6, 2.4, 3.2kbit/s ; 20–40ms ; yes ; no ; no ; no 
 E-AC3 ; MDCT ; 32, 44.1, 48kHz ; 32–6144 kbit/s ; Dunno ; Yes ; Dunno ; Yes ; Yes: Up to 15 channels 
 E-aptX ; Subband ADPCM ; 15–48kHz ; 60, 384, 767, 1024 kbit/s, 1.28 Mbit/s ; Dunno ; Yes (4:1) ; No ; Yes ; Yes: Up to 8 channels 
 GSM-HR ; VSELP ; 8kHz ; 5.6kbit/s ; 25ms ; yes ; no ; no ; no 
 GSM-FR ; RPE-LTP ; 8kHz ; 13kbit/s ; 20–30ms ; yes ; no ; no ; no 
 GSM-EFR ; ACELP ; 8kHz ; 12.2kbit/s ; 20–30ms ; yes ; no ; no ; no 
 HE-AAC ; dunno ; 22 ~ 96kHz ; 16 ~ 80 kbit/s ; dunno ; yes ; yes ; yes: Dual, Mid/Side, Intensity, Parametric ; yes: Up to 48 channels 
 HVXC ; Speech ; 8kHz ; 2, 4kbit/s ; 36ms ; yes ; yes ; no ; no 
 iLBC ; Block Independent LPC ; 8kHz ; 13.33, 15.20kbit/s ; 25, 40ms ; yes ; no ; no ; no 
 iSAC ; Transform coding ; 16, 32kHz ; 10–52kbit/s ; 33, 63ms ; yes ; yes ; no ; no 
 MP3 (MPEG-1, 2, 2.5 Audio Layer III) ; MDCT, Hybrid Subband ; 8, 11.025, 12, 16, 22.05, 24, 32, 44.1, 48kHz ; 8, 16, 24, 32, 40, 48, 56, 64, 80, 96, 112, 128, 144, 160, 192, 224, 256, 288, 320kbit/s ; >100ms ; yes ; yes ; yes: Dual, Mid/Side, Intensity ; no 
 MPEG-1 Audio Layer II (MP2) ; Subband ; 32, 44.1, 48kHz ; 32, 48, 56, 64, 80, 96, 112, 128, 160, 192, 224, 256, 320, 384kbit/s ; ; yes ; yes: but decoders are not required to support it ; yes: Dual, Intensity ; no 
 MPEG-2 Audio Layer II (MP2) ; Subband ; 16, 22.05, 24kHz ; 8, 16, 24, 32, 40, 48, 56, 64, 80, 96, 112, 128, 144, 160kbit/s ; ; yes ; yes: but decoders are not required to support it ; yes ; yes: up to 5 full range audio channels and an LFE-channel with MPEG Multichannel 
 Musepack ; Subband ; 32, 37.8, 44.1, 48kHz ; 20–350kbit/s ; dunno ; no ; yes ; yes ; yes: Up to 8 channels 
 Opus ; LP, MDCT ; 8–48kHz ; 6–510kbit/s ; 5–66.5ms ; yes  ; yes ; yes ; yes: Up to 255 channels 
 RealAudio ; MDCT ; Varies (see article) ; Varies (see article) ; Varies ; yes ; yes ; yes ; yes: Up to 6 channels 
 SILK ; LTP ; 8, 12, 16, 24kHz ; 6–40kbit/s ; 25ms ; yes ; dunno ; dunno ; dunno 
 Siren 7 ; Derived from PT716plus, MLT ; 16kHz ; 16, 24, 32kbit/s ; 40ms ; yes ; no ; no ; no 
 Siren 14 ; MLT ; 32kHz ; 24, 32, 48kbit/s (mono)48, 64, 96kbit/s (stereo) ; 40ms ; yes ; no ; yes ; no 
 Siren 22 ; MLT ; 48kHz ; 32, 48, 64kbit/s (mono)64, 96, 128kbit/s (stereo) ; 40ms ; yes ; no ; yes ; no 
 Speex ; CELP ; 8, 16, 32, (48)kHz ; 2.15–24.6kbit/s (NB)4–44.2kbit/s (WB) ; 30ms (NB)34ms (WB) ; yes ; yes ; yes: Intensity ; yes 
 VMR-WB ; ACELP ; 16kHz ; 8.55, 4.0, 0.8, 13.3, 6.2, 2.7, 1.0kbit/s ; 33.75ms ; yes ; yes ; dunno ; dunno 
 Vorbis (Ogg) ; MDCT ; 8–192kHz ; 45-500 kbit/s (32-500 kbit/s for aoTuV tunings)  ; >100ms ; yes/ABR ; yes ; yes: Dual, Lossless, Phase, Point (Intensity) ; yes: Up to 255 channels 
 WavPack Lossy ; Prediction, Quantization ; 1Hz to 16.777216MHz ; 196kbit/s and up in lossy mode (for CD audio) ; 3523.8 ms ; yes ; yes ; yes ; yes: Up to 256 channels 
 Windows Media Audio Standard ; MDCT ; 8, 11.025, 16, 22.05, 32, 44.1, 48kHz ; 8–768kbit/s ; >100ms ; yes ; yes ; yes ; no 
 Windows Media Audio Pro ; MDCT ; 8, 11.025, 16, 22.05, 32, 44.1, 48, 88.2, 96kHz ; 4–768kbit/s ; >100ms ; yes ; yes ; yes ; yes: At least 8 channels, expandable 
