 Audio compression format ; Algorithm ; Sample rate ; Bit rate ; Bits per sample ; Latency ; CBR ; VBR ; Stereo ; Multichannel 
 G.711 ; companding A-law or μ-law, PCM ; 8kHz ; 64kbit/s ; 8 bit (log) ; 125µs (typical) ; yes ; no ; no ; no 
 G.711.0 ; Lossless compression of G.711 ; 8kHz ; 0.2–65.6kbit/s ; 8 bit (log) ; 5–40ms ; no ; yes ; no ; no 
 G.711.1 ; MDCT, A-law, μ-law ; 8, 16kHz ; 64, 80, 96kbit/s ; 16 bit ; 11.875ms ; yes ; yes ; no ; no 
 G.718 ; CELP, MDCT, Lossy ; 8, 16kHz ; 8, 12, 12.65, 16, 24, 32kbit/s ; 16 bit ; 42.875–43.875ms ; yes ; yes ; no ; no 
 G.718B ; CELP, MDCT, Lossy, Sinusoidal Coding ; 32kHz ; 36, 40, 48kbit/s ; 16 bit ; 49.625ms ; yes ; yes ; no ; no 
 G.719 ; MDCT,{{cite book |last1=Britanak |first1=Vladimir |last2=Rao |first2=K. R. |author2-link=K. R. Rao |title=Cosine-/Sine-Modulated Filter Banks: General Properties, Fast Algorithms and Integer Approximations |date=2017 |publisher=Springer |isbn=9783319610801 |pages=31, 478 |url= Lossy (incorporates elements of Siren Codec and Ericsson technology) ; 48kHz ; 32–88kbit/s in 4kbit/s steps, 88–128kbit/s in 8kbit/s steps ; 16 bit ; 40ms ; yes ; no ; yes: only in MPEG-4 Part 12 container ; yes: only in MPEG-4 Part 12 container 
 G.721 ; ADPCM, Lossy ; 8kHz ; 32kbit/s ; 13 bit ; ; yes ; no ; no ; no 
 G.722 ; sub-band ADPCM, Lossy ; 16kHz ; 64kbit/s(comprises 48, 56 or 64kbit/s audio and 16, 8 or 0kbit/s auxiliary data) ; 14 bit ; 4ms ; yes ; no ; no ; no 
 G.722.1 ; Modulated Lapped Transform (MDCT), Lossy (based on Siren Codec) ; 16kHz ; 24, 32kbit/s ; 16 bit ; 40ms ; yes ; no ; no ; no 
 G.722.1C ; Modulated Lapped Transform (MDCT), Lossy (based on Siren Codec) ; 32kHz ; 24, 32, 48kbit/s ; 16 bit ; 40ms ; yes ; no ; no ; no 
 G.722.2 (AMR-WB) ; multi-rate wideband ACELP, Lossy ; 16kHz ; 6.60, 8.85, 12.65, 14.25, 15.85, 18.25, 19.85, 23.05, 23.85kbit/s ; 14 bit ; 25ms ; yes ; yes ; yes: only in MPEG-4 Part 12 container ; no 
 G.723 ; ADPCM, Lossy ; 8kHz ; 24, 40kbit/s ; 13 bit ; ; yes ; no ; no ; no 
 G.723.1 ; MP-MLQ, ACELP, Lossy ; 8kHz ; 5.3, 6.3kbit/s ; 13 bit ; 37.5ms ; yes ; no ; no ; no 
 G.726 ; ADPCM, Lossy ; 8kHz ; 16, 24, 32, 40kbit/s ; 13 bit ; 125µs ; yes ; no ; no ; no 
 G.727 ; ADPCM, Lossy ; 8kHz ; 16, 24, 32, 40kbit/s ; 13 bit ; ; yes ; yes ; no ; no 
 G.728 ; low-delay CELP, Lossy ; 8kHz ; 16kbit/s ; 13 bit ; 0.625ms ; yes ; no ; no ; no 
 G.729 ; CS-ACELP, Lossy ; 8kHz ; 8kbit/s ; 13 bit ; 15ms ; yes ; no ; no ; no 
 G.729D ; CS-ACELP, Lossy ; 8kHz ; 6.4kbit/s ; 13 bit ; ; yes ; no ; no ; no 
 G.729E ; CS-ACELP, Lossy ; 8kHz ; 11.8kbit/s ; 13 bit ; 15ms ; yes ; no ; no ; no 
 G.729.1 ; CELP, TDBWE, TDAC (MDCT), Lossy ; 8, 16kHz ; 8kbit/s, 12–32kbit/s in 2kbit/s steps ; 16 bit ; 48.9375ms ; yes ; yes ; no ; no 
