 Birth control method ;Brand/common name ; Typical-use failure rate (%) ; Perfect-use failure rate (%) ; Type ; Implementation ; User action required ;Initial Cost ;Cost (per year) 
 Contraceptive implant ; Implanon/Nexplanon, Jadelle, doi-access = free  the  implant ;0.05 (1 of 2000) ; 0.05 ; Progestogen ; Subdermal implant ;  3-5 years ;$0 - $ ;$0 - $ 
 Vasectomy  ; male sterilization ; 0.15 (1 of 666) ; 0.1 ; Sterilization ; Surgical procedure ;  Once ;$0 - $ ;$0 - $ 
 Combined injectable ; Lunelle, Cyclofem ; 0.2 (1 of 500) ; 0.2 ; Estrogen + progestogen ; Injection  ;  Monthly ;$0 - $ ;$0 - $ 
 IUD with progestogen  ; Mirena, Skyla, Liletta ; 0.2 (1 of 500); 0.2 ; Intrauterine & progestogen ; Intrauterine ;  3-7 years ;$0 - $ ;$0 - $ 
 Essure ; female sterilization ; 0.26 (1 of 384) ; 0.26 ; Sterilization ; Surgical procedure ;  Once ;$0 - $ ;$0 - $ 
 Tubal ligation ; female sterilization ; 0.5 (1 of 200) ; 0.5 ; Sterilization ; Surgical procedure ;  Once ;$0 - $ ;$0 - $ 
 IUD with copper ; Paragard, Copper T, the coil ; 0.8 (1 of 125) ; 0.6 ; Intrauterine & copper ; Intrauterine ;  3 to 12+ years  ;$0 - $ ;$0 - $ 
 Forschungsgruppe NFP symptothermal method, teaching sessions + application doi-access = free  ; Sensiplan by Arbeitsgruppe NFP (Malteser Germany gGmbh) ; 1.8 (1 of 55) ; 0.4 ; Behavioral ; Teaching sessions, observation, charting and evaluating a combination of fertility symptoms;  Three teaching sessions + daily application ;$0 - $ ;$0 - $ 
 LAM for 6 months only, not applicable if menstruation resumesThe pregnancy rate applies until the user reaches six months postpartum, or until menstruation resumes, whichever comes first. If menstruation occurs earlier than six months postpartum, the method is no longer effective. For users for whom menstruation does not occur within the six months: after six months postpartum, the method becomes less effective. ; ecological breastfeeding ; 2 (1 of 50) ; 0.5 ; Behavioral ; Breastfeeding ;  Every few hours ;$0 - $ ;$0 - $ 
 2002url-status=dead cervical cap and spermicide (discontinued in 2008) used by nulliparous  ; Lea's Shield ; 5 (1 of 20) ; no data ; Barrier + spermicide ; Vaginal insertion ;  Every act of intercourse ;$0 - $ ;$0 - $ 
 MPA shot ; Depo Provera, the shot ; 6 (1 of 17) ; 0.2 ; Progestogen ; Injection ;  12 weeks ;$0 - $ ;$0 - $ 
 Testosterone injection for male (unapproved, experimental method) doi-access = free  ; Testosterone Undecanoate ; 6.1 (1 of 16) ; 1.1 ; Testosterone ; Intramuscular Injection ;  Every 4 weeks ;$0 - $ ;$0 - $ 
 1999 cervical cap and spermicide (replaced by second generation in 2003){{cite web|url= Protocol|publisher=FemCap manufacturer|url-status=dead|archiveurl= ; FemCap ; 7.6date=December 2017 (estimated) (1 of 13) ; no data ; Barrier & spermicide ; Vaginal insertion ;  Every act of intercourse ;$0 - $ ;$0 - $ 
 Contraceptive patch  ; Ortho Evra, the patch ; 9 (1 of 12) ; 0.3 ; Estrogen & progestogen ; Transdermal patch ;  Weekly ;$0 - $ ;$0 - $ 
 Combined oral contraceptive pill  ; the Pill ; 9 (1 of 11) chapter-url =   ; 0.3 ; Estrogen & progestogen + Placebosee Combined oral contraceptive pill § Role of Placebo Pills ; Oral medication ;  Daily ;$0 - $ ;$0 - $ 
 Ethinylestradiol/etonogestrel vaginal ring ; NuvaRing, the ring ; 9 (1 of 11) ; 0.3 ; Estrogen & progestogen ; Vaginal insertion ;  In place 3 weeks / 1 week break  ;$0 - $ ;$0 - $ 
 Progestogen only pill ; POP, minipill ; 9 ; 0.3 ; Progestogen ; Oral medication ;  Daily ;$0 - $ ;$0 - $ 
 Ormeloxifenepublisher=Allied Publishers  publisher=Indian Society for the Study of Reproduction and Fertility   ; Saheli, Centron ; 9 ; 2 ; SERM ; Oral medication ;  Weekly ;$0 - $ ;$0 - $ 
 Emergency contraception pill ; Plan B One-Step® ; no data ; no data ; Levonorgestrel ; Oral medication ;  Every act of intercourse ;$0 - $ ;$0 - $ 
Standard Days Method ; CycleBeads, iCycleBeads ; 12 (1 of 8.3) ; 5 ; Behavioral ; Counting days since menstruation ;  Daily ;$0 - $ ;$0 - $ 
 Diaphragm and spermicide ; ; 12 (1 of 6) ; 6 ; Barrier & spermicide ; Vaginal insertion ;  Every act of intercourse ;$0 - $ ;$0 - $ 
