 Name ; License ; Can reside in ; Can reside in ; Can reside in ; Can reside in ; Can boot from ; Can boot from ; Can boot from ; Can boot from ; Can boot from ; Can boot from ; Can boot from ; Can boot from ; Can boot ; Can boot ; Can boot ; Can boot ; Can boot ; Can boot ; Can boot ; Can boot ; Can boot 
 Name ; License ; ESP (UEFI) ; MBR ; VBR ; Floppy  ; Hard disk ; Second Hard disk ; Logical partitions ; CD-ROM ; Floppy ; USB ; Zip ; LAN  ; MS-DOS ; Windows 9x/Me ; Windows NT series ; Windows Vista/7/8/10 ; Linux ; ReactOS ; MenuetOS ; *BSD ; MacOSX 
 rh| Acronis OS Selector ; proprietary ; Dunno ; Dunno ; Dunno ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Dunno ; Yes ; Yes ; Yes ; Yes ; Yes ; Dunno ; Dunno ; Yes ; Yes 
 rh| AiR-BOOT ; GPLv3 ; Dunno ; Yes ; No ; Dunno ; Dunno ; Dunno ; Dunno ; Dunno ; Dunno ; Dunno ; Dunno ; Dunno ; Yes ; Yes ; Yes ; Yes ; Yes ; Dunno ; Dunno ; Dunno ; Dunno 
 rh| AKernelLoader ; GPLv2 ; Dunno ; Yes ; No ; Yes ; Yes ; Yes ; Yes ; Dunno ; Yes ; Yes ; Dunno ; Dunno ; Dunno ; Dunno ; Dunno ; Dunno ; Yes ; Dunno ; Dunno ; Dunno ; Dunno 
 rh| Barebox ; GPLv2 ; Yes ; Yes ; No ; Dunno ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; No ; Yes ; Dunno ; Dunno ; Dunno ; Dunno ; Yes ; Dunno ; Dunno ; Dunno ; Dunno 
 rh| BOOTBOOT ; MIT ; Yes ; Yes ; Yes ; No ; Yes ; Yes ; Yes ; Yes ; No ; Yes ; No ; No ; Yes ; Yes ; Yes ; Yes ; Yes ; Dunno ; Dunno ; Dunno ; Dunno 
 rh| Boot Manager ; proprietary ; No ; No ; No ; No ; Yes ; Yes ; Yes ; No ; No ; Dunno ; Dunno ; No ; Yes ; Yes ; Yes ; Yes ; Yes ; Dunno ; Dunno ; Dunno ; Dunno 
 rh| BootIt Bare Metal (formerly BootIt Next Generation) ; proprietary ; Dunno ; Dunno ; Dunno ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Dunno ; Yes ; Yes ; Yes ; Yes ; Yes ; Dunno ; Dunno ; Dunno ; Dunno 
 rh| BootKey ; proprietary ; Dunno ; No ; No ; Yes ; No ; No ; No ; Yes ; Yes ; Yes ; No ; No ; Yes ; Yes ; Yes ; Yes ; Yes ; Dunno ; Dunno ; Dunno ; Dunno 
 rh| BootManager ; MIT ; Dunno ; Yes ; No ; No ; Yes ; Dunno ; Dunno ; Dunno ; Dunno ; Dunno ; Dunno ; No ; Yes ; Yes ; Calls NTLDR ; Calls Windows Boot Manager ; Calls GRUB or LILO ; Dunno ; Dunno ; Dunno ; Dunno 
