 Software ; Version ; Operating systems ; Developer ; License 
 rh| BeeOne SMOD/HMS ; 3.1 ; Windows ; Hemi-Synths Explorers ; Proprietary 
rh|Binaural Beethoven ;3.1.4 ;iOS ;Tomáš Baculák ;Proprietary 
rh|Brain Equalizer ;3.7.0 ;iOS ;Tomáš Baculák ;Proprietary 
 rh| BrainWave Generator ; 3.1 ; Windows ; Noromaa Solutions Oy. ; Proprietary 
 rh| Gnaural ; 1.0.20100707 ; FreeBSD, Linux, Mac OS X, Windows ; gnaural ; GPL 
 rh| BrainIgniter Player ; 6.0 ; Windows ; Volition ; Proprietary 
 rh| Neuro Entrainment ; 2.0 ; Android ; Tensai ; Proprietary 
 rh| Neuro-Programmer 3 ; 3.0.9.0 ; Windows ; Transparent Corp. ; Proprietary 
 rh| Mind WorkStation ; 1.2.2.0 ; Windows ; Transparent Corp. ; Proprietary 
 rh| SBaGen ; 1.4.4 ; DOS, FreeBSD, Linux, Mac OS X, Windows, WinCE ; Uazu ; GPL 
 rh| Brainwave Studio ; 1.5 ; Mac OS X, iOS ; RCS Software ; Proprietary 
 rh| Discord ; 3.2.1 ; Linux ; Stan Lysiak ; GPL 
 rh| Isochronic Tone Generator ; 1.8 ; iOS ; CMLStudio ; Proprietary 
 rh| Lux VST Brainwave Entrainment Instrument ; 1.1 ; Windows ; Steve Duell ; GPL 
 rh| Neuro Sequencer Pro ; 1.7 ; Windows ; isone ; Proprietary 
 rh| SHARM Studio 5 ; 5.3.5 ; Windows ; CyberTeam Ltd. ; Proprietary 
