 Software ; Isochronic tones ; Monaural beats ; Binaural beats ; Photic 
 rh| BeeOne SMOD/HMS ; yes ; yes ; yes ; no 
 rh| Binaural Beethoven ; no ; no ; yes ; no 
 rh| Brain Equalizer ; no ; no ; yes ; ? 
 rh| BrainWave Generator ; no ; no ; yes ; yes 
 rh| Gnaural ; yes ; yes ; yes ; dunno 
 rh| BrainIgniter Player ; yes ; yes ; yes ; no 
 rh| Neuro Entrainment ; yes ; yes ; yes ; no 
 rh| Neuro-Programmer 3 ; yes ; yes ; yes ; yes 
 rh| Mind WorkStation ; yes ; yes ; yes ; yes 
 rh| SBaGen ; no ; yes ; yes ; no 
 rh| Brainwave Studio ; yes ; no ; no ; no 
 rh| Discord ; yes ; yes ; yes ; dunno 
 rh| Isochronic Tone Generator ; yes ; no ; no ; no 
 rh| Lux VST Brainwave Entrainment Instrument ; yes ; yes ; yes ; yes 
 rh| Neuro Sequencer Pro ; yes ; no ; yes ; no 
 rh| SHARM Studio 5 ; yes (wide, narrow) ; yes ; yes ; no 
