Shell ;Commandnamecompletion ;Pathcompletion ;Commandargumentcompletion ;Wildcardcompletion ;Commandhistory ;Mandatoryargumentprompt ;Automaticsuggestions ;Coloreddirectorylistings ;Texthighlighting ;Syntaxhighlighting ;Directory history, stack or similar features ;Implicitdirectorychange ;Autocorrection ;Integratedenvironment ;Snippets ;Valueprompt ;Menu/optionsprompt ;Progressindicator ;Contextsensitivehelp ;Commandbuilder  
Thompson shell ;no ;no ;no ;no ;no ;no ;no ;? ;? ;no ;no ;no ;no ;no ;no ;no ;no ;no ;no ;no 
Bourne shell 1977 version ;no ;no ;no ;no ;no ;no ;no ;? ;? ;no ;no ;no ;no ;no ;no ;yes ;no ;no ;no ;no  
Bourne shell current version ;no ;yescurrent versions from Jörg Schilling. ;no ;no ;yes ;no ;no ;yes ;yes ;no ;yes (CDPATH, pushd, popd, dirs), CDPATH since SVr4 ;no ;no ;no ;no ;yes ;no ;no ;no ;no  
POSIX shell ;no ;no ;no ;no ;yes ;no ;no ;yes ;yes ;no ;Yes (CDPATH) ;no ;no ;no ;no ;yes ;no ;no ;no ;no  
bash (v4.0) ;yes ;yes ;when defined ;yesAlt-Shift-8 or Alt-* will expand to the full matching list of filenames. ;yes ;no ;no ;yes ;yes ;no ;Yes (CDPATH, pushd, popd) ;optional ;no ;no ;no ;yes ;yes ;no ;no ;no  
csh ;yes ;yes ;no ;no ;yes ;no ;no ;yes ;yes ;no ;Yes (cdpath, pushd, popd) ;optional ;no ;no ;no ;yes ;no ;no ;no ;no  
tcsh ;yes ;yes ;when defined ;no ;yes ;no ;no ;yes ;yes ;no ;Yes (cdpath, pushd, popd) ;optional ;yes ;no ;no ;yes ;no ;no ;no ;no  
Hamilton C shell ;yes ;yes ;no ;yes ;yes ;no ;no ;? ;? ;no ;Yes (cdpath, pushd, popd) ;no ;no ;no ;no ;yes ;no ;no ;no ;no  
Scsh ;no ;no ;no ;no ;no ;no ;no ;? ;? ;no ;no ;no ;no ;no ;no ;yes ;no ;no ;no ;no  
ksh (ksh93t+) ;Yes (extendable) ;Yes (extendable) ;no ;no ;yes ;no ;no ;yes ;yes ;no ;Yes (cdpath builtin, pushd, popd implemented as functions) ;no ;no ;no ;no ;yes ;yes ;no ;no ;no  
pdksh ;yes ;yes ;no ;no ;yes ;no ;no ;yes ;yes ;no ;no ;no ;no ;no ;no ;yes ;yes ;no ;no ;no  
zsh ;yes ;yes ;when defined ;yes ;yes ;no ;Yes (via predict-on or user-definede.g. via 3rd party such as zsh-autosuggestions) ;yes ;yes ;Third-party extensionzsh does not feature syntax highlighting, but a 3rd party project exists which offers this capability as an add-on: zsh-syntax-highlighting ;yes ;optional ;yes ;no ;when defined (as ZLE widgets) ;yes ;yes ;no ;yes ;no  
ash ;no ;no ;no ;no ;yes ;no ;no ;yes ;yes ;no ;no ;no ;no ;no ;no ;yes ;yes ;no ;no ;no  
CCP ;no ;no ;no ;no ;no ;no ;no ;no ;no ;no ;no ;no ;no ;no ;no ;no ;no ;no ;no ;no  
COMMAND.COM ;no ;no ;no ;no ;noAvailable through the DOSKEY add-on.Available in DR-DOS through HISTORY. ;no ;no ;no ;no (only in DR-DOS through %$ON%, %$OFF%, %$HEADER%, %$FOOTER%) ;no ;no ;no ;no ;no (only single-stepping with COMMAND /Y) ;no ;no ;no (onlyviaexternal CHOICE command, in DR-DOS also via SWITCH/ DRSWITCH internal commands) ;no ;no ;no  
OS/2CMD.EXE ;yes ;yes ;no ;no ;yes ;no ;no ;no ;no ;no ;no ;no ;no ;no ;no ;no ;no ;no ;no ;no  
WindowsCMD.EXE ;partial ;partial ;no ;no ;Yes (F8) ;no ;no ;no ;no ;no ;Yes (PUSHD, POPD) ;no ;no ;no ;no ;yes (via SET /P command) ;no ;no ;no ;no  
