 Format ; File extension ; Owner or creator ; License ; Variable bit rate audio ; Variable frame rate ; Chapters ; Metadata / tags ; Interactive menu ; Streaming ; AttachmentsAttachments are additional files, such as fonts for subtitles. ; 3D{{cite web  ; last1 = Gavrilov ; first1 = Kirill ; website = sView ; type = Guide ; title = Stereoscopic Formats ; date = 2017 ; url =  ; access-date = 26 July 2019  ; Hardware players 
 3GPP (3GP) ; .3gp ; 3GPP ; Patent encumbered ; yes ; yes ; no ; yes ; no ; yes{{cite techreport ; publisher = 3GPP ; location = Valbonne, France ; type = Specification ; number = 3GPP TS 26.244 ; title = Transparent end-to-end packet switched streaming service (PSS), 3GPP file format (3GP) ; version = Version 15.0.0 (2018-06) ; date = 22 June 2018 ; url =  ; access-date = 20 July 2019  ; no ; no ; yes 
 3GPP2 (3G2) ; .3g2 ; 3GPP2 ; Patent encumbered ; yes ; yes ; no ; yes ; no ; yes ; no ; no ; yes 
 Advanced Systems Format (ASF) ; .asf, .wmv ; Microsoft ; Proprietary, patent encumbered ; yes ; yes ; yes ; yes ; no ; yes ; dunno ; yes ; yes 
 Audio Video Interleave (AVI) ; .avi ; Microsoft ; Proprietary{{cite techreport ; publisher = Library of Congress ; location = Washington, D.C. ; series = Sustainability of Digital Formats ; type = Full draft ; title = AVI (Audio Video Interleaved) File Format ; date = 9 March 2016 ; url =  ; access-date = 21 July 2019  ; YesACM cannot handle VBR audio streams in AVI files. Thus, software using ACM to read audio from AVI files will not be able to handle VBR audio streams correctly, even though such files are compliant to the AVI file specification. This is a limitation of the ACM, not of the AVI file format. ; YesAlthough AVI is not designed for variable framerates, it is possible to use them without creating a non-standard file by using 0-byte chunks for skipped frames. However it requires framerate to be set to Least common multiple of all framerates used, and produces slight overhead compared to true VFR. ; Needs alterations ; yes through RIFF chunks ; no ; no ; no ; no ; yes 
 DivX Media Format (DMF) ; .divx ; DivX, Inc. ; Proprietary ; yes ; yes ; yes ; dunno ; yes ; yes ; dunno ; no ; yes 
 Enhanced VOB (EVO) ; .evo ; DVD Forum ; Patent encumbered ; yes ; yes ; yes ; dunno ; yes ; dunno ; dunno ; no ; dunno 
 Flash Video F4V ; .f4v ; Adobe Inc. ; Patent encumbered ; dunno ; yes ; dunno ; yes ; no ; yes ; dunno ; no ; dunno 
 Flash Video FLV ; .flv ; Adobe Inc. ; Patent encumbered ; dunno ; yes ; no ; yes ; no ; yes ; dunno ; no ; dunno 
 Matroska Multimedia Container ; .mkv, .mk3d ; CoreCodec, Inc.Although CoreCodec holds the copyrights and trademarks for the Matroska specification, the specifications are open to everybody. The source code of the libraries developed by the Matroska team is licensed under the LGPL and BSD licenses. ; {{free|Freely licensed{{efn-lr|Anyone can use it or modify it for their own needs without paying any license or patents.{{cite web ; last1 = Lhomme ; first1 = Steve ; last2 = Vialle ; first2 = Ludovic ; last3 = Bunkus ; first3 = Moritz ; publisher = Matroska ; location = Roubaix, France ; type = License ; title = Legal Aspect ; date = 2018 ; url =  ; access-date = 21 July 2019  ; yes{{efn-lr|name="Matroska VBR/VFR"|Matroska is designed to store VBR and VFR content.{{cite web ; publisher = Matroska ; type = FAQ ; title = Matroska FAQ ; date = 2018 ; url =  ; access-date = 21 July 2019 ; archive-url =  ; archive-date = 8 April 2019 ; url-status = dead  ; yesname="Matroska VBR/VFR" ; yes{{cite techreport ; publisher = Matroska ; type = Specification ; title = Chapter Specifications ; date = 2018 ; url =  ; access-date = 21 July 2019  ; yes{{cite techreport ; publisher = Matroska ; type = Specification ; title = Tag Specifications ; date = 2018 ; url =  ; access-date = 21 July 2019  ; pending{{cite techreport ; publisher = Matroska ; type = Draft ; title = Menu Specifications ; date = 2018 ; url =  ; access-date = 21 July 2019  ; yes{{efn-lr|Matroska can be streamed over HTTP and RTP/RTSP, through it is not meant to be streamed over RTP, as the two have duplicate features. Matroska live streams are different from the files and some features of the file format are not supported in live streams.{{cite web ; publisher = Matroska ; type = Guide ; title = Matroska Streaming ; date = 2018 ; url =  ; access-date = 21 July 2019  ; yes{{cite techreport ; publisher = Matroska ; type = Draft ; title = Specifications ; section = Elements semantic ; date = 2018 ; url =   ; access-date = 21 July 2019  ; yes ; yes{{efn-lr|Companies producing Matroska-supporting hardware include Asus,{{cite web  ; publisher = Asus ; type = Product ; title = O!Play Air ; date = 2015 ; url =  ; access-date = 22 July 2019  
 MPEG-4 Part 14 (MP4) ; .mp4 ; MPEG ; Patent encumbered ; yes ; yes ; In specially formatted text track (QuickTime), 2) In userdata atom (started by Nero Digital) can't interact with the sceneDescription, or via segmentDescriptor ; yes ; yes ; yes ; yes ; Only at video format level ; yes 
 MPEG-1 Video File ; .mpg, .mpeg ; MPEG ; Patent encumbered ; yes ; yes ; no ; no ; no ; yes ; dunno ; no ; yes 
 MPEG program stream (PS) ; .m2p, .ps ; MPEG ; Patent encumbered ; yes ; dunno ; Only in private streams — used in VOB files on DVD ; no ; Only in private streams — used in VOB files on DVD ; dunno ; dunno ; no ; yes 
