 Format ; Type ; 3GP ; 3G2 ; ASF ; AVIname="Supported codecs in AVI" ; DMF ; EVO ; FLVAdobe Flash Video File Format Specification, p. 70, sec. E.4.3.2. ; F4V ; MKV ; PS, TS{{cite web  ; publisher = SMPTE ; location = White Plains, NY ; website = SMPTE Registration Authority, LLC ; type = Registry ; title = List of Registered MPEG TS Identifiers ; url =  ; access-date = 21 July 2019  ; M2TS ; MP4 ; MXF ; Oggname="Supported codecs in Ogg" ; QTFF ; RMVB ; VOB{{cite techreport ; publisher = DVD Resources for Open Source Development ; type = Specification ; title = DVD-Video - MPEG differences ; date = 2004 ; url =  ; access-date = 22 July 2019  ; WebM 
 Speex ; Speech ; no ; no ; no ; no ; no ; no ; yes ; no ; ACMname="Matroska VfW" ; no ; no ; no ; no ; yes ; no ; no ; no ; no 
 AMR ; Speech ; yes ; AMR-NB, AMR-WB ; yes ; yes ; no ; no ; no ; no ; no ; no ; no ; yes ; no ; no ; no ; no ; no ; no 
 QCELP ; Speech ; no ; 13K ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; yes ; no ; no ; no 
 G.728 ; Speech ; no ; no ; no ; yes ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; yes ; no ; no 
 MP1 ; Lossy ; no ; no ; yes ; yes ; no ; yes ; no ; no ; yes ; yes ; no ; yes ; yes ; no ; no ; no ; no ; no 
 MP2 ; Lossy ; no ; no ; yes ; yes ; no ; yes ; no ; no ; yes ; yes ; no ; yes ; yes ; no ; no ; no ; yes ; no 
 MP3 ; Lossy ; no ; no ; yes ; yes{{efn-lg|name="VBR audio in AVI"|Setting dwSampleSize to 0 in the stream headers triggers VBR stream seeking.{{cite techreport ; publisher = Microsoft ; type = Specification ; title = AVISTREAMHEADER Structure ; date = 6 March 2008 ; url =   ; access-date = 22 July 2019  ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; Needs OGMtools{{cite web  ; last1 = Bunkus ; first1 = Moritz ; type = Project ; title = OGMtools ; url =  ; access-date = 21 July 2019  ; MPEG-1 Audio ; no ; no ; no 
 AAC ; Lossy ; yes ; Only AAC-LC, HE-AAC v1 ; yes ; yesname="VBR audio in AVI" ; no ; no ; yes ; yes{{efn-lg|Adobe Flash Video File Format Specification,{{cite techreport ; publisher = Adobe Inc. ; location = San Jose, CA ; type = Specification ; title = Adobe Flash Video File Format Specification ; version = Version 10.1 ; date = 3 September 2010 ; url =  ; format = PDF ; access-date = 21 July 2019  ; yes ; Private ; yes ; yes ; yes ; no ; yes ; Only AAC-LC, HE-AAC v1 ; no ; no 
 AC-3 ; Lossy ; no ; no ; yes ; yes ; yes ; yes ; no ; no ; yes ; Private ; yes ; yes{{cite techreport ; publisher = ETSI ; location = Valbonne, France ; type = Standard ; number = ETSI TS 102 366 ; title = Digital Audio Compression (AC-3, Enhanced AC-3) Standard  ; version = Version 1.4.1 (2017-09) ; chapter = Annex F: AC-3 and Enhanced AC-3 bit streams in the ISO Base Media File Format ; date = 1 September 2017 ; url =  ; access-date = 22 July 2019  ; yes ; Needs OGMtools ; yes ; yes ; Private ; no 
 E-AC-3 ; Lossy ; no ; no ; yes ; no ; no ; yes ; no ; no ; QuickTimeMatroska can support some codecs privately when wrapped in a QuickTime data structure. ; no ; yes ; yes ; no ; no ; yes ; no ; no ; no 
 DTS ; Lossy ; no ; no ; yes ; yes ; yes ; yes ; no ; no ; yes ; Private ; yes ; yes ; no ; no ; no ; no ; Private ; no 
 WMA ; Lossy ; no ; no ; yes ; yes ; no ; no ; no ; no ; ACMname="Matroska VfW" ; no ; no ; no ; no ; no ; no ; no ; no ; no 
 ATRAC3 ; Lossy ; no ; no ; no ; no ; no ; no ; no ; no ; yes ; no ; no ; no ; no ; no ; no ; yes ; no ; no 
 QDesign Music 1 and 2 ; Lossy ; no ; no ; no ; no ; no ; no ; no ; no ; QuickTimename="Matroska QuickTime" ; no ; no ; no ; no ; no ; yes ; no ; no ; no 
 Vorbis ; Lossy ; no ; no ; no ; Tricky{{efn-lg|name="Vorbis in AVI"|Vorbis is not officially supported in AVI. While it can technically be muxed into AVI using FFmpeg, Nandub and AVI-Mux GUI{{cite web  ; last1 = Noé ; first1 = Alexander ; type = Project ; title = AVI-Mux GUI ; version = 1.17.8.3 ; date = 26 August 2010 ; url =  ; access-date = 21 July 2019  ; no ; no ; no ; no ; yes ; no ; no ; Private ; no ; yes ; no ; no ; no ; yes 
 Opus ; Lossy ; no ; no ; yes ; yes ; no ; no ; no ; no ; yes ; yes ; no ; yes ; no ; yes ; no ; no ; no ; yes 
 FLAC ; Lossless ; no ; no ; yes ; yes ; no ; no ; no ; no ; yes ; no ; no ; Not standard{{cite techreport ; publisher = Xiph.Org Foundation ; website = GitHub ; type = Draft ; title = Encapsulation of FLAC in ISO Base Media File Format ; version = Version 0.0.4 ; date = 27 October 2016 ; url =  ; access-date = 21 July 2019  ; no ; yes ; no ; no ; no ; no 
 ALAC ; Lossless ; no ; no ; yes ; yes ; no ; no ; no ; no ; yes ; no ; no ; yes ; no ; no ; yes ; no ; no ; no 
 MLP ; Lossless ; no ; no ; no ; no ; no ; yes ; no ; no ; no ; Private ; no ; yes ; no ; no ; no ; no ; Private ; no 
 Dolby TrueHD ; Lossless ; no ; no ; no ; no ; no ; yes ; no ; no ; yes ; no ; yes ; yes ; no ; no ; no ; no ; no ; no 
 DTS-HD ; Lossless ; no ; no ; no ; no ; no ; yes ; no ; no ; yes ; no ; yes ; yes ; no ; no ; yes ; no ; no ; no 
 WMA Lossless ; Lossless ; no ; no ; yes ; yes ; no ; no ; no ; no ; ACMname="Matroska VfW" ; no ; no ; no ; no ; no ; no ; no ; no ; no 
 ALS ; Lossless ; no ; no ; no ; no ; no ; no ; no ; no ; no ; yes ; no ; yes ; no ; no ; no ; no ; no ; no 
 SLS ; Lossless ; no ; no ; no ; no ; no ; no ; no ; no ; no ; yes ; no ; yes ; no ; no ; no ; no ; no ; no 
 LPCM ; Not compressed ; no ; no ; yes ; yes ; yes ; yes ; yes ; no ; yes ; Private ; yes ; yes ; yes ; beta{{cite techreport ; publisher = Xiph.Org Foundation ; type = Draft ; title = OggPCM ; date = 21 August 2015 ; url =  ; access-date = 28 July 2019  ; yes ; no ; Private ; no 
 μ-law PCM ; Not compressed ; no ; no ; yes ; yes ; no ; no ; yes ; no ; ACMname="Matroska VfW" ; no ; no ; no ; no ; yes ; yes ; no ; no ; no 
 A-law PCM ; Not compressed ; no ; no ; no ; yes ; no ; no ; yes ; no ; ACMname="Matroska VfW" ; no ; no ; no ; yes ; yes ; yes ; no ; no ; no 
 Microsoft ADPCM ; Not compressed ; no ; no ; yes ; yes ; no ; no ; no ; no ; ACMname="Matroska VfW" ; no ; no ; no ; no ; no ; yes ; no ; no ; no 
 IEEE floating-point PCM ; Not compressed ; no ; no ; yes ; yes ; no ; no ; no ; no ; yes ; no ; no ; no ; no ; yes ; no ; no ; no ; no 
 DV Audio ; Not compressed ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; no ; yes ; yes ; no ; yes ; no ; no ; no 
 Other ; Other ; EVS ; EVRC, EVRC-B, EVRC-WB, SMV, VMR-WB ; Microsoft GSM 6.10 ; G.721, G.722, G.723, G.726, G.729a, CVSD, ATRAC1, Dolby AC-2 ; sdash ; sdash ; {{some|Asao, SWF ADPCM{{cite techreport ; publisher = Adobe, Inc. ; type = Specification ; version = Version 10 ; title = SWF File Format Specification ; section = ADPCM Compression ; pages = 213–215 ; date = November 2008 ; url =  ; access-date = 28 July 2019  ; sdash ; Musepack, WavPack, TTA, any format supported by ACM ; sdash ; sdash ; sdash ; sdash ; sdash ; IMA 4:1, non-IEEE floating-point PCM  ; IS-54, Cook Codec, Sipro Lab ACELP-NET, RealAudio Lossless ; sdash ; sdash 
 Obsolete ; Other ; sdash ; sdash ; sdash ; Truespeech, many others ; sdash ; sdash ; sdash ; sdash ; sdash ; sdash ; sdash ; sdash ; sdash ; CELT ; MACE 3:1, MACE 6:1  ; sdash ; sdash ; sdash 
 Format ; Type ; 3GP ; 3G2 ; ASF ; AVIname="Supported codecs in AVI" ; DMF ; EVO ; FLVname="Audio formats in FLV" ; F4V ; MKV ; PS, TS ; M2TS ; MP4 ; MXF ; Oggname="Supported codecs in Ogg" ; QTFF ; RMVB ; VOB ; WebM 
