 Function ; Size (bit)The omitted multiplicands are word sizes. ; Size (bit)The omitted multiplicands are word sizes. ; Size (bit)The omitted multiplicands are word sizes. ; Size (bit)The omitted multiplicands are word sizes. ; Size (bit)The omitted multiplicands are word sizes. ; Size (bit)The omitted multiplicands are word sizes. ; Words ×Passes =RoundsSome authors interchange passes and rounds. ; OperationsA: addition, subtraction, B: bitwise operation, L: lookup table, S: shift, rotation. ; EndianIt refers to byte endianness only. If the operations consist of bitwise operations and lookup tables only, the endianness is irrelevant. 
 Function ; Word ; Digest ; ChainingvaluesThe size of message digest equals to the size of chaining values usually. In truncated versions of certain cryptographic hash functions such as SHA-384, the former is less than the latter. ; ComputationvaluesThe size of chaining values equals to the size of computation values usually. In certain cryptographic hash functions such as RIPEMD-160, the former is less than the latter because RIPEMD-160 use two sets of parallel computation values and then combine into a single set of chaining values. ; Block ; LengthThe maximum input size = 2length size − 1 bit. For example, the maximum input size of SHA-1 = 264 − 1 bits. ; Words ×Passes =RoundsSome authors interchange passes and rounds. ; OperationsA: addition, subtraction, B: bitwise operation, L: lookup table, S: shift, rotation. ; EndianIt refers to byte endianness only. If the operations consist of bitwise operations and lookup tables only, the endianness is irrelevant. 
 GOST R 34.11-94 ; 32 ; ×8 = 256 ; ×8 = 256 ; ×8 = 256 ; ×8 = 256 ; 32 ; 4 ; A B L S ; Little 
 HAVAL-3-128 ; 32 ; ×4 = 128 ; ×8 = 256 ; ×8 = 256 ; ×32 = 1,024 ; 64 ; 32 × 3 = 96 ; A B S ; Little 
 HAVAL-3-160 ; 32 ; ×5 = 160 ; ×8 = 256 ; ×8 = 256 ; ×32 = 1,024 ; 64 ; 32 × 3 = 96 ; A B S ; Little 
 HAVAL-3-192 ; 32 ; ×6 = 192 ; ×8 = 256 ; ×8 = 256 ; ×32 = 1,024 ; 64 ; 32 × 3 = 96 ; A B S ; Little 
 HAVAL-3-224 ; 32 ; ×7 = 224 ; ×8 = 256 ; ×8 = 256 ; ×32 = 1,024 ; 64 ; 32 × 3 = 96 ; A B S ; Little 
 HAVAL-3-256 ; 32 ; ×8 = 256 ; ×8 = 256 ; ×8 = 256 ; ×32 = 1,024 ; 64 ; 32 × 3 = 96 ; A B S ; Little 
 HAVAL-4-128 ; 32 ; ×4 = 128 ; ×8 = 256 ; ×8 = 256 ; ×32 = 1,024 ; 64 ; 32 × 4 = 128 ; A B S ; Little 
 HAVAL-4-160 ; 32 ; ×5 = 160 ; ×8 = 256 ; ×8 = 256 ; ×32 = 1,024 ; 64 ; 32 × 4 = 128 ; A B S ; Little 
 HAVAL-4-192 ; 32 ; ×6 = 192 ; ×8 = 256 ; ×8 = 256 ; ×32 = 1,024 ; 64 ; 32 × 4 = 128 ; A B S ; Little 
 HAVAL-4-224 ; 32 ; ×7 = 224 ; ×8 = 256 ; ×8 = 256 ; ×32 = 1,024 ; 64 ; 32 × 4 = 128 ; A B S ; Little 
 HAVAL-4-256 ; 32 ; ×8 = 256 ; ×8 = 256 ; ×8 = 256 ; ×32 = 1,024 ; 64 ; 32 × 4 = 128 ; A B S ; Little 
 HAVAL-5-128 ; 32 ; ×4 = 128 ; ×8 = 256 ; ×8 = 256 ; ×32 = 1,024 ; 64 ; 32 × 5 = 160 ; A B S ; Little 
 HAVAL-5-160 ; 32 ; ×5 = 160 ; ×8 = 256 ; ×8 = 256 ; ×32 = 1,024 ; 64 ; 32 × 5 = 160 ; A B S ; Little 
 HAVAL-5-192 ; 32 ; ×6 = 192 ; ×8 = 256 ; ×8 = 256 ; ×32 = 1,024 ; 64 ; 32 × 5 = 160 ; A B S ; Little 
 HAVAL-5-224 ; 32 ; ×7 = 224 ; ×8 = 256 ; ×8 = 256 ; ×32 = 1,024 ; 64 ; 32 × 5 = 160 ; A B S ; Little 
 HAVAL-5-256 ; 32 ; ×8 = 256 ; ×8 = 256 ; ×8 = 256 ; ×32 = 1,024 ; 64 ; 32 × 5 = 160 ; A B S ; Little 
 MD2 ; 8 ; ×16 = 128 ; ×32 = 256 ; ×48 = 384 ; ×16 = 128 ; None ; 48 × 18 = 864 ; B ; N/A 
 MD4 ; 32 ; ×4 = 128 ; ×4 = 128 ; ×4 = 128 ; ×16 = 512 ; 64 ; 16 × 3 = 48 ; A B S ; Little 
 MD5 ; 32 ; ×4 = 128 ; ×4 = 128 ; ×4 = 128 ; ×16 = 512 ; 64 ; 16 × 4 = 64 ; A B S ; Little 
 RIPEMD ; 32 ; ×4 = 128 ; ×4 = 128 ; ×8 = 256 ; ×16 = 512 ; 64 ; 16 × 3 = 48 ; A B S ; Little 
 RIPEMD-128 ; 32 ; ×4 = 128 ; ×4 = 128 ; ×8 = 256 ; ×16 = 512 ; 64 ; 16 × 4 = 64 ; A B S ; Little 
 RIPEMD-256 ; 32 ; ×8 = 256 ; ×8 = 256 ; ×8 = 256 ; ×16 = 512 ; 64 ; 16 × 4 = 64 ; A B S ; Little 
 RIPEMD-160 ; 32 ; ×5 = 160 ; ×5 = 160 ; ×10 = 320 ; ×16 = 512 ; 64 ; 16 × 5 = 80 ; A B S ; Little 
 RIPEMD-320 ; 32 ; ×10 = 320 ; ×10 = 320 ; ×10 = 320 ; ×16 = 512 ; 64 ; 16 × 5 = 80 ; A B S ; Little 
 SHA-0 ; 32 ; ×5 = 160 ; ×5 = 160 ; ×5 = 160 ; ×16 = 512 ; 64 ; 16 × 5 = 80 ; A B S ; Big 
 SHA-1 ; 32 ; ×5 = 160 ; ×5 = 160 ; ×5 = 160 ; ×16 = 512 ; 64 ; 16 × 5 = 80 ; A B S ; Big 
 SHA-256 ; 32 ; ×8 = 256 ; ×8 = 256 ; ×8 = 256 ; ×16 = 512 ; 64 ; 16 × 4 = 64 ; A B S ; Big 
 SHA-224 ; 32 ; ×7 = 224 ; ×8 = 256 ; ×8 = 256 ; ×16 = 512 ; 64 ; 16 × 4 = 64 ; A B S ; Big 
 SHA-512 ; 64 ; ×8 = 512 ; ×8 = 512 ; ×8 = 512 ; ×16 = 1024 ; 128 ; 16 × 5 = 80 ; A B S ; Big 
 SHA-384 ; 64 ; ×6 = 384 ; ×8 = 512 ; ×8 = 512 ; ×16 = 1024 ; 128 ; 16 × 5 = 80 ; A B S ; Big 
 Tiger-192 ; 64 ; ×3 = 192 ; ×3 = 192 ; ×3 = 192 ; ×8 = 512 ; 64 ; 8 × 3 = 24 ; A B L S ; Not Specified 
 Tiger-160 ; 64 ; ×2.5=160 ; ×3 = 192 ; ×3 = 192 ; ×8 = 512 ; 64 ; 8 × 3 = 24 ; A B L S ; Not Specified 
