 Format ; Null ; Boolean true ; Boolean false ; Integer ; Floating-point ; String ; Array ; Associative array/Object 
 ASN.1(XML Encoding Rules) ; nobr ; true ; false ; 685230 ; 6.8523015e+5 ; A to Z ;    ; An object (the key is a field name):      A data mapping (the key is a data value):     
 CSV ; null(or an empty element in the row) ; 1true ; 0false ; 685230-685230 ; 6.8523015e+5 ; A to Z"We said, ""no""." ; true,,-42.1e7,"A to Z" ; 42,1 A to Z,1,2,3 
 Format ; Null ; Boolean true ; Boolean false ; Integer ; Floating-point ; String ; Array ; Associative array/Object 
 Ion ; null null.null null.bool null.int null.float null.decimal null.timestamp null.string null.symbol null.blob null.clob null.struct null.list null.sexp ; true ; false ; 685230-6852300xA74AE0b111010010101110 ; 6.8523015e5 ; "A to Z"A to Z ; [true, null, -42.1e7, "A to Z"]  ; {'42': true, 'A to Z': [1, 2, 3]}  
 Netstring ; 0:,4:null, ; 1:1,4:true, ; 1:0,5:false, ; 6:685230, ; 9:6.8523e+5, ; 6:A to Z, ; 29:4:true,0:,7:-42.1e7,6:A to Z,, ; 41:9:2:42,1:1,,25:6:A to Z,12:1:1,1:2,1:3,,,, 
 JSON ; null ; true ; false ; 685230-685230 ; 6.8523015e+5 ; "A to Z" ; [true, null, -42.1e7, "A to Z"]  ; {"42": true, "A to Z": [1, 2, 3]}  
 OGDLdate=September 2009 ; null ; true ; false ; 685230 ; 6.8523015e+5 ; "A to Z"'A to Z'NoSpaces ; true null -42.1e7 "A to Z" (true, null, -42.1e7, "A to Z") ;42  "A to Z"    3 42  "A to Z", (1, 2, 3) 
 Format ; Null ; Boolean true ; Boolean false ; Integer ; Floating-point ; String ; Array ; Associative array/Object 
 OpenDDL ; ref {null} ; bool {true} ; bool {false} ; int32 {685230}int32 {0x74AE}int32 {0b111010010101110} ; float {6.8523015e+5} ; string {"A to Z"} ; Homogeneous array:  int32 {1, 2, 3, 4, 5}  Heterogeneous array:  array {  } ; dict {  } 
PHP serialization format ;N, ;b:1, ;b:0, ;i:685230,i:-685230, ;d:685230.15,d:INF,d:-INF,d:NAN, ;s:6:"A to Z", ;a:4:{i:0,b:1,i:1,N,i:2,d:-421000000,i:3,s:6:"A to Z",} ;Associative array:a:2:{i:42,b:1,s:6:"A to Z",a:3:{i:0,i:1,i:1,i:2,i:2,i:3,}}Object:O:8:"stdClass":2:{s:4:"John",d:3.14,s:4:"Jane",d:2.718,} 
 Pickle (Python) ; N. ; I01\n. ; I00\n. ; I685230\n. ; F685230.15\n. ; S'A to Z'\n. ; (lI01\na(laF-421000000.0\naS'A to Z'\na. ; (dI42\nI01\nsS'A to Z'\n(lI1\naI2\naI3\nas. 
 Property list(plain text format){{cite web|url= class documentation|website=www.gnustep.org|access-date=2009-10-28|archive-url= ; n/a ; <*BY> ; <*BN> ; <*I685230> ; <*R6.8523015e+5> ; "A to Z" ; ( <*BY>, <*R-42.1e7>, "A to Z" ) ; {  } 
 Property list(XML format) ; n/a ;  ;  ; 685230 ; 6.8523015e+5 ; A to Z ;         ;          
 Protocol Buffers ; n/a ; true ; false ; 685230-685230 ; 20.0855369 ; "A to Z""sdfff2 \000\001\002\377\376\375""q\tqq<>q2&\001\377" ; field1: "value1" field1: "value2" field1: "value3  anotherfield {  } anotherfield {  }  ;  thing1: "blahblah" thing2: 18923743 thing3: -44 thing4 {  } enumeratedThing: SomeEnumeratedValue thing5: 123.456 [extensionFieldFoo]: "etc" [extensionFieldThatIsAnEnum]: EnumValue  
 Format ; Null ; Boolean true ; Boolean false ; Integer ; Floating-point ; String ; Array ; Associative array/Object 
 S-expression ; NILnil ; T#ttrue ; NIL#ffalse ; 685230 ; 6.8523015e+5 ; abc"abc"#616263#3:abc{MzphYmM=}|YWJj| ; (T NIL -42.1e7 "A to Z") ; ((42 T) ("A to Z" (1 2 3))) 
 YAML ; ~nullNullNULL{{cite web|url= |title=Null Language-Independent Type for YAML Version 1.1 |publisher= |work=YAML.org ;author1=Oren Ben-Kiki|author2=Clark Evans|author3=Brian Ingerson |accessdate=2009-09-12}} ; yYyesYesYESonOnONtrueTrueTRUE ; nNnoNoNOoffOffOFFfalseFalseFALSE ; 685230+685_230-685230024722560x_0A_74_AE0b1010_0111_0100_1010_1110190:20:30 ;6.8523015e+5685.230_15e+03685_230.15190:20:30.15.inf-.inf.Inf.INF.NaN.nan.NAN ; A to Z"A to Z"'A to Z' ; [y, ~, -42.1e7, "A to Z"] - y - - -42.1e7 - A to Z ; {"John":3.14, "Jane":2.718} 42: y A to Z: [1, 2, 3] 
 XML and SOAP ; nobr ; true ; false ; 685230 ; 6.8523015e+5 ; A to Z ; true  -42.1e7 A to Z  ;   
 XML-RPC ;  ; 1 ; 0 ; 685230 ; 6.8523015e+5 ; A to Z ;  ;   
