 Name ; Operating system ; User interface ; Sector by sectorname="Raw" ; File by filename="File" ; Hot transfername="LiveCopy" ; Mount or extractExtracting is the process of browsing a disk image and retrieving some of the files that it contains, at the user's discretion. Mounting a disk image is the process of making the disk image content available to the user as if he or she is accessing a physical read-only disk. ; Operation model ; Operation model ; Operation model ; License 
 Name ; Operating system ; User interface ; Sector by sectorname="Raw" ; File by filename="File" ; Hot transfername="LiveCopy" ; Mount or extractExtracting is the process of browsing a disk image and retrieving some of the files that it contains, at the user's discretion. Mounting a disk image is the process of making the disk image content available to the user as if he or she is accessing a physical read-only disk. ; Standalone ; Client–server ; From a Live OS ; License 
 Acronis True Image ; Windows ; Graphical ; yesname="ATIht" ; FAT32, NTFSname="ATIH-Linux" ; yes ; yes ; yes ; yes ; yes (64 MB) ; Trialwarename="ATItryv"  
 Apple Software Restore ; macOS ; Command-line ; yes ; HFS+ ; no ; via hdiutil ; yes ; yes ; No ; Part of macOS  
 CloneDisk ; Windows 7 ; Graphical ; yes ; FAT, FAT32, NTFS, exFAT, UDF ; no ; yes ; yes ; yes ; yes ; Freeware  
 Clonezilla ; Linux ; Text-based ; yes ; FAT12, FAT16, FAT32, NTFS, ext2, ext3, ext4, reiserfs, reiser4, xfs, jfs, btrfs, f2fs, NILFS2, HFS+, UFS, minix, VMFS3 ; no ; Through a hack ; yes ; yes (Clonezilla server edition) ; yes (210 MB) ; GPL  
 dcfldd ; Linux;Command-line; yes ; no ; no ; yes ; yes ; no ; dunno ; GPL  
 dd (Unix) ; Unix;Command-line; yes ; no ; no ; yesname="Loop device" ; yes ; no ; yesname="dd" ; GPLv3  
 Disks (gnome-disk-utility) ; Linux;Graphical; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; Part of Linux 
 Disk Utility ; macOS;Graphical; yes ; HFS+ ; yes ; yes ; yes ; no ; yes ; Part of macOS  
 Drive SnapShot ; Windows;Graphical, Command-line; yes ; no ; yes ; yes ; yes ; no ; no ; Trialware  
 Foxclone AndyMH posting on the Linux Mint forums, posted 30 March 2020. Entry amended by author AndyMH 7 Sep 2020. ; Linux ; Graphical ; yes ;  ntfs, fat32, ext4, GPT & MSDOS partition tables ; no ; no ; yes ; no ; yes ; GPL  
 FSArchiver ; Linux;Text-based; no ; FAT32, btrfs, ext2, ext3, ext4, ReiserFS-4, HPFS, JFS, XFS ; dunno ; dunno ; yes ; no ; dunno ; GPL  
Ghost ; Windows;Graphical,Command-line; yes ; FAT32, NTFS,  HPFS, ext2, ext3  ; yes ; yes ; yes ; yes ; yes ; Trialware  
GParted Live CD ; Linux ; Graphical ; no ; ext2, ext3 ; no ; no ; yes ; no ; yes ; GPL  
 HDClone ; Windows, (LinuxHDClone/L as 2nd Live OS for the stand-alone version since HDClone 7.) ;Graphical, Command-line; yes ;  FAT16, FAT32, ExFAT, NTFS, ReFS, ext2, ext3, ext4, XFS, HFS+ ; yes ; yes ; yes ; no ; yes ; Freemium  
Image for Windows ; Windows;Graphical ; yes ; FAT32, NTFS, ext2, ext3 ; yes ; yes ; yes ; no ; yes ; Trialware  
IsoBuster ; Windows;Graphical; yes ; FAT12, FAT16, FAT32, ExFAT, NTFS, ext2, ext3, ext4, MFS, HFS, HFS+, UDF, XFS ; no ; yes ; yes ; no ; yes ; Trialware  
 Kleo Bare Metal Backup ; Independent (Live OS) ;Graphical; yes ; FAT32, NTFS, ext2, ext3, HFS+ ; no ; dunno ; no ; yes ; yes (570 MB) ; Freeware  
Mondo Rescue ; Linux;Text-based; yes ; FAT32, NTFS, ext2, ext3 ; yes ; dunno ; yes ; dunno ; yes *name="Mindi-Linux" ; GPL  
 ntfsclone ; Linux;Command-line; no ; NTFS ; dunno ; dunno ; yes ; no ; noname=compilation ; GPL  
partimage ; Linux;Text-based; no ; FAT32, ext2, ext3, ReiserFS-3, HPFS, JFS, XFS,UFS (beta), HFS (beta), NTFS (experimental) ; dunno ; dunno ; yes ; yes ; noname=compilation ; GPL  
 Partition-Saving ; Windows, Linux, DOS;Text-basedCommand-line; yes ; FAT32, NTFS, ext2, ext3 ; no ; yes ; yes ; no ; yes ; Freeware  
 Redo Backup and Recovery ; Independent (Live OS) ;Graphical; yes ; FAT32, NTFS, ext2, ext3, ext4 ; no ; no ; no ; Can access networked drives ; yes (225 MB) ; GPL  
