 Name ; Whole disk ; Partition ; File ; Swap space ; Hibernation file ; RAID 
 Aloaha Secure Stick ; no ; no ; yes ; no ; no ; dunno 
 ArchiCrypt Live ; yes(except for the boot volume) ; yes ; yes ; no ; no ; dunno 
 BestCrypt ; yes ; yes ; yes ; yes ; yes{{cite web|url= Hard Disk Encryption Software - BestCrypt Volume Encryption - Jetico Inc. Oy|publisher=|access-date=2009-09-17|archive-url= ; dunno 
 BitArmor DataControl ; no ; yes ; no ; yes ; yes ; dunno 
 BitLocker ; yes(except for the boot volume) ; yes ; yesWithin a VHD  ; yes(parent volume is encrypted) ; yes(parent volume is encrypted) ; dunno 
 Bloombase Keyparc ; yes ; yes ; yes ; yes ; no ; dunno 
 CenterTools DriveLock ; yes ; yes ; yes ; yes ; yes ; dunno 
 CGD ; yes ; yes ; yes ; yes ; no ; dunno 
 Check Point Full Disk Encryption ; yes ; yes ; yes ; yes ; yes ; dunno 
 CipherShed ; yes ; yes ; yes ; yes ; only on Windows ; dunno 
 CrossCrypt ; no ; no ; yes ; no ; no ; dunno 
 CryFS ; no ; no ; no ; no ; no ; dunno 
 CryptArchiver ; no ; no ; yes ; no ; no ; dunno 
 Cryptic Disk ; no ; yes ; yes ; no ; no ; dunno 
 Cryhod ; no ; yes ; no ; yes ; yes(parent volume is encrypted) ; dunno 
 Cryptoloop ; yes ; yes ; yes ; yes ; no ; dunno 
 Cryptomill ; yes ; n/a ; yes ; n/a ; n/a ; dunno 
 CryptoPro Secure Disk Enterprise ; yes ; yes ; yes(add-on Secure Device) ; yes ; yes ; dunno 
 CryptoPro Secure Disk for BitLocker ; yes ; yes ; yes ; yes ; yes ; dunno 
 DiskCryptor ; yes ; yes ; no ; yes ; yes ; dunno 
 Disk Protect ; yes ; no ; no ; yes ; yes ; dunno 
 Dm-crypt / LUKS ; yes ; yes ; yesdm-crypt can encrypt a file-based volume when used with the losetup utility included with all major Linux distributions ; yes ; yesyes, but the user needs custom scripts:  ; dunno 
 DriveCrypt ; yes ; yes ; yes ; yes ; yes ; dunno 
 DriveSentry GoAnywhere 2 ; no ; yes ; yes ; no ; no ; dunno 
 E4M ; No ; Yes ; Yes ; No ; no ; dunno 
 e-Capsule Private Safe ; no ; no ; yesUses proprietary e-Capsule file system not exposed to the OS. ; no ; no ; dunno 
 eCryptfs ; no ; no ; yes ; no ; no ; dunno 
 EgoSecure HDD Encryption ; yes ; yes ; yes ; yes ; yes ; dunno 
 EncryptUSB ; no ; no ; yes ; no ; no ; dunno 
 FileVault ; no ; no ; yes ; yesnot technically part of FileVault, but provided by many versions of Mac OS X, can be enabled independently of FileVault ; yes link|date=August 2017 |bot=InternetArchiveBot |fix-attempted=yes }} 
 FileVault 2 ; yes ; yes ; no ; yes ; yes ; dunno 
 FREE CompuSec ; yes ; no ; yes ; yes ; yes ; dunno 
 FreeOTFE ; yes(except for the boot volume) ; yes ; yes ; no ; no ; dunno 
 GBDE ; yes ; yes ; yesFile-based volume encryption is possible when used with mdconfig(8) utility. ; yes ; no ; dunno 
 GELI ; yes ; yes ; yes ; yes ; no ; dunno 
 Loop-AES ; yes ; yes ; yes ; yes ; yes ; dunno 
 McAfee Drive Encryption (SafeBoot) ; yes ; yes ; yes ; yes ; yes ; dunno 
 n-Crypt Pro ; yes ; yes ; yes ; no ; no ; dunno 
 PGPDisk ; yes ; yes ; yes ; yes ; only on Windows ; dunno 
 Private Disk ; no ; no ; yes ; no ; no ; dunno 
 ProxyCrypt ; yes ; yes ; yes ; no ; no ; dunno 
 R-Crypto ; no ; no ; yes ; no ; no ; dunno 
 SafeGuard Easy ; yes ; yes ; extra module ; yes ; Each sector on disk is encrypted ; dunno 
 SafeGuard Enterprise ; yes ; yes ; yes ; yes ; Each sector on disk is encrypted ; dunno 
 SafeGuard PrivateDisk ; no ; no ; yes ; no ; no ; dunno 
 SafeHouse Professional ; no ; no ; yes ; no ; no ; dunno 
 Scramdisk ; no ; yes ; yes ; no ; no ; dunno 
 Scramdisk 4 Linux ; yes ; yes ; yes ; yes ; no ; dunno 
 SecuBox ; no ; no ; yes ; n/a ; no ; dunno 
 SecureDoc ; yes ; yes ; yes ; yes ; yes ; dunno 
 Sentry 2020 ; no ; no ; yes ; no ; no ; dunno 
 Seqrite Encryption Manager ; yes ; yes ; yes ; yes ; yes ;  RAID-5 
 Softraid / RAID C ; yes ; yes ; no ; yes (encrypted by default in OpenBSD) OpenBSD 3.8 change notes ; no ; dunno 
 Svnd / Vnconfig ; dunno ; yes ; yes ; yes (encrypted by default in OpenBSD) ; dunno ; dunno 
 SpyProof! ; no ; yes ; yes ; no ; no ; dunno 
 Symantec Endpoint Encryption ; yes ; yes ; yes ; yes ; yes ; dunno 
 Trend Micro Endpoint Encryption ; yes ; yes ; yes ; yes ; yes ; dunno 
 TrueCrypt ; yeshowever, not Windows UEFI-based computers with a GUID partition table (GPT) ; yes ; yes ; yes ; only on Windows ; dunno 
 VeraCrypt ; yes ; yes ; yes ; yes ; only on Windows ; dunno 
 CyberSafe Top Secret ; no ; yes ; yes ; no ; no ; dunno 
 Name ; Whole disk ; Partition ; File ; Swap space ; Hibernation file ; RAID 
