 Manager ; Latest stable release ; License / Price (USD) ; Adware, Malware & SpywareUnless otherwise noted, programs marked "Yes" without other inline citations have been tested 100% Free OR 100% Clean by Softpedia and/or other sources ; CLI ; GUI ; Web ; Linux ; Windows ; Mac OS X 
 rh|4K Video Downloader ; 4.4.7.2307 (30) ; Proprietary / Freemium ; No ; No;yes;No ; yes;yes;yes 
 rh|BitComet ; Latest stable software release/BitComet  ; Proprietary / freeware ; Adware from version 0.85 to 0.97,Potentially sensitive information reported to BC Servers ; Partial BitComet command line interface see BitComet Command Line - BitComet Wiki;yes; yesdate=June 2010 ;  no;yes; no 
 rh|DownloadStudio ; 10.0.4.0(28) ; Shareware / $24.95 ; None Known ; yes;yes; yes ; no;yes; no 
 rh|DownThemAll! ; Latest stable software release/DownThemAll! ; GPL / ; None Known ; no;yes; yes ; Requires recent version of Chrome, Firefox and Opera;Requires recent version of Chrome, Firefox and Opera;Requires recent version of Chrome, Firefox and Opera 
 rh|FlashGet ; 3.7.0.1195(10) ; Proprietary / Freeware ; No ; no;yes; yes ; no;yes; no 
 rh|Free Download Manager ; Latest stable software release/Free Download Manager ; Proprietary / Freeware after version 5.0 and newer ; No ; no;yes;no ; yes;yes; yes 
 rh|Free Studio ; 6.6.35.323(23) ; Proprietary / Freeware ; No ; no;yes; no ; yes;yes;yes 
 rh|Freemake Video Downloader ; 3.8.0(12) ; Proprietary / Freeware ; Offers to install sponsored software upon installation changing default search engine and browsers homepage ; no;yes; no ; no;yes; no 
 rh|GetRight ; Latest stable software release/GetRight ; Proprietary / $49.95 for Pro ; No ; yes;yes;yes ; no;yes; no 
 rh2|Go!Zilla ; 5.03(1) ; Proprietary / $19.95 ; None as of Version 5,Aureate adware prior to that ; no;yes; yes ; no;yes; yes 
 rh|Internet Download Accelerator ; 6.19.1.1641(24) ; Proprietary / Freeware, $9.95 single/$24.95 family pack for Pro ; Adware on free version ; yes;yes; no ; no;yes; no 
 rh|Internet Download Manager ; 6.31 Build 3(09) ; Proprietary / $24.95 lifetime for 1 PC ; None Known ; yes;yes; no ; no;yes; no 
 rh|JDownloader ; 2(df=yes) ; GPL / ; Yes, comes bundled but can install even when not ticking yes ; yes;yes; yes ; yes;yes; yes 
 rh|JDownloader ; 0.9.581(df=yes) ; GPL / ; Adware Mobogenie (optional install),Adware browser hijacker Mysearchdial (optional install) ; no;yes; yes ; yes;yes; yes 
 rh|JDownloader ; 0.7.3-3(df=yes) ; GPLv2 / ; No ; yes ; no ; no ; yes;yes;yes 
 rh|KGet ; Latest stable software release/KDE Software Compilation 4 ; GPL / ; None Known ; yes;yes; no ; yes;Part of KDE for Windows;Part of KDE for Mac 
 rh|Microsoft Download Manager ; 1.2.1 build 2044(08) ; proprietary / Freeware ; No ; no;yes; no ; no;yes; no 
 rh|MiniDM ; 2.5.1(2) ; proprietary / Freeware ; None Known ; no;yes; no ; no;yes; no 
 rh|MLDonkey ; Latest stable software release/MLDonkey ; GPL / ; None Known ; yes;yes;yes ; yes;yes;no 
 rh|Shareaza ; Latest stable software release/Shareaza ; GPL / ; Original Client:None Known ; yes;yes;yes ; no;yes; no 
 Manager ; Latest stable release ; License / Price (USD) ; Adware, Malware & Spyware ; CLI;GUI;Web ; Linux;Windows;Mac OS X 
