 Maker ; Model ; Intro year ; End year ; Screen size (inch) ; Self-lit ; Screen type ; Screen model ; Weight ; Screen pixels ; Touch screen ; Wireless network ; Text-to-speech ; Folders ; Internal Storage ; Micro SDHC ; Web browser ; Library DRM compatible ; USB peripherals 
 Aluratek ; Libre Ebook Reader Pro ; 2009 ; 2014 ; 5in ; No ; ePaper ;  ; 213g (7.5oz) ; 600 × 800 ; No ; No ; No ; Yes ; 90 MB ; up to  32 GB ; No ; Yes ; No 
 Amazon.com ; Kindle Paperwhite (2nd generation) Wi-Fi/3G  ; 2013 ; 2015 ; 6in ; Yes ; eInk Carta ;  ; 215g (7.6oz) ; 758 × 1024 ; 2-Point ; Wi-Fi/CDMA, GSM ; No ; Yes ; 2 GB (1.25 GB) ; No ; Yes ; US only ; No 
 Amazon.com ; Kindle Paperwhite 1st generation ; 2012 ; 2013 ; 6in ; Yes ; eInk Pearl ;  ; 221g (7.8oz) ; 758 × 1024 ; 2-Point ; Wi-Fi/ CDMA, GSM ; No ; Yes ; 2 GB (1.25 GB) ; No ; Yes ; US only ; No 
 Amazon.com ; Kindle (5th generation) ; 2012 ; 2014 ; 6in ; No ; eInk Pearl ;  ; 170g (5.98oz) ; 600 × 800 ; no ; Wi-Fi ; No ; Yes ; 2 GB (1.25 GB) ; No ; Yes ; US only ; No 
 Amazon.com ; Kindle (4th generation) ; 2011 ; 2012 ; 6in ; No ; eInk Pearl ;  ; 170g (6.0oz) ; 600 × 800 ; no ; Wi-Fi ; No ; Yes ; 2 GB (1.25 GB) ; No ; Yes ; US only ; No 
 Amazon.com ; Kindle Touch 3G/Wi-Fi ; 2011 ; 2012 ; 6in ; No ; eInk Pearl ;  ; 220g (7.8oz) ; 600 × 800 ; Yes ; Wi-Fi/CDMA, GSM ; Yes ; Yes ; 4 GB (3 GB) ; No ; Yes ; US only ; No 
 Amazon.com ; Kindle Keyboard Wi-Fi/3G ; 2010 ; 2011 ; 6in ; No ; eInk Pearl ; ED060SC7(LF) ; 247g (8.7oz) ; 600 × 800 ; No ; Wi-Fi/CDMA, GSM ; Yes ; Yes ; 4 GB (3 GB) ; No ; Yes ; US only ; No 
 Amazon.com ; Kindle DX 1st gen white ; 2009 ; 2011 ; 9.7in ; No ; eInk ;  ; 540g (19oz) ; 824 × 1200 ; No ; CDMA (USA), GSM ; Yes ; Yes ; 4 GB (3.3 GB) ; No ; limited ; US only ; No 
 Amazon.com ; Kindle DX 2nd gen graphite ; 2010 ; 2012 ; 9.7in ; No ; eInk Pearl ;  ; 535g (18.9oz) ; 824 × 1200 ; No ; HSDPA/GSM ; Yes ; Yes ; 4 GB (3.3 GB) ; No ; limited ; US only ; No 
 Amazon.com ; Kindle 2 ; 2009 ; 2010 ; 6in ; No ; eInk ;  ; 289g (10.2oz) ; 600 × 800 ; No ; CDMA (USA), GSM (World) ; Yes ; Yes ; 2 GB (1.4 GB) ; No ; limited ; US only ; No 
 Amazon.com ; Kindle ; 2007 ; 2009 ; 6 ; No ; eInk ;  ; 289g (10.2oz) ; 600 × 800 ; No ; CDMA ; No ; No ; 256 MB (180 MB) ; SD ; limited ; US only ; No 
 Asus ; EEE Reader DR-900 ; 2010 ; 2010 ; 9in ; No ; SiPix ;  ; 440g (16oz) ; 768 × 1024 ; Yes ; Wi-Fi ; Yes ; Yes ; 2 GB ; microSD ; Yes ; No ; Yes 
 Barnes & Noble ; Nook Simple Touch ; 2011 ; 2013 ; 6in ; No ; eInk Pearl ;  ; 212g (7.5oz) ; 600 × 800 ; Yes ; Yes ; Wi-Fi ; Yes ; 2 GB ; yes ; No ; Yes ; No 
 Barnes & Noble ; Nook ; 2009 ; 2011 ; 6in ; No ; eInk ;  ; 343g (12.1oz) ; 600 × 800 ; Bottom ; Wi-Fi UMTS⌥ ; No ; (FW v1.5) ; 2 GB (1.3 GB) ; yes ; Yes (FW v1.3) ; Yes ; No 
 Bookeen ; Cybook Gen3 ; 2007 ; ? ; 6in ; No ; eInk ;  ; 174g (6.1oz) ; 600 × 800 ; No ; No ; No ; Yes ; 16 MB, 512 MB, 1 GB ; SD ; No ; Yes ; No 
 Bookeen ; Cybook Opus ; 2009 ; ? ; 5in ; No ; eInk ;  ; 150g (5.3oz) ; 600 × 800 ; No ; No ; No ; Yes ; 1 GB ; yes ; No ; Yes ; No 
 Ectaco ; JetBook Color ; 2012 ; ? ; 9.7in ; No ; eInk Triton ;  ; 662g (23.4oz) ; 1200 × 1600, ppi 206 ; Unknown, button for page turn yes ; Yes ; Yes ; Yes ; yes (unknown size) ; up to 32 GB ; No ; Yes, OPDS, Atom ; Yes 
 EnTourage ; EnTourage eDGe ; 2010 ; 2011 ; 9.7in ; No ; eInk & LCD ;  ; 1,400g (49oz) ; 825 × 1200 ; Yes ; Wi-Fi, Bluetooth ; Yes (Pico TTS) ; Yes ; 3 GB (10% for apps) ; SD 32 GB ; Yes ; Yes ; Yes 
 EnTourage ; Pocket eDGe ; 2010 ; 2011 ; 6in ; No ; eInk & LCD ;  ; 700g (25oz) ; 600 × 800 ; Yes ; Wi-Fi, Bluetooth ; Yes (Pico TTS) ; Yes ; 3 GB ; micro  SD ; Yes ; Yes ; Unknown 
