 Client ; Message templates ; Message templates ; Message templates ; Message templates ; Message templates ; Message templates ; Message templates individual for ; Support in message templates scripts, programming languages ; Support in message templates scripts, programming languages ; Support in message templates scripts, programming languages ; Support in message templates scripts, programming languages ; Support in message templates scripts, programming languages ; Support in message templates scripts, programming languages ; Support in message templates scripts, programming languages 
 Client ; new ; reply ; forward ; read confirmation ; save ; print ; Message templates individual for ; JavaScript ; VBScript ; PHP Scripts ; Python ; Regular expression ; Java ; Other (specify) 
 rh| Alpine ; Yes ; Yes ; Yes ; dunno ; dunno ; dunno ; any ; No ; No ; No ; No ; dunno ; No ; dunno 
 rh| Becky! Internet Mail ; yes ; yes ; yes ; yes ; yes ; yes ; anyaccountfolder ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| Citadel ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| Claws Mail ; yes ; yes ; yes ; yes ; yes ; yes ; accountfolder ; no ; no ; no ; yes ; dunno ; dunno ; Perl 
 rh| Cone ; yes ; no ; no ; no ; no ; no ; dunno ; no ; no ; no ; no ; no ; no ; no 
 rh2| Courier ; yes ; yes ; yes ; no ; yes ; yes ; dunno ; no ; no ; no ; no ; no ; no ; no 
 rh| Elm ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh2| eM Client ; yes ; yes ; yes ; yes ; yes ; yes ; account ; no ; no ; no ; no ; no ; no ; no 
 rh2| Eudora ; yes ; yes ; yes ; yes ; yes ; yes ; any ; no ; no ; no ; no ; yes ; no ; no 
 rh| Evolution ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| Gnus ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; no ; no ; no ; no ; yes ; no ; elisp 
 rh| GroupWise ; yes ; no ; no ; yes ; yes ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| Hiri ; yes ; yes ; yes ; no ; yes ; yes ; any ; no ; no ; no ; no ; no ; no ; no 
 rh| i.Scribe / InScribe ; yes ; yes ; yes ; no ; no ; no ; any ; no ; no ; no ; no ; no ; no ; Internal macros (similar to JavaScript) 
 rh| IBM Notes ; yes ; yes ; yes ; yes ; dunno ; dunno ; dunno ; yes ; no ; no ; no ; yes ; yes ; LotusScript, Formula language 
 rh| KMail ; yes ; yes ; yes ; no ; no ; no ; none ; dunno ; no ; no ; no ; dunno ; dunno ; dunno 
 rh| Mailpile ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh2| Microsoft Entourage ;yes ;yes ;yes ;yes ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; AppleScript, Automator 
