 Client ; POP3  fetch all messages ; POP3  selected by filter ; POP3  selected by user ; IMAP4 ; SMTP ; NNTP ; LDAPv2 ; LDAPv3 ; EWS ; IPv6 ; MAPI 
 rh| Alpine ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; yes ; dunno 
 rh| Apple Mail ; yes ; yes ; yes ; yes ; yes ; dunno ; yes ; yes ; dunno ; yes ; dunno 
 rh| Becky! Internet Mail ; yes ; yes ; yes ; yes ; yes ; yes BECKY_frnews ; yes ; dunno ; dunno ; dunno ; dunno 
 rh| Citadel ; yes ; dunno ; dunno ; yes ; yes ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| Claws Mail ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; yes ; dunno 
 rh| Cone ; yes ; no ; no conePOP3 ; yes ; yes ; yes ; yes ; yes ; dunno ; dunno ; dunno 
 rh2| Courier ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; dunno ; dunno ; dunno 
 rh| Elm ; no ; no ; no ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| eM Client ; yes ; no ; no ; yes ; yes ; no ; no ; no ; yes ; yes ; no 
 rh| EmailTray ; yes ; no ; no ; yes ; yes ; no ; no ; no ; no ; no ; no 
 rh| Evolution ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes ; plug-in ; dunno ; plug-in 
 rh| Gnus ; yes ; yes ; no ; yes ; yes ; yes ; yes  ; yes  ; dunno ; dunno ; dunno 
 rh| GroupWise ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes 
 rh| Hiri ; no ; no ; no ; no ; no ; no ; yes  ; yes  ; yes ; yes ; no 
 rh| i.Scribe / InScribe ; yes ; no ; yes ; yes ; yes ; no ; yes plugin ; yes plugin ; no ; no ; yes 
 rh| HCL Notes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; no 
 rh| KMail ; yes ; yes ; yes ; yes ; yes ; no KDENNTP ; yes ; dunno ; dunno ; dunno ; dunno 
 rh| Mailbird ; yes ; dunno ; dunno ; yes ; yes ; dunno ; yes ; yes ; dunno ; yes ; dunno 
 rh| Mailpile ; yes ; no ; no ; yes ; yes ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh2| Microsoft Entourage ; yes ; dunno ; dunno ; yes ; yes ; yes ; no ; yes ; partial ; dunno ; dunno 
 rh2|  Microsoft Entourage 2008, Web Services Edition ; yes ; dunno ; dunno ; yes ; yes ; dunno ; dunno ; yes ; yes ; dunno ; dunno 
 rh| Microsoft Office Outlook ; yes ; no ; no ; yes ; yes ; no ; yes ; dunno ; yes ; yes ; yes 
 rh2| Mozilla Mail & Newsgroups ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| Mozilla Thunderbird ; yes ; no ; no ; yes ; yes ; yes ; partial ; partialWrite to LDAP still missing after 10 years, Mozilla bug 86405 ; extensibleAdd-ons include MesQuilla ExQuilla Exchange Web Services (alpha) (see also ExQuilla for Microsoft Exchange) and  Provider for Microsoft Exchange  ; yes ; dunno 
 rh2| Mulberry ; yes ; no ; no ; yes ; yes ; no ; yes ; dunno ; dunno ; yes ; yes 
 rh| Mutt ; yes ; No (possible with POP3 browser) ; No (possible with POP3 browser) ; yes ; yes ; no (slrn looks alike) ; partial (resolve real names through NSS) ; dunno ; dunno ; yes ; dunno 
 rh2| Netscape Messenger ; yes ; dunno ; dunno ; yes ; dunno ; yes ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh2| Netscape Messenger 9 ; yes ; dunno ; dunno ; yes ; dunno ; yes ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| nmh / MH ; yes ; dunno ; dunno ; no ; yes ; dunno ; dunno ; dunno ; no ; dunno ; no 
 rh| Opera Mail ; yes ; no ; yes ; yes ; yes ; yes ; no ; no ; dunno ; yes ; yes 
 rh2| Outlook Express ; yes ; no ; no ; yes ; yes ; yes ; yes ; dunno ; no ; dunno ; no 
 rh| Pegasus Mail ; yes ; yes ; yes ; yes ; yes ; yes pegasusaddins ; yes ; dunno ; dunno ; dunno ; dunno 
 rh2| Pine ; yes ; no ; no ; yes ; yes ; yes ; yes ; no ; dunno ; dunno ; dunno 
 rh2| Pocomail ; yes ; yes ; yes ; yes ; yes ; no ; no ; no ; dunno ; dunno ; dunno 
 rh| RoundCube ; yes ; no ; no ; yes ; yes ; no ; yes ; yes ; dunno ; dunno ; dunno 
 rh| SeaMonkey Mail & Newsgroups ; yes ; no ; no ; yes ; yes ; yes ; partial ; dunno ; dunno ; yes ; dunno 
 rh2| Spicebird ; yes ; no ; no ; yes ; yes ; yes ; partial ; dunno ; dunno ; dunno ; dunno 
 rh| SquirrelMail ; yes ; no ; no ; yes ; yes ; no ; yes ; yes ; dunno ; dunno ; dunno 
 rh| Sylpheed ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; yes ; no 
 rh| The Bat! ; yes ; yes SelectiveDownload ; yes MessageDispatcher ; yes ; yes ; yes BAT_mygate ; yes ; no ; yes ; yes ; yes 
 rh| Trojitá ; no ; no ; no ; yes ; yes ; no ; no ; no ; no ; yes ; no 
 rh2| Turnpike ; yes ; dunno ; dunno ; dunno ; yes ; yes ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh2| Windows Live Mail ; yes ; no ; no ; yes ; yes ; yes ; yes ; dunno ; no ; yes ; no 
 rh2| Windows Mail ; yes ; no ; no ; yes ; yes ; dunno ; dunno ; dunno ; no ; yes ; no 
 rh| YAM ; yes ; yes ; yes ; no ; yes ; no ; no ; no ; dunno ; dunno ; dunno 
 rh| Zimbra ; yes ; no ; no ; yes ; yes ; no ; yes ; yes ; dunno ; dunno ; dunno 
 Client ; POP3  fetch all messages ; POP3  selected by filter ; POP3  selected by user ; IMAP4 ; SMTP ; NNTP ; LDAP v2 ; LDAP v3 ; EWS ; IPv6 ; MAPI 
