 Client ; Regular ; Regular ; MSN (NTLM) browser login ; Compuserve (RPA) ; MD5 APOPAPOP ; CRAM-HMACHMAC ; CRAM-HMACHMAC ; CRAM-HMACHMAC ; DIGEST-MD5 ;SCRAM ; with hardware token PKCS#11 ; Biometric ; SMTP AuthSMTPAUTH ; X.509 Client certificate ; OAuth 
 Client ; LOGIN ; PLAIN ; MSN (NTLM) browser login ; Compuserve (RPA) ; MD5 APOPAPOP ; MD5 ; SHA1 ; RIPEMD ; DIGEST-MD5 ;SCRAM ; with hardware token PKCS#11 ; Biometric ; SMTP AuthSMTPAUTH ; X.509 Client certificate ; OAuth 
 rh| Alpine ; yes ; yes ; no ; no ; no ; yes ; no ; no ; no ; dunno ; no ; no ; yes ; no ; dunno 
 rh| Apple Mail ; yes ; yes ; no ; no ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; yes ; yes ; yes ; yes AppleMailOAuth 
 rh| Becky! Internet Mail ; yes ; yes ; yes ; dunno ; yes ; yes ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; yes ; yes ; dunno 
 rh| Citadel ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| Claws Mail ; yes ; yes ; dunno ; dunno ; yes ; yes ; dunno ; dunno ; yes  ; yes ; no ; dunno ; yes ; no ; dunno 
 rh| Cone ; yes ; yes ; no ; no ; no ; yes ; yes ; no ; no ; dunno ; no ; no ; yes ; yes ; dunno 
 rh2| Courier ; yes ; yes ; yes ; no ; yes ; yes ; yes ; no ; yes ; dunno ; no ; no ; yes ; yes ; dunno 
 rh| Elm ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| eM Client ; yes ; yes ; yes ; no ; no ; yes ; no ; no ; yes ; dunno ; no ; no ; yes ; no ; yes 
 rh| EmailTray ; yes ; yes ; dunno ; dunno ; yes ; yes ; yes ; no ; dunno ; dunno ; no ; no ; yes ; no ; dunno 
 rh2| Eudora ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; no ; dunno ; no ; no ; no ; dunno ; dunno 
 rh| Evolution ; yes ; yes ; yes ; no ; yes ; yes ; no ; no ; yes ; dunno ; no ; no ; yes ; no ; dunno 
