Dataset Name ; Brief description ; Preprocessing ; Instances ; Format ; Default Task ; Created (updated) ; Reference ;Creator 
EEG Database ;Study to examine EEG correlates of genetic predisposition to alcoholism. ;Measurements from 64 electrodes placed on the scalp sampled at 256Hz (3.9ms epoch) for 1 second. ;122 ;Text ;Classification ;1999 ; s2cid = 6390999  ;H. Begleiter 
P300 Interface Dataset ;Data from nine subjects collected using P300-based brain-computer interface for disabled subjects. ;Split into four sessions for each subject. MATLAB code given. ;1,224 ;Text ;Classification ;2008 ; s2cid = 9648828 doi=10.1109/86.847808 ;U. Hoffman et al. 
Heart Disease Data Set ;Attributed of patients with and without heart disease. ;75 attributes given for each patient with some missing values. ;303 ;Text ;Classification ;1988 ; pmid = 2756873  doi=10.1016/s0031-3203(96)00142-2 ;A. Janosi et al. 
Breast Cancer Wisconsin (Diagnostic) Dataset ;Dataset of features of breast masses. Diagnoses by physician is given. ;10 features for each sample are given. ;569 ;Text ;Classification ;1995 ;Street, W. Nick, William H. Wolberg, and Olvi L. Mangasarian. "Nuclear feature extraction for breast tumor diagnosis." IS&T/SPIE's Symposium on Electronic Imaging: Science and Technology. International Society for Optics and Photonics, 1993.Demir, Cigdem, and Bülent Yener. "Automated cancer diagnosis based on histopathological images: a systematic survey." Rensselaer Polytechnic Institute, Tech. Rep (2005). ;W. Wolberg et al. 
National Survey on Drug Use and Health ;Large scale survey on health and drug use in the United States. ;None. ;55,268 ;Text ;Classification, regression ;2012 ;Abuse, Substance. "Mental Health Services Administration, Results from the 2010 National Survey on Drug Use and Health: Summary of National Findings, NSDUH Series H-41, HHS Publication No.(SMA) 11-4658." Rockville, MD: Substance Abuse and Mental Health Services Administration 201 (2011). ;United States Department of Health and Human Services 
Lung Cancer Dataset ;Lung cancer dataset without attribute definitions ;56 features are given for each case ;32 ;Text ;Classification ;1992 ; doi=10.1016/0031-3203(91)90074-fLi, Jinyan, and Limsoon Wong. "Using rules to analyse bio-medical data: a comparison between C4. 5 and PCL." Advances in Web-Age Information Management. Springer Berlin Heidelberg, 2003. 254-265. ;Z. Hong et al. 
Arrhythmia Dataset ;Data for a group of patients, of which some have cardiac arrhythmia. ;276 features for each instance. ;452 ;Text ;Classification ;1998 ;Güvenir, H. Altay, et al. "A supervised machine learning algorithm for arrhythmia analysis."Computers in Cardiology 1997. IEEE, 1997.Lagus, Krista, et al. "Independent variable group analysis in learning compact representations for data." Proceedings of the International and Interdisciplinary Conference on Adaptive Knowledge Representation and Reasoning (AKRR'05), T. Honkela, V. Könönen, M. Pöllä, and O. Simula, Eds., Espoo, Finland. 2005. ;H. Altay et al. 
Diabetes 130-US hospitals for years 1999–2008 Dataset ;9 years of readmission data across 130 US hospitals for patients with diabetes. ;Many features of each readmission are given. ;100,000 ;Text ;Classification, clustering ;2014 ;Strack, Beata, et al. "Impact of HbA1c measurement on hospital readmission rates: analysis of 70,000 clinical database patient records." BioMed Research International 2014, 2014 s2cid = 3908599  ;J. Clore et al. 
Diabetic Retinopathy Debrecen Dataset ;Features extracted from images of eyes with and without diabetic retinopathy. ;Features extracted and conditions diagnosed. ;1151 ;Text ;Classification ;2014 ; s2cid = 13984326 year=2015 ;B. Antal et al. 
Diabetic Retinopathy Messidor Dataset ;Methods to evaluate segmentation and indexing techniques in the field of retinal ophthalmology (MESSIDOR) ;Features retinopathy grade and risk of macular edema ;1200 ;Images, Text ;Classification, Segmentation ;2008 ;doi-access=free ;Messidor Project 
Liver Disorders Dataset ;Data for people with liver disorders. ;Seven biological features given for each patient. ;345 ;Text ;Classification ;1990 ; s2cid = 14165678 Fung, Glenn, et al. "A fast iterative algorithm for fisher discriminant using heterogeneous kernels."Proceedings of the twenty-first international conference on Machine learning. ACM, 2004. ;Bupa Medical Research Ltd. 
Thyroid Disease Dataset ;10 databases of thyroid disease patient data. ;None. ;7200 ;Text ;Classification ;1987 ;Quinlan, John Ross, et al. "Inductive knowledge acquisition: a case study." Proceedings of the Second Australian Conference on Applications of expert systems. Addison-Wesley Longman Publishing Co., Inc., 1987. s2cid = 1024861  ;R. Quinlan 
Mesothelioma Dataset ;Mesothelioma patient data. ;Large number of features, including asbestos exposure, are given. ;324 ;Text ;Classification ;2016 ; doi=10.1016/j.compeleceng.2011.09.001Er, Orhan, A. Çetin Tanrikulu, and Abdurrahman Abakay. "Use of artificial intelligence techniques for diagnosis of malignant pleural mesothelioma."Dicle Tıp Dergisi 42.1 (2015). ;A. Tanrikulu et al. 
Parkinson's Vision-Based Pose Estimation Dataset ;2D human pose estimates of Parkinson's patients performing a variety of tasks.  ;Camera shake has been removed from trajectories. ;134 ;Text ;Classification, regression ;2017 ;bibcode=2017arXiv170709416Lissn=1353-8020 ;M. Li et al. 
KEGG Metabolic Reaction Network (Undirected) Dataset ;Network of metabolic pathways. A reaction network and a relation network are given. ;Detailed features for each network node and pathway are given. ;65,554 ;Text ;Classification, clustering, regression ;2011 ;pmc=403769 ;M. Naeem et al. 
Modified Human Sperm Morphology Analysis Dataset (MHSMA) ;Human sperm images from 235 patients with male factor infertility, labeled for normal or abnormal sperm acrosome, head, vacuole, and tail. ;Cropped around single sperm head. Magnification normalized. Training, validation, and test set splits created. ;1,540 ;.npy files ;Classification ;2019 ;pmid=31059902 ;S. Javadi and S.A. Mirroshandel 
