Dataset Name ; Brief description ; Preprocessing ; Instances ; Format ; Default Task ; Created (updated) ; Reference ;Creator 
Forest Fires Dataset ;Forest fires and their properties. ;13 features of each fire are extracted. ;517 ;Text ;Regression ;2008 ;Cortez, Paulo, and Aníbal de Jesus Raimundo Morais. "A data mining approach to predict forest fires using meteorological data." (2007). doi=10.1016/j.eswa.2010.02.055 ;P. Cortez et al. 
Iris Dataset ;Three types of iris plants are described by 4 different attributes. ;None. ;150 ;Text ;Classification ;1936 ; hdl-access = free Ghahramani, Zoubin, and Michael I. Jordan. "Supervised learning from incomplete data via an EM approach." Advances in neural information processing systems 6. 1994. ;R. Fisher 
Plant Species Leaves Dataset ;Sixteen samples of leaf each of one-hundred plant species. ;Shape descriptor, fine-scale margin, and texture histograms are given. ;1600 ;Text ;Classification ;2012 ; page = 1 Yahiaoui, Itheri, Olfa Mzoughi, and Nozha Boujemaa. "Leaf shape descriptor for tree species identification." Multimedia and Expo (ICME), 2012 IEEE International Conference on. IEEE, 2012. ;J. Cope et al. 
Mushroom Dataset ;Mushroom attributes and classification. ;Many properties of each mushroom are given. ;8124 ;Text ;Classification ;1987 ; page = 73  ;J. Schlimmer 
Soybean Dataset ;Database of diseased soybean plants. ;35 features for each plant are given. Plants are classified into 19 categories. ;307 ;Text ;Classification ;1988 ;Tan, Ming, and Larry Eshelman. "Using weighted networks to represent classification knowledge in noisy domains." Proceedings of the Fifth International Conference on Machine Learning. 2014. ;R. Michalski et al. 
Seeds Dataset ;Measurements of geometrical properties of kernels belonging to three different varieties of wheat. ;None. ;210 ;Text ;Classification, clustering ;2012 ;Charytanowicz, Małgorzata, et al. "Complete gradient clustering algorithm for features analysis of x-ray images." Information technologies in biomedicine. Springer Berlin Heidelberg, 2010. 15–24. doi=10.1016/j.ins.2014.04.005 ;Charytanowicz et al. 
Covertype Dataset ;Data for predicting forest cover type strictly from cartographic variables. ;Many geographical features given. ;581,012 ;Text ;Classification ;1998 ; citeseerx = 10.1.1.128.2475 Fürnkranz, Johannes. "Round robin rule learning."Proceedings of the 18th International Conference on Machine Learning (ICML-01): 146--153. 2001. ;J. Blackard et al. 
Abscisic Acid Signaling Network Dataset ;Data for a plant signaling network. Goal is to determine set of rules that governs the network. ;None. ;300 ;Text ;Causal-discovery ;2008 ; arxiv = q-bio/0610012  ;J. Jenkens et al. 
Folio Dataset ;20 photos of leaves for each of 32 species. ;None. ;637 ;Images, text ;Classification, clustering ;2015 ; doi-access = free  bibcode = 2016Optik.127.3162L  ;T. Munisami et al. 
Oxford Flower Dataset ;17 category dataset of flowers. ;Train/test splits, labeled images, ;1360 ;Images, text ;Classification ;2006 ;Nilsback, Maria-Elena, and Andrew Zisserman. "A visual vocabulary for flower classification."Computer Vision and Pattern Recognition, 2006 IEEE Computer Society Conference on. Vol. 2. IEEE, 2006. ;M-E Nilsback et al. 
Plant Seedlings Dataset ;12 category dataset of plant seedlings. ;Labelled images, segmented images, ;5544 ;Images ;Classification, detection ;2017 ; class = cs.CV  ;Giselsson et al. 
Fruits 360 dataset ;Database with images of 120 fruits and vegetables. ;100x100 pixels, White background. ;82213 ;Images (jpg) ;Classification ;2017-2019 ; doi-access = free{{cite web|last1 = Oltean| first1 = Mihai |last2 = Muresan| first2 = Horea| year = 2017 | title = A dataset with fruit images on Kaggle| url =  ;Mihai Oltean, Horea Muresan 
