 File archivers ; Creator(s)  ; First public release date  ; Latest stable version ; Cost (USD) ; Software license 
 rh| 7-Zip ; Igor Pavlov ; 02 ; 19.0021 ; Free ; LGPL (RAR plugin is proprietary) 
 rh| ALZip ; ESTsoft ; 1999 (as a WinZip translation)   ; Latest stable software release/ALZip ; A free general serial number was published on developer's website altools.com in August 2012 ; Proprietary 
 rh| ALZip for Mac ; ESTsoft ; 1999 (as a WinZip translation)   ; Latest stable software release/ALZip for Mac ; A free general serial number was published on developer's website altools.com in August 2012 ; Proprietary 
 rh| Archive Manager ; Paolo Bacchilega ; 12 ; 3.36.2 04 ; Free ; GPL 
 rh| Archive Utility ; Apple Inc. ; 24 ; Latest stable software release/Archive Utility ; Included with Mac OS X Core Services ; Proprietary 
 rh| Ark ; KDE team ; 1997 ; 19.4.39 ; Free ; GPL 
 rh| B1 Free Archiver ; Adam Buyer ; 08 ; 1.5.8625 ; Free ; Proprietary 
 rh| BetterZip ; BetterZip ; 05 ; Latest stable software release/BetterZip ; $19.95 USD ; Proprietary 
 rh| Commander One ; Eltima Software ; 04  ; 1.129 ; Standard Free, $29.95 Pro Pack ; Proprietary 
 rh| Compressed Folders ; Microsoft Inc. ; 25 ; Windows 8.127 ; Included in Microsoft Windows Windows Explorer shell since Windows Me. ; Proprietary 
 rh| CRAX Commander ; Soft4U2 ; 01 ; 1.10.902 ; $19.99 USD ; Proprietary 
 rh| Disk ARchiver ; Denis Corbin ; 2002 ; 2.5.1420 ; Free ; GPL 
 rh| Expander ; Haiku, Inc. ; 2002 ; Latest preview software release/Haiku (operating system) ; Free ; MIT 
 rh2| Filzip ; Philipp Engel ; unk ; Latest stable software release/Filzip ; Free ; Proprietary 
 rh| FreeArc ; Bulat Ziganshin ; 1v0.36 ; 0.666(20) ; Free ; GPL 
 rh2| iArchiver ; Dare to be Creative Ltd. ; 21 ; 1.4.130 ; $26 ; Proprietary 
 rh| Info-ZIP (Wzip) ; Samuel Smith ; 3 ; 6.029 ; Free ; BSD-like 
 rh2| KGB Archiver ; Tomasz Pawlak ; 01 ; 1.2.1.24 1 ; Free ; GPL 
 rh| PeaZip ; Giorgio Tani ; 16 ; 7.4.108 ; Free ; LGPL 
 rh| PKZIP ; Phil Katz ; 1989 ; 12.49(ca. ) ; $29.00 ; Proprietary 
 rh| PowerArchiver ; ConexWare ; 3 ;  17.01.04 5 ; $22.95 ; Proprietary 
 rh| StuffIt ; Smith Micro Software ; 1987 ; 15.0.701 ; Free expander, $49.99 Deluxe, $79.99 French Deluxe, Windows: $14.99 Standard, $29.99 Deluxe, $49.99 French (or German) Deluxe ; Proprietary 
 rh| TAR ; AT&T ; 1979 ; GNU tar: Latest stable software release/Tar, star: 1.5.3, BSD tar: 2.6.0 ; Free ; Various 
 rh| The Unarchiver ; Circlesoft ; 1 ; 3.11.316 ; Free ; Proprietary 
 rh| Terse ; IBM ; 1 ;  ; Free ; proprietary 
 rh2| TUGZip ; Christian Kindahl ; 18 ; 3.5.0.02 ; Free ; Proprietary 
 rh2| WinAce ; e-merge GmbH ; unk ; 2.6923 ; Free expander (GNU/Linux & Mac only), $29.00 Standard, $39.00 Plus ; Proprietary 
 rh| WinRAR ; Eugene Roshal / Alexander Roshal ; 1993 ; Latest stable software release/WinRAR ; Free expander, $29 ; Proprietary 
 rh| WinZip ; WinZip Computing, Inc ; 1991 ; Latest stable software release/WinZip ; $29.95 Standard, $49.95 Pro ; Proprietary 
 rh| XAD a.k.a. XADMaster.library ; Dirk Stoecker ; 1998 ; 13.1 ; Shareware, Free for non commercial use ; Proprietary 
 rh2| Xarchiver ; Giuseppe Torelli ; unk ; 0.5.414 ; Free ; GPL 
 rh| ZipGenius ; Matteo Riso of M.Dev Software ; 5 ; 6.3.2.31128 ; Free ; Proprietary 
 rh| ZPAQ ; Matt Mahoney ; 3 ; 7.1517 ; Free ; Mixed public domain and MIT 
