 Name ; Creator ; First public version(date) ; Latest stable version(date, number) ; Cost ; Software license 
 rh| Altap Salamander ; Altap ; 15 ; 01 (4.0) ; free ; proprietary 
 rh| Commander One ; Eltima Software ; 04 ; 2019 (2.3) ; US$29.95free demo, trial or lite version available ; proprietary 
 rh| CRAX Commander ; Soft4U2 ; 01 ; 05 (1.11.1) ; US$19.99 ; proprietary 
 rh| Directory Opus ; Jonathan Potter,GPSoftware ; Amiga: v1 (1990-01-03)Windows: v6 (2001-06-18) ; 30 (12.20) ; A$49 lite / A$89 pro ; proprietary 
 rh| Dired ; integral part of Emacs,part of the GNU project ; 1974? ; 30 (7.17) ; free ; GPL 
rh| Documents by Readdle ;Readdle ; ; ; free ; proprietary 
 rh| Dolphin ; KDE ; 07 (0.5) ;  Latest stable software release/KDE Applications  ; free ; GPL 
 rh| DOS Navigator ; Ritlabs ; 1991 (0.90) ; 1999 (1.51) ; free ; BSD original 
 rh| DOS Shell ; Microsoft / IBM ; 1988 ; 1998 ; Part of MS-DOS/PC DOS (OS) ; proprietary 
 rh| Double Commander ; Alexander Koblov (alexx2000) and others ; 2007 ; 07 (0.9.5) ; free ; GPL 
 rh| emelFM2 ; tooar ; 06 ; 18 (0.9.1) ; free ; GPL 
 rh| Explorer++ ; David Ercig ; 08 ; 03 (1.3.5) ; free ; GPL 
 rh| Far Manager ; Eugene Roshal (original), Far Group ; 1996 ; mf=y ; free ; BSD revised 
 rh| File Commander ; Brian Havard ; 1993 ; 03 (2.40) ; A$35.00 ; proprietary 
 rh| File Explorerpreviously known as Windows Explorer ; Microsoft ; 24 ; 29 ; Part of Windows (OS) ; proprietary 
 rh| File Manager ; Microsoft (Ian Ellison-Taylor) ; 1990 ; 7 (10.0.1901.1) ; Part of Windows (OS) ; MIT 
rh| Files (Apple) ;Apple Inc. ;19 ; ; Part of iOS (OS) ; proprietary 
rh| Files by Google ;Google LLC ; df=yes ; ; Free ; proprietary  
 rh| GeoManager ; Berkeley SoftworksLater renamed to 'GeoWorks Corporation', Breadbox Ensemblefoundes as 'Breadbox Computer Company' ; 1990 ; 2009 ; Part of PC/GEOS (OS) ; proprietary 
 rh| Finder ; Apple Inc. ; 01 ; 13 (10.10.5) ; Part of macOS (OS) ; proprietary 
 rh| fman ; Michael Herrmann ; 18 ; 22 (1.5.8) ; US$18 ; proprietary 
 rh| ForkLift ; BinaryNights ; 01 ; 26 (3.4.2) ; US$29.95 ; proprietary 
 rh| gentoo ; Emil Brink ; dunno ; 18 (0.19.13) ; free ; GPL 
 rh| GNOME Commander ; GNOME Commander ; 09 ; 28 (1.6.4) ; free ; GPL 
 rh| GNOME Filesformerly and known as Nautilus ; Eazel ; 11 ; Latest stable software release/GNOME ; free ; GPL 
 rh| Konqueror ; KDE ; 10 ; Latest stable software release/KDE Software Compilation 4 ; free ; GPL 
 rh| Krusader ; Krusader Krew ; 11 ; Latest stable software release/Krusader ; free ; GPL 
 rh| Midnight Commanderalso known as mc ; GNU Midnight Commander ; < May 1994The exact history is unknown. This date comes from changelog entries in the src/TODO file in the Git repository (SHA1: eb6b3842a). But it is probably earlier than that. Dec 1997 was release v4.1 already. ; 12 (4.8.22) ; free ; GPL 
 rh| muCommander ; Maxence Bernard ; 17 ; 08 (0.9.3) ; free ; GPL 
 rh| Nemo ; Linux Mint ; 07 (1.0.0) ; December 11, 2018 (4.0.5)access-date=2018-12-11 ; Freepart of Cinnamon (Desktop Environment) ; GPL 
 rh| Nomad.NET ; Eugene Sichkar ; 14 (2.2.0.537 beta) ; 13 (3.2.0.2890) ; free ; proprietary 
