 File manager ; Filesystem support ; Attribute columns ; File previews ; Metadata indexing ; Unicode support ; Visual Themes 
 rh| Altap Salamander ; yes ; yes ; yes ; dunno ; partial ; no 
 rh| Commander One ; yes ; yes ; yes ; dunno ; yes ; yes 
 rh| CRAX Commander ; yes ; yes ; yes ; dunno ; yes ; partial 
 rh| Directory Opus ; yes ; yes ; yes ; partial ; yes ; yes 
 rh| Dired ; yes ; yes ; yes ; no ; yes ; yes 
rh| Documents by Readdle ; ; ; ; ; ; 
 rh| Dolphin ; yes ; no ; yes ; yes ; yes ; dunno 
 rh| Double Commander ; yes ; yes ; yes ; no ; yes ; partial 
 rh| emelFM2 ; dunno ; dunno ; dunno ; dunno ; ; dunno 
 rh| Far Manager ; yes ; yes ; yes ; partial ; yes ; no 
rh| Files (Apple) ; ; ;Yes ; ;Yes ; 
rh| Files by Google ; ; ; ; ; ; 
 rh| Finder ; yes ; no ; Yes ; yes ; Yes ; partial 
 rh| ForkLift ; yes ; yes ; yes ; no ; yes ; yes 
 rh| Konqueror ; yes ; no ; yes ; yes ; yes ; yes 
 rh| Krusader ; yes ; no ; yes ; partial ; ; dunno 
 rh| Midnight Commander ; yes ; no ; no ; no ; yes ; no 
 rh| GNOME Files (Nautilus) ; yes ; dunno ; yes ; dunno ; yes ; dunno 
 rh| Nemo ; ? ; ? ; ? ; ? ; ? ; ? 
 rh| Nomad.NET ; yes ; yes ; yes ; dunno ; yes ; yes 
 rh| Path Finder ; dunno ; dunno ; dunno ; dunno ; ; dunno 
 rh| PCManFM ; yes ; yes ; yes ; no ; yes ; no 
 rh| ROX-Filer ;  ; no ; yes ; no ; ; dunno 
 rh| Total Commander ; yes ; yes ; yes ; yes In search tool ; yes ; partial 
 rh| Windows Explorer ; yes ; yes ; yes ; yesIFilters ; yes ; Partial 
 rh| Xandros File Manager ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| Xfe ; no ; partial ; no ; no ; partial ; partial 
 rh| Xfile ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| Xfm ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| xplorer² ; yes ; yes ; yes ; dunno ; yes ; yes 
 rh| XYplorer ; yes ; yes ; yes ; dunno ; yes ; yes 
 rh| ZTreeWin ; yes ; yes ; yes ; dunno ; yes ; no 
 File manager ; Filesystem support ; Attribute columns ; File previews ; Metadata indexing ; Unicode support ; Visual Themes 
