 File system ; Hard link ; Symbolic link ; Block journaling ; Metadata-only journaling ; Case-sensitive ; Case-preserving ; File Change Log ; XIP 
 DECtape ; no ; no ; no ; no ; no ; no ; no ; no 
BeeGFS ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no 
 Level-D ; no ; no ; no ; no ; no ; no ; no ; no 
 RT-11 ; no ; no ; no ; no ; no ; no ; no ; no 
 APFS ; yes ; yes ; dunno ; dunno ; partial ; yes ; dunno ; dunno 
 Version 6 Unix file system (V6FS) ; yes ; no ; no ; no ; yes ; yes ; no ; no 
 Version 7 Unix file system (V7FS) ; yes ; noSystem V Release 4, and some other Unix systems, retrofitted symbolic links to their versions of the Version 7 Unix file system, although the original version didn't support them. ; no ; no ; yes ; yes ; no ; no 
 exFAT ; no ; no ; no ; partial (with TexFAT only) ; no ; yes ; no ; no 
 FAT12 ; no ; no ; no ; partial (with TFAT12 only) ; no ; partial (with VFAT LFNs only) ; no ; no 
 FAT16/ FAT16B/ FAT16X ; no ; no ; no ; partial (with TFAT16 only) ; no ; partial (with VFAT LFNs only) ; no ; no 
 FAT32/ FAT32X ; no ; no ; no? ; partial (with TFAT32 only) ; no ; partial (with VFAT LFNs only) ; no ; no 
 GFS ; yes ; yesContext based symlinks were supported in GFS, GFS2 only supports standard symlinks since the bind mount feature of the Linux VFS has made context based symlinks obsolete ; yes ; yesOptional journaling of data ; yes ; yes ; no ; no 
 HPFS ; no ; no ; no ; no ; no ; yes ; no ; no 
 NTFS ; yes ; yesAs of Windows Vista, NTFS fully supports symbolic links.magazine=TechNet NTFS 3.0 (Windows 2000) and higher can create junctions, which allow entire directories (but not individual files) to be mapped to elsewhere in the directory tree of the same partition (file system). These are implemented through reparse points, which allow the normal process of filename resolution to be extended in a flexible manner. ; noNTFS stores everything, even the file data, as meta-data, so its log is closer to block journaling. ; yesname=note-37 (2000) ; yesWhile NTFS itself supports case sensitivity, the Win32 environment subsystem cannot create files whose names differ only by case for compatibility reasons. When a file is opened for writing, if there is any existing file whose name is a case-insensitive match for the new file, the existing file is truncated and opened for writing instead of a new file with a different name being created. Other subsystems like e. g. Services for Unix, that operate directly above the kernel and not on top of Win32 can have case-sensitivity. ; yes ; yes ; dunno 
 HFS Plus ; yes ; yes ; no ; yesMetadata-only journaling was introduced in the Mac OS X 10.2.2 HFS Plus driver, journaling is enabled by default on Mac OS X 10.3 and later. ; partialAlthough often believed to be case sensitive, HFS Plus normally is not. The typical default installation is case-preserving only. From Mac OS X 10.3 on the command newfs_hfs -s will create a case-sensitive new file system.Darwin HFS Plus version 5 optionally supports case-sensitivity. However, since case-sensitivity is fundamentally different from case-insensitivity, a new signature was required so existing HFS Plus utilities would not see case-sensitivity as a file system error that needed to be corrected. Since the new signature is 'HX', it is often believed this is a new filesystem instead of a simply an upgraded version of HFS Plus. (hasn't been updated to discuss HFSX) (Very technical overview of HFS Plus and HFSX.) ; yes ; yesMac OS X Tiger (10.4) and late versions of Panther (10.3) provide file change logging (it's a feature of the file system software, not of the volume format, actually). ; no 
 FFS ; yes ; yes ; no ; no ; yes ; yes ; no ; no 
 UFS1 ; yes ; yes ; no ; no ; yes ; yes ; no ; no 
 UFS2 ; yes ; yes ; no ; yes"Soft dependencies" (softdep) in NetBSD, called "soft updates" in FreeBSD provide meta-data consistency at all times without double writes (journaling)  Journaled Soft Updates (SU+J) are the default as of FreeBSD 9.x-RELEASE  ; yes ; yes ; no ; dunno 
 HAMMER ; yes ; yes ; yes ; yes ; yes ; yes ; dunno  ; no 
 LFS ; yes ; yes ; yesUDF, LFS, and NILFS are log-structured file system and behave as if the entire file system were a journal. ; no ; yes ; yes ; no ; no 
 ext ; yes ; yes ; no ; no ; yes ; yes ; no ; no 
 Xiafs ; yes ; yes ; no ; no ; yes ; yes ; no ; no 
 ext2 ; yes ; yes ; no ; no ; yes ; yes ; no ; yesLinux kernel versions 2.6.12 and newer. 
 ext3 ; yes ; yes ; yes (2001) Off by default. ; yes (2001) ; yes ; yes ; no ; yes 
 ext4 ; yes ; yes ; yesname=note-62 ; yes ; yes, optional  ; yes ; no ; yes 
 NOVA ; yes ; yes ; no ; yes ; yes ; yes ; no ; yes 
 F2FS ; yes ; yes ; yesname=note-38 ; no ; yes ; yes ; no ; no 
 Lustre ; yes ; yes ; yesname=note-62 ; yes ; yes ; yes ; yes ; no 
 NILFS ; yes ; yes ; yesname=note-38 ; no ; yes ; yes ; no ; no 
 ReiserFS ; yes ; yes ; yesFull block journaling for ReiserFS was added to Linux 2.6.8. ; yes ; yes ; yes ; no ; dunno 
 Reiser4 ; yes ; yes ; yes ; no ; yes ; yes ; no ; dunno 
 OCFS ; no ; yes ; no ; no ; yes ; yes ; no ; no 
 OCFS2 ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no 
 XFS ; yes ; yes ; yes ; yes ; yesOptionally no on IRIX and Linux. ; yes ; yes ; dunno 
 JFS ; yes ; yes ; yes ; yes (1990) ; yesParticular Installable File System drivers and operating system may not support case sensitivity for JFS. OS/2 does not, and Linux has a mount option for disabling case sensitivity. ; yes ; no ; dunno 
 QFS ; yes ; yes ; no ; yes ; yes ; yes ; no ; no 
 BFS ; yes ; yes ; no ; yes ; yes ; yes ; dunno ; no 
 NSS ; yes ; yes ; dunno ; yes ; yesCase-sensitivity/Preservation depends on client. Windows, DOS, and OS/2 clients don't see/keep case differences, whereas clients accessing via NFS or AFP may. ; yesname=note-20 ; yesThe file change logs, last entry change timestamps, and other filesystem metadata, are all part of the extensive suite of auditing capabilities built into NDS/eDirectory called NSure Audit.Filesystem Events tracked by NSure ; no 
 NWFS ; yesAvailable only in the "NFS" namespace. ; yesname=note-53 ; no ; no ; yesname=note-20 ; yesname=note-20 ; yesname=note-6 ; no 
 ODS-2 ; yes ; yesThese are referred to as "aliases". ; no ; yes ; no ; no ; yes ; no 
 ODS-5 ; yes ; yesname=note-18 ; no ; yes ; no ; yes ; yes ; dunno 
 UDF ; yes ; yes ; yesname=note-38 ; yesname=note-38 ; yes ; yes ; no ; yes 
 VxFS ; yes ; yes ; yes ; no ; yes ; yes ; yes ; dunno 
