 File system ;Sparse file ;Block suballocation ; Tail packing ; Extents ;Variablefileblock sizeVariable block size refers to systems which support different block sizes on a per-file basis. (This is similar to extents but a slightly different implementational choice.) The current implementation in UFS2 is read-only. ; Allocate-on-flush ; Copy on write ; Trim support 
 DECtape ; no ; no ; no ; no ; no ; no ; no ; no 
BeeGFS ; yes ; no ; no ; yes ; yes ; yes ; yes ; dunno 
 Level-D ; no ; no ; no ; yes ; no ; no ; no ; dunno 
 APFS ; yes ; dunno ; dunno ; yes ; dunno ; yes ; yes ; yes 
 Version 6 Unix file system (V6FS) ; yes ; no ; no ; no ; no ; no ; dunno ; no 
 Version 7 Unix file system (V7FS) ; yes ; no ; no ; no ; no ; no ; dunno ; no 
 exFAT ; no ; no ; no ; partial (only if the file fits into one contiguous block range) ; no ; no ; no ; yes 
 FAT12 ; partial (only inside of compressed volumes) ; partial (only inside of Stacker 3/4 and DriveSpace 3 compressed volumes) ; no ; partial (only inside of compressed volumes) ; no ; no ; no ; yes (Linux) 
 FAT16/ FAT16B/ FAT16X ; partial (only inside of compressed volumes) ; partial (only inside of Stacker 3/4 and DriveSpace 3 compressed volumes) ; no ; partial (only inside of compressed volumes) ; no ; no ; no ; yes (Linux) 
 FAT32/ FAT32X ; no ; no ; no ; no ; no ; no ; no ; yes (Linux) 
 GFS ; yes ; no ; partialOnly for "stuffed" inodes ; no ; no ; no ; dunno ; yes 
 HPFS ; no ; no ; no ; yes ; no ; no ; dunno ; no 
 NTFS ; yes ; partial ; no ; yes ; no ; no ; dunno ; yes (NT 6.1 + newer) 
 HFS Plus ; no ; no ; no ; yes ; no ; no ; dunno ; yes (macOS) 
 FFS ; yes ; yes2 8:1Other block:fragment size ratios supported, 8:1 is typical and recommended by most implementations. ; no ; no ; no ; no ; dunno ; no 
 UFS1 ; yes ; yes2 8:1name=note-45 ; no ; no ; no ; no ; dunno ; no 
 UFS2 ; yes ; yes2 8:1name=note-45 ; no ; no ; yes ; no ; dunno ; yes 
 LFS ; yes ; yes2 8:1name=note-45 ; no ; no ; no ; no ; yes ; dunno 
 ext ; yes ; no ; no ; no ; no ; no ; no ; no 
 Xiafs ; yes ; no ; no ; no ; no ; no ; dunno ; dunno 
 ext2 ; yes ; noFragments were planned, but never actually implemented on ext2 and ext3. ; no ; no ; no ; no ; no ; yes 
 ext3 ; yes ; noname=note-47 ; no ; no ; no ; no ; no ; yes 
 ext4 ; yes ; noname=note-47 ; no ; yes ; no ; yes ; no ; yes 
 NOVA ; yes ; no ; no ; yes ; no ; no ; yes ; dunno 
 F2FS ; yes ; no ; no ; partial Stores one largest extent in disk, and caches multiple extents in DRAM dynamically. ; no ; yes ; yes ; yes 
 Lustre ; yes ; no ; no ; yes ; no ; yes ; dunno ; dunno 
 NILFS ; yes ; no ; no ; no ; no ; yes ; yes ; dunno 
 ReiserFS ; yes ; yesTail packing is technically a special case of block suballocation where the suballocation unit size is always 1 byte. ; yes ; no ; no ; no ; dunno ; dunno 
 Reiser4 ; yes ; yesname=note-73 ; yes ; yesIn "extents" mode. ; no ; yes ; dunno ; dunno 
 OCFS ; dunno ; no ; no ; yes ; no ; no ; dunno ; dunno 
 OCFS2 ; yes ; no ; no ; yes ; no ; no ; dunno ; dunno 
 XFS ; yes ; no ; no ; yes ; no ; yes ; yes, on request ; yes (Linux) 
 JFS ; yes ; yes ; no ; yes ; no ; no ; dunno ; yes (Linux) 
 QFS ; dunno ; yes ; no ; no ; no ; no ; dunno ; dunno 
 BFS ; dunno ; no ; no ; yes ; no ; no ; dunno ; yes (Haiku) 
 NSS ; dunno ; no ; no ; yes ; no ; yes ; dunno ; dunno 
 NWFS ; dunno ; yesEach possible size (in sectors) of file tail has a corresponding suballocation block chain in which all the tails of that size are stored. The overhead of managing suballocation block chains is usually less than the amount of block overhead saved by being able to increase the block size but the process is less efficient if there is not much free disk space. ; no ; no ; no ; no ; dunno ; dunno 
 ODS-5 ; dunno ; no ; no ; yes ; no ; no ; dunno ; dunno 
 VxFS ; yes ; dunno ; no ; yes ; no ; no ; dunno ; dunno 
 UDF ; yes ; no ; no ; yes ; no ; dunnoDepends on UDF implementation. ; yes, for write once read many media ; no 
 Fossil ; dunno ; no ; no ; no ; no ; no ; dunno ; dunno 
 ZFS ; yes ; yes ; no ; no ; yes ; yes ; yes ; yes (FreeBSD, illumos) 
 Btrfs ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 VMFS2 ; yes ; yes ; no ; no ; no ; no ; dunno ; dunno 
 VMFS3 ; yes ; yes ; no ; no ; no ; no ; dunno ; dunno 
 ReFS ; yes ; dunno ; dunno ; dunno ; no ; dunno ; yes ; dunno 
 ISO 9660 ; no ; no ; no ; yesISO 9660 Level 3 only ; no ; no ; no ; no 
 Rock Ridge ; no ; no ; no ; yesname=note-81 ; no ; no ; no ; no 
 Joliet ("CDFS") ; no ; no ; no ; yesname=note-81 ; no ; no ; no ; no 
 SquashFS ; yes ; no ; yes ; no ; no ; no ; no ; no 
 File system ;Sparse file ;Block suballocation ; Tail packing ; Extents ;Variablefileblock sizename=note-41 ; Allocate-on-flush ; Copy on write ; Trim support 
