Licence and version ;FSF approval ;GPL (v3) compatibility ;OSI approval ;Debian approval ;Fedora approval 
Academic Free License ; yes ; no ; yes ; no ; yes  
Affero General Public License 3.0 ; yes ; yes ; yes ; yes ; yes  
Apache License 1.x ; yes ; no ; yes ; yes ; yes  
Apache License 2.0 ; yes ; GPLv3 only ; yes ; yes ; yes  
Apple Public Source License 1.x ; No ; no ; yes ; no ; no  
Apple Public Source License 2.0 ; yes ; no ; yes ; no ; yes  
Artistic License 1.0 ; NoThe original version of the Artistic License is defined as non-free because it is overly vague, not because of the substance of the licence. The FSF encourages projects to use the Clarified Artistic License instead. ; no ; yes ; yes ; no  
Artistic License 2.0 ; yes ; yes ; yes ; yes ; yes  
 Beerware License ; see "informal licence" section ; see "informal license" section ; no ; no ; yes  
Original BSD license ; yes ; no ; yes ; yes ; yes  
Modified BSD license ; yes ; yes ; yes ; yes ; yes  
Zero-Clause BSD License ; ? ; ? ; yes ; ? ; ? 
Boost Software License ; yes ; yes ; yes ; yes ; yes  
CeCILL ; yes ; yes ; yes ; yes ; yes  
Common Development and Distribution License ; yes ; GPLv3 (GPLv2 disputed)Are GPLv2 and CDDL incompatible? on hansenpartnership.com by James E.J. Bottomley "What the above analysis shows is that even though we presumed combination of GPLv2 and CDDL works to be a technical violation, there's no way actually to prosecute such a violation because we can’t develop a convincing theory of harm resulting. Because this makes it impossible to take the case to court, effectively it must be concluded that the combination of GPLv2 and CDDL, provided you’re following a GPLv2 compliance regime for all the code, is allowable." (23 February 2016)GPL Violations Related to Combining ZFS and Linux on sfconservancy.org by Bradley M. Kuhn and Karen M. Sandler (February 25, 2016) ; yes ; yes ; yes  
Common Public License ; yes ; no ; yes ; yes ; yes  
Creative Commons Zero ; yes ; yes ; no ; partial ; yes  
Creative Commons BY-SA 4.0 ; yes ; GPLv3 ; ? ; yes ; ?  
Cryptix General License ; yes ; yes ; yes ; yes ; yes  
Eclipse Public License ; yes ; no ; yes ; yes ; yes  
Educational Community License ; yes ; yes ; yes ; no ; yes  
Eiffel Forum License 2 ; yes ; yes ; yes ; yes ; yes  
European Union Public Licence ; yes ; yes ; yes ; yes ; ?  
GNU Affero General Public License ; yes ; yes: "We use only licenses that are compatible with the GNU GPL for GNU software." ; yes ; yes ; yes  
GNU General Public License v2 ; yes ; noBut can be made compatible by upgrading to GPLv3 via the optional "or later" clause added in most GPLv2 license texts. ; yes ; yes ; yes  
GNU General Public License v3 ; yes ; yesBut not with GPLv2 without "or later" clause. ; yes ; yes ; yes  
GNU Lesser General Public License ; yes ; yes ; yes ; yes ; yes  
GNU Free Documentation License ; yes ; no ; yes ; no ; no  
IBM Public License ; yes ; no ; yes ; yes ; yes  
Intel Open Source License ; yes ; yes ; yes ; no ; no  
ISC license ; yes ; yes ; yes ; yes ; yes  
LaTeX Project Public License ; yes ; no ; yes ; yes ; yes  
Microsoft Public License ; yes ; no ; yes ; no ; yes  
Microsoft Reciprocal License ; yes ; no ; yes ; no ; yes  
MIT license / X11 license ; yes ; yes ; yes ; yes ; yes  
Mozilla Public License 1.1 ; yes ; no ; yes ; yes ; yes  
Mozilla Public License 2.0 ; yes ; yesMPL 2.0 is GPL compatible unless marked "Incompatible with Secondary Licenses". ; yes ; yes ; yes  
NASA Open Source Agreement ; no ; no ; yes ; ? ; no  
Netscape Public License ; yes ; no ; no ; no ; yes  
Open Software License ; yes ; no ; yes ; no ; yes  
OpenSSL license ; yes ; no ; no ; yes ; yes  
PHP License ; yes ; no ; yes ; yes ; yes  
Python Software Foundation License 2.0.1, 2.1.1 and newer ; yes ; yes ; yes ; yes ; yes  
Q Public License ; yes ; no ; yes ; no ; yes  
Reciprocal Public License 1.5 ; no ; no ; yes ; no ; no  
Sleepycat License ; yes ; yes ; yes ; yes ; yes  
Sun Industry Standards Source License ; yes ; no ; yes ; no ; yes  
Sun Public License ; yes ; no ; yes ; no ; yes  
Sybase Open Watcom Public License ; no ; no ; yes ; no ; no  
Unlicense ; yes ; yes ; yes ; dunno ; yes  
W3C Software Notice and License ; yes ; yes ; yes ; yes ; yes  
Do What The Fuck You Want To Public License (WTFPL) ; yesListed as WTFPL. ; yes ; no ; yes ; yes  
XFree86 1.1 License ; yes ; yes ; no ; no ; no  
zlib/libpng license ; yes ; yes ; yes ; yes ; yes  
Zope Public License 1.0 ; yes ; no ; no ; no ; yes  
Zope Public License 2.0 ; yes ; yes ; yes ; no ; yes  
