 ;Source code provided ;Ajax use ;Digital downloads ;eBay listing integration ;eBay order import ;Multiple skins ;Point of sale order management ;Subscriptions ;Taxation ;Template engine 
 Apache OFBiz ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 Bigcommerce ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes 
 Drupal Commerce ; yes ; yes ; yes ; no ; no ; yes ; yes ; yes ; yes ; yes 
 nopCommerce ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 Magento ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 pimcore ; yes ; yes ; yes ; no ; no ; 3rd party ; yes ; yes ; yes ; yes 
 OpenCart ; yes ; yes ; yes ; Add-on ; Add-on ; yes ; no ; yes ; yes ; yes 
 osCommerce ; yes ; yes ; yes ; 3rd party ; 3rd party ; yes ; yes ; yes ; yes ; yes 
 PrestaShop ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 Shopify ; no ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes 
 SupaDupa ; no ; yes ; no ; no ; no ; yes ; yes ; no ; yes ; yes 
 WooCommerce ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 Zen Cart ; yes ; yes ; yes ; no ; no ; yes ; no ; yes ; yes ; yes 
 ;Source code provided ;Ajax use ;Digital downloads ;eBay listing integration ;eBay order import ;Multiple skins ;Point of sale order management ;Subscriptions ;Taxation ;Template engine 
