 ;Guest account ;Customer testimonials ;Featured products ;Glossary, tool tip words ;Image enlarge ;Mini cart ;Multiple addresses ;Newest products ;Newsletter ;News ;Next-previous product links ;Polls ;Popular products ;Printing-friendly 
 Apache OFBiz ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 Batavi ; dunno ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yes ; no ; yes ; no ; yes ; no 
 Bigcommerce ; yes ; Add-on ; yes ; no ; yes ; no ; yes ; yes ; yes ; yes ; yes ; 3rd party ; yes ; no 
 Drupal Commerce ; yes ; yes ; yes ; Add-on ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; Add-on 
 KonaKart ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes 
 nopCommerce ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; no 
 Magento ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yes ; no ; no ; yes ; yes ; no 
 osCommerce ; Add-on ; Add-on ; Add-on ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; Add-on ; yes ; Add-on 
 OpenCart ; yes ; yes ; yes ; no ; yes ; 3rd party ; yes ; yes ; yes ; Add-on ; 3rd party ; no ; yes ; yes 
 pimcore ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 PrestaShop ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 Shopify ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 SupaDupa ; dunno ; no ; yes ; yes ; yes ; yes ; no ; no ; no ; yes ; yes ; no ; yes ; yes 
 WooCommerce ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 Zen Cart ; Add-on ; Add-on ; yes ; no ; yes ; no ; Add-on ; yes ; yes ; no ; yes ; no ; yes ; yes 
 ;Guest account ;Customer testimonials ;Featured products ;Glossary, tool tip words ;Image enlarge ;Mini cart ;Multiple addresses ;Newest products ;Newsletter ;News ;Next-previous product links ;Polls ;Popular products ;Printing-friendly 
