 ;Product image attaching ;Product rating ;Product reviews ;Quotes ;Reordering ;Returns ;Searching ;Search as user types ;Search cloud ;Site map, viewable ;Social bookmarking ;Tell friends ;Wish list 
 Apache OFBiz ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes 
 Batavi ; yes ; yes ; yes ; yes ; yes ; no ; yes ; no ; yes ; yes ; no ; yes ; yes 
 Bigcommerce ; yes ; 3rd party ; 3rd party ; no ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes 
 Drupal Commerce ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 KonaKart ; yes ; yes ; yes ; no ; yes ; yes ; yes ; no ; no ; no ; yes ; yes ; yes 
 nopCommerce ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 Magento ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 osCommerce ; no ; yes ; yes ; no ; no ; no ; yes ; Add-on ; no ; no ; yes ; yes ; no 
 pimcore ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 PrestaShop ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 Shopify ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; 3rd party ; 3rd party ; yes ; yes ; yes ; yes 
 SupaDupa ; yes ; no ; no ; yes ; yes ; no ; yes ; yes ; no ; yes ; no ; yes ; no 
 WooCommerce ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 Zen Cart ; yes ; yes ; yes ; yes ; no ; Add-on ; yes ; 3rd party ; no ; yes ; Add-on ; yes ; Add-on 
 ;Product image attaching ;Product rating ;Product reviews ;Quotes ;Reordering ;Returns ;Searching ;Search as user types ;Search cloud ;Site map, viewable ;Social bookmarking ;Tell friends ;Wish list 
