 ;Product import-export ;Statistics ;Stock control ;WYSIWYG editor 
 Apache OFBiz ; yes ; yes ; yes ; yes 
 Batavi ; yes ; yes ; yes ; yes 
 Bigcommerce ; yes ; yes ; yes ; yes 
 Drupal Commerce ; yes ; yes ; yes ; yes 
 KonaKart ; yes ; yes ; yes ; yes 
 Magento ; yes ; yes ; yes ; yes 
 nopCommerce ; yes ; yes ; yes ; yes 
 osCommerce ; add-on ; yes ; yes ; add-on 
 pimcore ; yes ; yes ; yes ; yes 
 PrestaShop ; yes ; yes ; yes ; yes 
 Shopify ; yes ; yes ; yes ; no 
 SupaDupa ; yes ; yes ; yes ; no 
 WooCommerce ; yes ; yes ; yes ; yes 
 Zen Cart ; add-on ; yes ; yes ; add-on 
 ;Product import-export ;Statistics ;Stock control ;WYSIWYG editor 
