 Name ; English ; Afrikaans ; Danish ; Dutch ; French ; German ; Italian ; Norwegian ; Polish ; Portuguese ; Russian ; Spanish ; Swedish 
 rh| Agelong Treea ; Yes ; Nob ; Nob ; Yes ; Yes ; Yes ; Yes ; Nob ; Yes ; dunno ; Yes ; Yes ; Nob 
 rh| Ahnenblattc ; Yes ; Nob ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; dunno ; Yes ; Yes ; Yes 
 rh| Ancestral Questd ; Yes ; Nob ; Yes ; Nob ; Yes ; Yes ; Nob ; Yes ; partial ; dunno ; No ; Yes ; partial 
rh| Ancestrise ; Yes ; Nob ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Nob ; Yes ; yes 
 rh|Brother's Keeper ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Nob ; Yes ; Yes ; dunno ; Yes ; Nob ; Yes 
 rh|Family Historian ; Yes ; No ; No ; No ; No ; No ; No ; No ; No ; dunno ; No ; No ; No 
 rh|Family Tree Builder ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; dunno ; Yes ; yes ; Yes 
 rh| Family Tree Maker (Windows) ; Yes ; No ; Yes ; No ; No ; No ; No ; No ; No ; dunno ; No ; No ; No 
 rh|Family Tree Maker for Mac ; Yes ; No ; No ; No ; No ; No ; No ; No ; No ; dunno ; No ; No ; No 
 rh|GEDitCOM II ; Yes ; No ; No ; No ; Yes ; No ; No ; No ; No ; dunno ; No ; Yes ; Yes 
 rh| Genbox Family Historyf ; Yes ; No ; Yes ; Yes ; Yes ; Yes ; Yes ; partial ; Yes ; dunno ; Yes ; partial ; partial 
 rh| GenealogyJ ; Yes ; No ; No ; Yes ; Yes ; Yes ; No ; No ; Yes ; dunno ; Yes ; Yes ; No 
 rh| GenoProgh ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; No ; Yes ; dunno ; Yes ; Yes ; Yes 
 rh|Grampsi ; Yes ; No ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; dunno ; Yes ; Yes ; Yes 
 rh| Heredis ; yes ; no ; no ; no ; yes ; yes ; no ; no ; no ; dunno ; No ; no ; no 
 rh| Legacy Family Tree ; yesj ; yes ; yes ; yes ; yes ; yes ; yes ; yesk ; no ; dunno ; No ; publictest ; yes 
 rh| LifeLines ; Yes ; no ; Yes ; no ; Yes ; Yes ; no ; no ; no ; dunno ; No ; no ; Yes 
 rh| MacFamilyTree ; Yes ; No ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; dunno ; Yes ; Yes ; Yes 
 rh|Personal Ancestral File ; (v4.x/5.x) ; No ; No ; No ; (v4.x) ; (v4.x/5.x) ; No ; No ; No ; dunno ; No ; (v4.x) ; (v5.x) 
 rh|Reunionl ; Yes ; No ; No ; Yesl ; Yesl ; Yesl ; No ; Yesl ; No ; dunno ; No ; No ; No 
 rh| RootsMagic ; Yes ; No ; No ; No ; No ; No ; No ; No ; No ; dunno ; No ; No ; No 
 rh|The Master Genealogist ; yesn ; yes ; yes ; yes ; yes ; yes ; partial ; yes ; nog ; dunno ; No ; nog ; yes 
webtrees ; yes ; No ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
