 ; GUI ; Console ; Software license ;Latest stable version ; Latest release date ; Windows ; Macintosh ; Linux 
 rh| HxD ; Yes ; No ; Proprietary (Freeware) ; 2.4.0.0 ; 28 ;Win95, WinNT4 and up ; no ; no 
 rh| 010 Editor ; Yes ; No ; Proprietary ; 10.0.1 ; 14 ; yes ; yes ; yes 
 rh| beye ; No ; Yes ; GPL ; 6.1.0 ; 12 ; yes ; yes ; yes 
 rh| bvi ; No ; Yes ; GPL ; 1.4.0 ; 07 ;DOS, Win95 and up ; yes ; yes 
 rh| Cheat Engine ; Yes ; No ; APL ; 6.8.1 ; 23 ; yes ; Yes, ver. 6.2 ; no 
 rh| GNU Emacs ; Yes ; Yes ; GPL ; 26.2 ; 12 ; yes ; yes ; yes 
 rh| FlexHex ; Yes ; No ; Proprietary (free for non-commercial use) ; 2.7 ; 12 ;Windows XP and up ; no ; no 
 rh| Frhed (Free Hex Editor) ; Yes ; No ; GPL ; 1.7.1 ; 30 ;Win98 and up ; no ; no 
 rh| Hiew ; No ; Yes ; Proprietary ; 8.68 ; 01 ; yes ; no ; no 
 rh| VEDIT ; Yes ; Yes ; Proprietary ; 6.24.2 ; 1 ; yes ; no ; no 
 rh| UltraEdit ; Yes ; No ; Proprietary ; 26.10 (Windows)  18.0 (Linux / Mac OS X)  ; 07  02 ; yes ; yes ; yes 
 rh| WinHex ; Yes ; No ; Proprietary ; 19.7 ; 19 ;Win95 and up ; no ; no 
 rh| vim ; Yes ; Yes ; GPL compatible ; 8.1.0000 ; 17 ; Yes ; Yes ; Yes 
