 Product ; Developer ; Pagination ; Rotation Lock ; Auto-scroll ; Progress indicator ; Backward/forward ; Table of Contents ; Bookmarks ; Resume ; Cloud synchronisation ; Go To ; Full text search 
 Apabi Reader ; Beijing Founder Apabi Technology Limited ; yes ; yes ; no ; In library and in-book ; yes ; yes ; Unlimited ; yes ; no ; yes ; yes 
 Blio ; K-NFB Reading Technology, Inc. ; yes ; no ; no ; In-book only ; yes ; yes ; Unlimited ; yes ; no ; yes ; yes 
 Bluefire Reader ; Bluefire Productions ; yes ; yes ; no ; In-book only ; yes ; yes ; Unlimited ; yes ; yes ; yes ; yes 
 DL Reader ; Datalogics, Inc ; yes ; yes ; no ; In-book only ; yes ; yes ; Unlimited ; yes ; no ; yes ; yes 
 eBookMobi ; Tien Thinh Vu ; yes ; support on iPad, portrait only on iPhone ; no ; In library and in-book ; yes ; yes ; Unlimited ; yes ; no ; yes ; no 
 Ebook Reader ; Ebooks.com Limited ; yes ; yes ; no ; In library and in-book ; yes ; yes ; Unlimited ; yes ; yes ; yes ; yes 
 i2Reader ; Yuriy Melyushin ; yes ; yes ; yes ; In-book only ; yes ; yes ; Unlimited ; yes ; no ; yes ; yes 
 iBooks ; Apple ; yes ; no ; Manual ; In-book only ; yes ; yes ; Unlimited ; yes ; yes ; yes ; yes 
 Kindle ; AMZN Mobile LLC ; yes ; yes ; no ; In library and in-book ; yes ; yes ; Unlimited ; yes ; yes ; yes ; yes 
 Kobo Reading App ; Kobo Inc. ; yes ; yes ; no ; In-book only ; yes ; yes ; Last place marker only ; yes ; yes ; yes ; no 
 KyBook Reader ; Konstantin Bukreev ; yes ; yes ; no ; In library and in-book ; yes ; yes ; Unlimited ; yes ; no ; yes ; yes 
KyBook 2 ;KonstantinBukreev| Konstantin Bukreev ; yes ; yes ; In library and in-book ; yes ; yes ; Unlimited ; yes ; yes ; yes ; yes ; yes 
 MapleRead ; Maplepop LLC ; yes ; yes ; no ; In library and in-book ; Configurable ; yes ; Unlimited ; yes ; yes ; yes ; yes 
 Marvin ; Appstafarian ; yes ; yes ; yes ; In library and in-book ; Configurable ; yes ; Unlimited ; yes ; Optional ; yes ; yes 
 MegaReader ; Inkstone Software, Inc. ; yes ; yes ; no ; In-book only ; yes ; yes ; Unlimited ; yes ; no ; yes ; no 
 PocketBook reader ; Obreey Products ; yes ; yes ; yes ; In-book only ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 ShuBook 2 ; Ambibma Ltd. ; yes ; yes ; no ; In library and in-book ; yes ; yes ; Unlimited ; yes ; no ; yes ; yes 
 SideBooks ; Tatsumi-system Co., Ltd. ; yes ; no ; no ; no ; yes ; yes ; yes ; yes ; no ; yes ; yes 
 Stanza ; Lexcycle ; Configurable ; yes ; no ; In library and in-book ; Configurable ; yes ; Unlimited ; yes ; no ; yes ; yes 
 uBooks XL ; Nix Solutions Ltd ; Mixed scrolling & pagination ; yes ; yes ; yes ; yes ; yes ; Unlimited ; yes ; yes ; yes ; yes 
 iBouquiniste ; Sandr ; yes ; yes ; no ; In-book only ; yes ; yes ; Unlimited ; yes ; yes ; yes ; yes 
 Product ; Developer ; Pagination ; Rotation Lock ; Auto-scroll ; Progress indicator ; Backward/forward ; Table of Contents ; Bookmarks ; Resume ; Cloud synchronisation ; Go To ; Full text search 
