 Product ; total # of formats ; .cbr/.cbz ; .chm ; .djvu ; .epub ; .fb2 ; .html ; .mobi ; .pdb ; .pdf ; .rtf ; .txt 
 Apabi Reader ; 3 ; no ; no ; no ; yes ; no ; no ; no ; no ; yes ; no ; yes 
 Blio ; 2 ; no ; no ; no ; yes ; no ; no ; no ; no ; yes ; no ; no 
 Bluefire Reader ; 2 ; no ; no ; no ; yes ; no ; no ; no ; no ; yes ; no ; no  
 DL Reader ; 2 ; no ; no ; no ; yes ; no ; no ; no ; no ; yes ; no ; no  
 eBookMobi ; 10+ ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 Ebook Reader ; 2 ; no ; no ; no ; yes ; no ; no ; no ; no ; yes ; no ; no 
 i2Reader ; 6+ ; no ; no ; no ; yes ; yes ; yes ; no ; no ; yes ; yes ; yes 
 iBooks ; 2 ; no ; no ; no ; yes ; no ; no ; no ; no ; yes ; no ; no 
 Kindle ; 2 ; no ; no ; no ; no ; no ; no ; yes ; no ; yes ; no ; no 
 Kobo Reading App ; 2 ; no ; no ; no ; yes ; no ; no ; no ; no ; yes ; no ; no 
 KyBook ; 8 ; yes ; yes ; yes ; yes ; yes ; no ; no ; no ; yes ; yes ; yes 
KyBook 2 ;16| 16 ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes 
 MapleRead ; 2 ; no ; no ; no ; yes ; no ; no ; no ; no ; yes ; no ; no 
 Marvin ; 2 ; yes ; no ; no ; yes ; no ; no ; no ; no ; no ; no ; no 
 MegaReader ; 1 ; no ; no ; no ; yes ; no ; no ; no ; no ; no ; no ; no 
 PocketBook reader ; 8+ ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; yes ; no ; yes 
 ShuBook 2 ; 5+ ; no ; no ; no ; yes ; no ; no ; no ; yes ; yes ; yes ; yes 
 SideBooks ; 2 ; yes ; no ; no ; no ; no ; no ; no ; no ; yes ; no ; no 
 Stanza ; 5+ ; yes ; no ; yes ; yes ; no ; no ; no ; yes ; yes ; no ; no 
 uBooks XL ; 5 ; no ; no ; no ; yes ; yes ; yes ; no ; no ; no ; no ; yes 
 iBouquiniste ; 5 ; no ; no ; no ; yes ; yes ; yes ; no ; no ; yes ; no ; yes 
 Product ; total # of formats ; .cbr/.cbz ; .chm ; .djvu ; .epub ; .fb2 ; .html ; .mobi ; .pdb ; .pdf ; .rtf ; .txt 
