 Product ; Free ; License 
 Apabi Reader ; yes ; 
 Blio ; partial (voices cost) ; 
 Bluefire Reader ; partial (Cloudshelf edition is free) ;  Proprietary 
 DL Reader ; yes ; 
 eBookMobi ; no ; 
 Ebook Reader ; yes ; Proprietary 
 i2Reader ; no ; 
 iBooks ; yes ; Proprietary 
 Kindle ; yes ; 
 Kobo Reading App ; yes ; 
KyBook &KyBook 2| KyBook / KyBook 2 ; yes ;Proprietary, partially OS 
 MapleRead ; partial (CX edition is free) ; 
 Marvin ; partial (ability to see more than one book in library cost) ; 
 MegaReader ; no ; 
 ShuBook 2 ; partial ; 
 SideBooks ; yes ; Proprietary 
 Stanza ; yes ; Proprietary 
 uBooks XL ; no ; 
 iBouquiniste ; no ; 
