 NativeError object ;  Trident ;  Gecko ;  WebKit ;  Presto 
 Called as function ; Called as function ; Called as function ; Called as function ; Called as function 
 EvalError (message) ; ? ; 1.0 ; yes ; ? 
 RangeError (message) ; ? ; 1.0 ; yes ; ? 
 ReferenceError (message) ; ? ; 1.0 ; yes ; ? 
 SyntaxError (message) ; ? ; 1.0 ; yes ; ? 
 TypeError (message) ; ? ; 1.0 ; yes ; ? 
 URIError (message) ; ? ; 1.0 ; yes ; ? 
 Called as constructor ; Called as constructor ; Called as constructor ; Called as constructor ; Called as constructor 
 new EvalError (message) ; ? ; 1.0 ; yes ; ? 
 new RangeError (message) ; ? ; 1.0 ; yes ; ? 
 new ReferenceError (message) ; ? ; 1.0 ; yes ; ? 
 new SyntaxError (message) ; ? ; 1.0 ; yes ; ? 
 new TypeError (message) ; ? ; 1.0 ; yes ; ? 
 new URIError (message) ; ? ; 1.0 ; yes ; ? 
 Properties ; Properties ; Properties ; Properties ; Properties 
 prototype ; ? ; 1.0 ; ? ; ? 
 Properties of prototype ; Properties of prototype ; Properties of prototype ; Properties of prototype ; Properties of prototype 
 constructor ; ? ; 1.0 ; ? ; ? 
 name ; ? ; 1.0 ; yes ; ? 
 message ; ? ; 1.0 ; yes ; ? 
