 Function object ;  Trident ;  Gecko ;  WebKit ;  Presto ;  Blink 
 Called as function ; Called as function ; Called as function ; Called as function ; Called as function ; Called as function 
 Function([[p1 [, p2 [, ...]],] body]) ; ? ; yes ; yes ; ? ; yes 
 Called as constructor ; Called as constructor ; Called as constructor ; Called as constructor ; Called as constructor ; Called as constructor 
 new Function([[p1 [, p2 [, ...]],] body]) ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
 Properties ; Properties ; Properties ; Properties ; Properties ; Properties 
 length ; ? ; 1.0 ; yes ; yes ; yes 
 prototype ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
 Properties of prototype ; Properties of prototype ; Properties of prototype ; Properties of prototype ; Properties of prototype ; Properties of prototype 
 length ; ? ; 1.0 ; yes ; ? ; yes 
 constructor ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
 toString() ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
 apply(thisArg, argArray) ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
 call(thisArg [, arg1 [, arg2 [, ...]]]) ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
 Properties of instances ; Properties of instances ; Properties of instances ; Properties of instances ; Properties of instances ; Properties of instances 
 length ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
 prototype ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
