 Array object ;  Trident ;  Gecko ;  WebKit ;  Presto ;  Blink 
 Called as function ; Called as function ; Called as function ; Called as function ; Called as function ; Called as function 
 Array([item1 [, item2 [, ...]]]) ; yes ; yes ; yes ; yes ; yes 
 Called as constructor ; Called as constructor ; Called as constructor ; Called as constructor ; Called as constructor ; Called as constructor 
 new Array([item1, item2 [, ...]]) ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
 new Array(len) ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
 Properties ; Properties ; Properties ; Properties ; Properties ; Properties 
 prototype ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
 Properties of prototype ; Properties of prototype ; Properties of prototype ; Properties of prototype ; Properties of prototype ; Properties of prototype 
 constructor ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
 toString() ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
 toLocaleString() ; 5.5 ; 1.0 ; yes ; 1.0 ; yes 
 concat([item1 [, item2 [,...]]]) ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
 join(separator) ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
 pop() ; 5.5 ; 1.0 ; yes ; 1.0 ; yes 
 push([item1 [, item2 [,...]]]) ; 5.5 ; 1.0 ; yes ; 1.0 ; yes 
 reverse() ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
 shift() ; 5.5 ; 1.0 ; yes ; 1.0 ; yes 
 slice(start, end) ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
 sort(comparefn) ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
 splice(start, deleteCount [, item1 [, item2 [, ...]]]) ; 5.5 ; 1.0 ; yes ; 1.0 ; yes 
 unshift([item1 [, item2 [, ...]]]) ; 5.5 ; 1.0 ; yes ; 1.0 ; yes 
 indexOf(searchElement[, fromIndex]) ; 9.0url-status=dead  ; 1.8 ; 522 ; 2.1 ; yes 
 lastIndexOf(searchElement[, fromIndex]) ; 9.0url-status=dead  ; 1.8 ; 522 ; 2.1 ; yes 
 filter(callback[, thisObject]) ; 9.0url-status=dead  ; 1.8 ; 522 ; 2.1 ; yes 
 forEach(callback[, thisObject]) ; 9.0url-status=dead  ; 1.8 ; 522 ; 2.1 ; yes 
 every(callback[, thisObject]) ; 9.0url-status=dead  ; 1.8 ; 522 ; 2.1 ; yes 
 map(callback[, thisObject]) ; 9.0url-status=dead  ; 1.8 ; 522 ; 2.1 ; yes 
 some(callback[, thisObject]) ; 9.0url-status=dead  ; 1.8 ; 522 ; 2.1 ; yes 
 reduce(callback[, initialValue]) ; 9.0url-status=dead  ; 1.9 ; 528 ; 2.5.22 ; yes 
 reduceRight(callback[, initialValue]) ; 9.0url-status=dead  ; 1.9 ; 528 ; 2.5.22 ; yes 
 Properties of instances ; Properties of instances ; Properties of instances ; Properties of instances ; Properties of instances ; Properties of instances 
 length ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
