 String object ;  Trident ;  Gecko ;  WebKit ;  Presto ;  Blink 
 Called as function ; Called as function ; Called as function ; Called as function ; Called as function ; Called as function 
 String([value]) ; yes ; yes ; yes ; yes ; yes 
 Called as constructor ; Called as constructor ; Called as constructor ; Called as constructor ; Called as constructor ; Called as constructor 
 new String([value]) ; 3.0 ; 1.0 ; yes ; 1.0 ; yes 
 Properties ; Properties ; Properties ; Properties ; Properties ; Properties 
 prototype ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
 fromCharCode([char0 [, char1 [, ...]]]) ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
 Properties of prototype ; Properties of prototype ; Properties of prototype ; Properties of prototype ; Properties of prototype ; Properties of prototype 
 constructor ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
 toString() ; 3.0 ; 1.0 ; yes ; 1.0 ; yes 
 valueOf() ; 3.0 ; 1.0 ; yes ; 1.0 ; yes 
 charAt(pos) ; 3.0 ; 1.0 ; yes ; 1.0 ; yes 
 charCodeAt(pos) ; 5.5 ; 1.0 ; yes ; 1.0 ; yes 
 concat([string1 [, string2 [, ...]]]) ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
 indexOf(searchString, position) ; 3.0 ; 1.0 ; yes ; 1.0 ; yes 
 lastIndexOf(searchString, position) ; 3.0 ; 1.0 ; yes ; 1.0 ; yes 
 localeCompare(that) ; 5.5 ; 1.0 ; yes ; 1.0 ; yes 
 match(regexp) ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
 replace(searchValue, replaceValue) ; 3.0 ; 1.0 ; yes ; 1.0 ; yes 
 search(regexp) ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
 slice(start, end) ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
 split(separator, limit) ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
 substring(start, end) ; 3.0 ; 1.0 ; yes ; 1.0 ; yes 
 toLowerCase() ; 3.0 ; 1.0 ; yes ; 1.0 ; yes 
 toLocaleLowerCase(comparefn) ; 3.0 ; 1.0 ; yes ; 1.0 ; yes 
 toUpperCase() ; 3.0 ; 1.0 ; yes ; 1.0 ; yes 
 toLocaleUpperCase() ; 3.0 ; 1.0 ; yes ; 1.0 ; yes 
 Additional properties of prototype ; Additional properties of prototype ; Additional properties of prototype ; Additional properties of prototype ; Additional properties of prototype ; Additional properties of prototype 
 substr(start, length) ; 4.0 ; 1.0 ; yes ; 1.0 ; yes 
 Properties of instances ; Properties of instances ; Properties of instances ; Properties of instances ; Properties of instances ; Properties of instances 
 length ; 3.0 ; 1.0 ; yes ; 1.0 ; yes 
