 Boolean object ;  Trident ;  Gecko ;  WebKit ;  Presto ;  Blink 
 Called as function ; Called as function ; Called as function ; Called as function ; Called as function ; Called as function 
 Boolean([value]) ; yes ; yes ; yes ; yes ; yes 
 Called as constructor ; Called as constructor ; Called as constructor ; Called as constructor ; Called as constructor ; Called as constructor 
 new Boolean([value]) ; 3.0 ; yes ; yes ; yes ; yes 
 Properties ; Properties ; Properties ; Properties ; Properties ; Properties 
 prototype ; 4.0 ; yes ; yes ; yes ; yes 
 Properties of prototype ; Properties of prototype ; Properties of prototype ; Properties of prototype ; Properties of prototype ; Properties of prototype 
 constructor ; 4.0 ; yes ; yes ; yes ; yes 
 toString() ; 4.0 ; yes ; yes ; yes ; yes 
 valueOf() ; 4.0 ; yes ; yes ; yes ; yes 
