 ; ; Trident ; EdgeHTML ; Gecko ; WebKit ; Blink ; KHTMLname=Kparts ; Presto 
 JPEG ; JPEG ; 3.0 ; yes ; 1.0 ; 85 ; yes ; yes ; 1.0 
 JPEG 2000 ; JPEG 2000 ; no ; no ; nopublisher=Mozilla ; droppedgroup=n ; no ; no ; no 
 JPEG XR ; JPEG XR ; 5.0date=2010-03-16 ; yes ; nopublisher=Mozilla ; no ; no ; no ; no 
 GIF ; GIF 89a ; 3.0 ; rowspan="2" yes ; 1.0 ; 85 ; rowspan="2" yes ; rowspan="2" yes ; 1.0 
 GIF ; GIF 87a ; 3.0 ; 1.0 ; 85 ; 1.0 
 PNG ; 1.2 ; 3.1 ; rowspan="3" yes ; 1.0 ; 85 ; rowspan="3" yes ; rowspan="3" yes ; 1.0 
 PNG ; 1.1 ; 3.1 ; 1.0 ; 85 ; 1.0 
 PNG ; 1.0 ; 3.1 ; 1.0 ; 85 ; 1.0 
 APNG ; APNG ; no ; no ; 3.0 ; 528 ; 59.0 ; no ; 9.5 
 BMP ; BMP ; yes ; yes ; yes ; yes ; yes ; yes ; 1.0 
 ICO ; ICO ; yes ; yes ; yes ; yes ; yes ; yes ; 1.0 
 TIFF ; TIFF ; 5.0 ; yes ; nopublisher=Mozilla ; no ; no ; yeslast=Faure ; no 
 WebP ; WebP ; no ; 17 title=WebP is supported in Edge ; table-experimentalpublisher=Mozilla ; 534.10publisher=WebKit ; yes ; no ; 2.8.131url-status=dead  
