 00000 ; Server OS support ; Server OS support ; Server OS support ; Features ; Features ; Features ; Features ; Features ; Features ; Features ; Features ; Features ; Features ; Features ; Features ; Storage ; Storage ; Users 
Mail server ; Linux/ Unix ;Windows ;Mac OS ; SMTP ; POP3 ; IMAP ; JMAP ; IMAP IDLE ; SMTP over TLS ;POP over TLS ;IPv6 ;SSL ; DANE ; Webmail ; ActiveSync ; Sieve ; Database ; Filesystem ; Other ; IDN/UTF8 ; License 
rh| agorum core ; yes ; yes ; no ; yes ; no ; yes ; dunno ; no ; no ; no ; no ; yes ; no ; yes ; no ; no ; yes ; no ; no ; Dunno ; GPLv2 
rh| Apache James ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; Dunno ; yes ; dunno ; no ; no ; yes ; yes ; yes ; no ; Dunno ; ASLv2 
rh| Axigen ; yes ; yes ; no ; yes ; yes ; yes ; dunno ; yes ; yes ; yes ; yes ; yes ; dunno ; Ajax, Basic & Mobile ; yes ; yes ; Proprietary, Embedded, Optimized for Email & Groupware ; yes ; yes ; yes ; Proprietary (free version: 5 domains, 5 users, 5 groups) 
rh| Citadel ; yes ; no ; yes ; yes ; yes ; yes ; dunno ; no ; yes ; yes ; yes ; yes ; dunno ; yes ; no ; yes ; yes ; no ; no ; Dunno ; GPLv3 
rh| CommuniGate Pro ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; yes ; yes ; yes ; yes ; yes ; dunno ; yes ; yes ; dunno ; yes ; yes ; yes  ; yes ; Proprietary (Free for up to 5 users) 
rh| Courier Mail Server ; yes ; no ; yes ; yes ; yes ; yes ; dunno ; yes ; yes ; yes ; yes ; yes ; no ; yes ; no ; maildrop ; no ; maildir ; no ; yes ; GPLv3See COPYING file in the distribution 
rh| Cyrus IMAP ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; no ; no ; yes ; yes (indexes) ; yes ; yes ; Dunno ; 4-clause BSD 
rh| Dovecot ; yesDovecot Operating System Compatibility. Retrieved on 2008-09-03. ; no ; yes ; yesDovecot Submisison Service. Retrieved on 2010-07-15. ; yes ; yes ; dunno ; yes ; yes ; yes ; yes ; yes ; dunno ; no ; no ; yes ; yes ; maildir, mbox, dbox ; no ; no ; Mixed: MIT and LGPL 2.1 
rh| Eudora Internet Mail Server ; no ; no ; yes ; yes ; yes ; yes ; dunno ; dunno ; no ; no ; dunno ; no ; dunno ; no ; no ; dunno ; no ; no ; yes ; Dunno ; Proprietary 
rh| Exim ; yes ; yes (via Cygwin) ; yes ; yes ; Dovecot, UW IMAP ; Dovecot, UW IMAP ; dunno ; Dovecot, UW IMAP ; yes ; no ; yes ; yes ; yes ; no ; no ; yes ; yes ; yes ; no ; yes ; GPLv2+See NOTICE file in the distribution 
rh| FirstClass ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; dunno ; yes ; yes ; Dunno ; yes ; dunno ; yes ; yes ; dunno ; yes ; yes ; yes ; Dunno ; Proprietary 
rh| Gordano Messaging Suite ; yes ; yes ; no ; yes ; yes ; yes ; dunno ; yes ; yes ; yes ; Dunno ; yes ; dunno ; yes ; yes ; no ; yes ; yes ; yes ; Dunno ; Proprietary 
rh| GroupWise ; yes ; yes ; no ; yes ; yes ; yes ; dunno ; dunno ; yes ; yes ; Dunno ; yes ; dunno ; yes ; yes ; dunno ; yes ; no ; no ; Dunno ; Proprietary 
rh| Halon ; yes ; no ; no ; yes ; no ; no ; dunno ; no ; yes ; no ; yes ; yes ; yesABOUTSELF=y ; no ; no ; dunno ; yes ; yes ; yes ; yes ; Proprietary 
rh| Haraka ; yes ; yes ; yes ; yes ; no ; no ; dunno ; no ; yes ; no ; yes ; yes ; dunno ; no ; no ; dunno ; yes ; yes ; yes ; yes ; MIT 
rh|hMailServer ; no ; yes ; no ; yes ; yes ; yes ; dunno ; yes ; yes ; yes ; yes ; yes ; dunno ; yes ; no ; dunno ; yes ; yes ; no ; no ; GNU AGPL 
rh| IBM Lotus Domino ; yes ; yes ; no ; yes ; yes ; yes ; dunno ; no ; yes ; yes ; yes ; yes ; no ; yes ; no ; dunno ; yes ; no ; no ; no ; Proprietary 
rh| IceWarp Mail Server ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; no ; yes ; yes ; no ; Dunno ; Proprietary 
rh| Ipswitch IMail Server ; no ; yes ; no ; yes ; yes ; yes ; dunno ; yes (since v12.2) ; yes ; yes ; Dunno ; yes ; dunno ; yes ; yes ; dunno ; no ; yes ; no ; Dunno ; Proprietary 
rh| Kerio Connect ; yes ; Yes ; Yes ; yes ; yes ; yes ; dunno ; yes ; yes ; yes ; yes ; yes ; dunno ; yes ; yes ; yes ; no ; yes ; no ; Dunno ; Proprietary 
rh| Kolab ; yes ; no ; no ; yes ; yes ; yes ; dunno ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; Dunno ; GPLv3 
rh| Kopano ; yes ; yes ; yes ; ExternalZarafa Collaboration Platform architecture diagram. Retrieved on 2011-12-10. ; yes ; yes ; dunno ; yes ; External ; yes ; yes ; yes ; no ; yes ; yes ; no ; yes ; yes ; Amazon S3 ; Dunno ; AGPLv3, paid 
