 Card family ; Standards organizations ; Varieties ; Entry date ; Maximum commercially available capacity ; PicturePictures are given in relative scales, they're sized to be WYSIWYG when viewing using 81 PPI monitor. ; Main features 
 CompactFlash ; SanDisk ; I ; 1994 ; 512GB (CF5 128*250 bytes) ;   ; Thinner (3.3mm), flash only, now up to 512GB, although standard goes up to 128PB since CF 5.0CompactFlash Association announces CF 5.0 standard supporting up to 128 PiB of storage  
 CompactFlash ; SanDisk ; II ; 1994 ; 512GB (CF5 128*250 bytes) ;   ; Thicker (5.0mm), older flash, but usually Microdrive, up to 128 PiB  
CFexpress ;CompactFlash Association ;1.0 ;2017 ;1TB ; ;XQD form factor (38.5 mm × 29.8 mm), PCIe 3.0 x2 (2,0 GB/s), NVMe 
CFexpress ;CompactFlash Association ; - ; - ; - ; - ;PCIe 3.0 x8 (8,0 GB/s), NVMe 
 SmartMedia ; Toshiba ; 3.3/5V ; 1995 ; 128MB ;   ; Very slim (45.0×37.0×0.76mm), no wear leveling controller, up to 128MB. This particular example shows the write protect sticker (the silver disc). 
 MultiMediaCard ; Siemens AG, SanDisk ; MMC ; 1997 ; 16GB ;   ; Slim and small (24×32×1.4mm), up to 16GB 
 MultiMediaCard ; Siemens AG, SanDisk ; RS-MMC/MMC Mobile ; 2003/2005 ; 16GB ;   ; Compact (24×18×1.4mm), up to 16GB 
 MultiMediaCard ; Siemens AG, SanDisk ; MMCplus ; 2005 ; 16GB ;   ; Compact (24×32×1.4mm), swifter, optional DRM, up to 16GB 
 MultiMediaCard ; Siemens AG, SanDisk ; MMCmicro ; 2005 ; 4GB ;   ; Subcompact (14×12×1.1mm), optional DRM, 16MB to 4GB 
 Secure Digital ; Panasonic, SanDisk, Toshiba, Kodak ; SD ; 1999 ; 4GB ;   ; Small (32×24×2.1mm), DRM, up to 4GB. (2GB and 4GB cards use larger block sizes and may not be compatible with some host devices. See Article) 
 Secure Digital ; Panasonic, SanDisk, Toshiba, Kodak ; miniSD ; 2003 ; 4GB ;   ; Compact (21.5×20×1.4mm), DRM, up to 4GB. (2GB and 4GB cards use larger block sizes and may not be compatible with some host devices. See Article) 
 Secure Digital ; Panasonic, SanDisk, Toshiba, Kodak ; microSD ; 2005 ; 4GB ;   ; Subcompact (15×11×1mm), DRM, up to 4GB. (2GB and 4GB cards use larger block sizes and may not be compatible with some host devices. See Article) 
 Secure Digital ; Panasonic, SanDisk, Toshiba, Kodak ; SDHC ; 2006 ; 32GB ;   ; Same build as SD but greater capacity and transfer speed, 4GB to 32GB (not compatible with older host devices). 
 Secure Digital ; Panasonic, SanDisk, Toshiba, Kodak ; miniSDHC ; 2008 ; 32GB ;   ; Same build as miniSD but greater capacity and transfer speed, 4GB to 32GB. 8GB is largest in early-2011 (not compatible with older host devices). 
 Secure Digital ; Panasonic, SanDisk, Toshiba, Kodak ; microSDHC ; 2007 ; 32GB ;   ; Same build as microSD but greater capacity and transfer speed, 4GB to 32GB.(not compatible with older host devices) 
