 Card ; Write protection switchhsp{{cite web ; url	=  ; title	= Write protection switch at All Memory Cards ; archiveurl	=  ; archivedate	= 2016-04-20 ; url-status	= dead  ; DRM 
 CompactFlash ; no ; no 
 SmartMedia ; partial, sticker ; partial (optional) 
 MMC, RS-MMC ; rowspan="2" no ; no 
 MMCMobile ; yes, secureMMC 
 SD ; yeshspSome early SD cards may not have a write protection switch.The write protect switch signals to the host, which is responsible for write protection. The write protect switch is not connected to the internal circuitry of the card. (SD Card Simplified Physical Layer Specification ) ; rowspan="3" yes, CPRM 
 miniSD ; no 
 microSD ; no 
 Memory Stick Standard, PRO ; yes ; optional, MagicGate 
 Memory Stick Duo, PRO Duo ; no ; optional, MagicGate 
 Memory Stick PRO-HG Duo ; no ; optional, MagicGate 
 Memory Stick Micro (M2) ; no ; optional, MagicGate 
 PS Vita Memory Card ; no ; yes, Proprietary 
 xD ; no ; partialhsp{{cite web ; url		=  ; title		= Fujifilm accessories xD-Picture Card ; archiveurl		=  ; archivedate		= July 11, 2007 ; url-status		= dead  
 USB ; Sometimes ; no 
