 Card ; CF ; CF ; CFast ; SM ; MMC ; MMC ; Memory Stick ; Memory Stick ; Memory Stick ; Memory Stick ; SDSC ; SDSC ; SDSC ; SDHC ; SDHC ; SDHC ; SDXC ; SDXC ; xD ; xD ; xD ; XQD 
 Card ; I ; II ;  ;  ; MMC ; RS-MMC, MMCmobile ; Std ; PRO ; PRO Duo ; Micro ; SDSC ; miniSD ; microSD ; SDHC ; miniSDHC ; microSDHC ; SDXC ; microSDXC ; Std ; M ; H ;  
 ExpressCard ; E ; E ;  ;  ; EDataFab EXP 12 in 2  ;  ; EDataFab exp 12 in 1  ; E ; E ;  ; E ; E ; EDataFab exp M2+microSD  ;  ;  ;  ;  ;  ; E ; E ; E ; EM 
 PCI Express Mini Card ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; EM 
 mSATA ;  ;  ; XM ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
 PC Card ; EM{{cite web|url= ; EM ;  ; E{{cite web|url=  ; E{{cite web|url= ;  ; E ; E ;  ;  ; E ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
 PCMCIA ; EM ; EM ;  ; E  ; E ;  ; E ; E ;  ;  ; E ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
 CF I ; + ; + ;  ; E ; E ;  ; E ; E ; E ;  ; E ;  ;  ;  ;  ;  ;  ;  ; EOlympus MACF-10 xD-to-CompactFlash adapter  ; E ; E ;  
 CF II ;  ; + ;  ; E ; E ;  ; E ; E ;  ;  ; E ;  ;  ;  ;  ;  ;  ;  ; E ; E ; E ;  
 CFast ;  ;  ; + ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
 SM ;  ;  ;  ; + ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; X ; X ; X ;  
 xD ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; EIn March 2008, Olympus started shipping the MASD-1 microSD-to-xD adapter along with its latest compact digital cameras, with a shape designed to fit only in those latest cameras.  The physical adapter is in fact purely electromechanical, although the xD and SD protocols are completely incompatible.  This demonstrates that the cameras themselves must understand the SD protocol, and thus the adapter is more properly termed an electronic adapter, with the electronic logic contained in the camera rather than the physical accessory. ;  ;  ;  ;  ;  ; + ; + ; + ;  
 XQD ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; + 
 MMC ;  ;  ;  ;  ; + ; M ;  ;  ;  ;  ; DSD cards are usually thicker than MMC ones, and although it uses perfectly compatible pins, not every MMC slot may allow thick SD card to be inserted ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
 MS ;  ;  ;  ;  ; X ;  ; + ; + ; M ; M ; X ; X ; EKingMax microSD to MS PRO Duo Adapterfix-attempted=yes  ;  ;  ;  ;  ;  ;  ;  ;  ;  
