 Client ; Primary developers ; Cost ; Software license ; User interface ; Programming language ; Computing platform ; Website 
 rh| AndroidChat{{cite book| title=The Rough Guide to Android Phones |last=Clare|first=Andrew|page=59 |publisher=Penguin |year= 2010 |url= ;  ; Free ; GNU GPL ; TUI, GUI ; Java ; Android ;  
 rh| Mobile Colloquy ; Kiji Roshi ; US$1.99 ; BSD License ; GUI ; Objective-C ; iOS ;  
 rh| fIRC ; Laurence Muller ; Free ; GNU GPL ; GUI ; Java ; Android ;  
 rh| Igloo ; Jordan Koch ; US$5.99 ; Proprietary ; GUI ; Swift ; iOS ;  
 rh| IRCCloud ; IRCCloud Ltd. ; FreemiumFree version is limited to: 2 connections outside their IRC server, 2 hours of persistent connection while idle (after the first 7 days), 100MB drag and drop file sharing, low-priority support, and no access to passworded servers. ; Apache 2.0 ; GUI ; Objective-C, Java ; iOS, Android ;  
 rh2| jmIrc  ; Juho Vähä-Herttua ; Free ; GNU GPL ; GUI ; Java ; Java ME ;  
 rh2| k-IRC ; Armond Avanes ; Free ; GNU GPL ; GUI ; Java ; Java ME ;  
 rh| microirc ;  ; Free ; GNU GPL ; GUI ; C ? ; Windows Mobile 5 (and above) ;  
 rh2| Revolution IRC ; MCMrARM  ; Free ; GNU GPL ; GUI ; Java ; Android ;  
 rh2| Virca ;  ; Free ; GNU GPL ; TUI ; Java ; Java ME ;  
 rh|  wIRC ;  ; Free ; GNU GPL ; GUI ; C & JavaScript ; WebOS ;  
 rh| WLIrcWLIrc ; Sverre Kristian Valskrå ; Free ; GNU LGPL ; GUI ; Java ; Java ME ;  
 rh| YaaicYaaic ; Sebastian Kaspari ; Free ; GNU GPL ; GUI ; Java ; Android ;  
 rh| Simple IRC ; The Linux Geek ; Free ; GNU GPL ; GUI ; Java ; Android ;  
 rh| zsIRCzsIRC ; Gargaj ; Free ; 3-clause BSD ; GUI ; C++ ; Windows Mobile ;  
 Client ; Primary developers ; Cost ; Software license ; User interface ; Programming language ; Computing platform ; Website 
