 Client ; First public release ; First public release ; First stable release ; First stable release ; Latest stable release 
 Client ; Date ; Version ; Date ; Version ; Latest stable release 
 rh| AndroidChat ; 2008 ;  ;  ;  ; Latest stable software release/AndroidChat 
 rh| Colloquy (software) ; January 28, 2009 ; 1.0 ;  ;  ; Latest stable software release/Colloquy 
 rh| fIRC ; December 22, 2008 ; 0.1.0 ;  ;  ; Latest stable software release/fIRC 
 rh2| jmIrc ; May 14, 2004 ; 0.60 ;  ;  ; Latest stable software release/jmIrc 
 rh2| k-IRC ; August 20, 2002 ; 1.0 ;  ;  ; Latest stable software release/k-IRC 
 rh2| Revolution IRC ; August 25, 2017 ; 0.2.0 ;  ;  ;  
 rh2| Virca ; 2003 ; 0.0.1 ;  ;  ; Latest stable software release/Virca 
 rh|  wIRC ;  ;  ;  ;  ; Latest stable software release/wIRC 
 rh| WLIrc ; September 15, 2003 ; 0.90 ;  ;  ; Latest stable software release/WLIrc 
 rh| Yaaic ; March 14, 2010 ; 0.1 ;  ;  ; Latest stable software release/Yaaic 
 rh| Simple IRC ; November 18, 2016 ; 1.0 ;  ;  ; Latest stable software release/Simple IRC 
 rh| zsIRC ; June 13, 2006 ;  ;  ;  ; Latest stable software release/zsIRC 
 Client ; Date ; Version ; Date ; Version ; Latest stable release 
 Client ; First public release ; First public release ; First stable release ; First stable release ; Latest stable release 
