 Client ; Multi-server ; UTF-8 ; Proxy server ; irc:// URI scheme ; Automatic updates ; Scripting language ; Push notifications 
 rh| AndroidChat ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh| Mobile Colloquy ; yes ; yes ; no ; yes ; yes ; no ; yes 
 rh| fIRC ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 rh2| jmIrc ; no ; yes ; yes ; no ; no ; yes ; dunno 
 rh2| k-IRC ; no ; no ; no ; no ; no ; no ; dunno 
 rh2| Revolution IRC ; yes ; yes ; no ; dunno ; no ; no ; yes 
 rh2| Virca ; dunno ; yes ; dunno ; dunno ; no ; dunno ; dunno 
 rh|  wIRC ; dunno ; dunno ; yes ; dunno ; dunno ; dunno ; dunno 
 rh| WLIrc ; dunno ; no ; dunno ; dunno ; no ; dunno ; dunno 
 rh| Yaaic ; yes ; yes ; no ; no ; yes ; no ; dunno 
 rh| Simple IRC ; yes ; yes ; no ; no ; no ; no ; yes 
 rh| zsIRC ; yes ; yes ; no ; no ; yes ; no ; dunno 
 Client ; Multi-server ; UTF-8 ; Proxy server ; irc:// URI scheme ; Automatic updates ; Scripting language ; Push notifications 
