 Feature ; Android ; iOS ; Tizen ; Sailfish OS ; Ubuntu Touch 
Audio playback ;AAC LC/LTP 3GPP, HE-AACv1 (AAC+), HE-AACv2 (enhanced AAC+) AMR-NB, AMR-WB, MP3, MIDI (Type 0 and 1, DLS versions 1 and 2), Ogg Vorbis, PCM/WAVE, FLAC, WAVE, Opus;AAC, protected AAC (from iTunes Store), HE-AAC, MP3, MP3 VBR, Audible (formats 2, 3, 4, Audible Enhanced Audio, AAX, and AAX+), Apple Lossless, AIFF, WAV; AAC, AAC+, eAAC+, AMR-NB, AMR-WB, MP3, Vorbis, WAVSupported Multimedia Formats ;MP3, FLAC, AAC, eAAC, eAAC+, ALAC, AC3, DTS, Opus, Vorbis;? 
Video playback ;H.263, H.264 (up to Baseline Profile), H.265 HEVC, MPEG-4 SP, DivX, XviD, VP8, VP9 (WMV on 3rd party software like  VLC media player);H.264 (up to High Profile), MPEG-4, M-JPEG; H.263, H.264, MPEG-4 Part 2;MPEG-4, H264, H263,What codecs (audio or video) are hardware accelerated? – together.jolla.com  although audio in recorded videos is out of syncA comment in What codecs (audio or video) are hardware accelerated? – together.jolla.com ;? 
Wired video out ;4K on 6+;Up to 1080p via HDMI or VGA, 576p/480p via component or composite,;No;NoAny video output possibility? ;Yes 
Wired digital audio output ;5+ USB AudioAndroid 5.0 Lollipop Features List: What's new? ;7+: USB AudioiOS 7 expands digital USB audio use with iPhone/iPod Touch ;No;No;Yes 
Wireless video/audio streaming to set top boxes/TVs/speakers ;4.2+ Miracast, but DLNAAndroid Issue 11412: Support DLNA in media player . code.google.com (2010-09-22). Retrieved on 2012-07-03. only available on selected devices;AirPlay;DLNAPlay media file in Samsung Wave from PC / Remote Media Server (AllShare-DLNA) . Youtube.com (2011-02-18). Retrieved on 2012-07-03.;?;Yes 
Media player on-device playlist creation ;YesAndroid 101: How To Create a Playlist . Youtube.com (2011-04-08). Retrieved on 2012-07-03.;Yes;?;Yes;Yes 
Media player video scrubbing ;Yes;Yes;?;?;? 
Media player audio scrubbing ;Yes;Yes;?;?;? 
Media player fine scrubbing ;No2 No, 3rd party software like VLC media player, basic fine scrubbing removed on 4+;Yes;?;?;? 
Media player double speed playing ;6+PlaybackParams | Android Developers ;Only Podcast;?;?;? 
