 Name ; Organizing principle(s) ; Outline bulleting with indent ; Tabbed sections ; Sync ; PDF annotate and save[unclear]  ; Whiteboard ; Ink-pen input ; Handwriting recognition ; Spell check ; Search ; Replace ; Printing ; File save/export/import formats 
 AllMyNotes Organizer ; Tree ; Yes ; No ; Yes ; No ; No ; No ; No ; Yes ; Yes ; Dunno ; Yes ; Proprietary, encrypted, import: plain text, RTF, CSV, images, HTML, exports: plain text, HTML, RTF, images 
 BasKet Note Pads ; Tree, tags ; Dunno ; No ; No ; No ; Yes ; No ; No ; Yes ; Yes ; Dunno ; No ; Rich text, export as HTML, import text files 
 CintaNotes ; Notebooks, sections, tags ; Yes ; Yes ; Yes ; No ; No ; No ; No ; No ; Yes ; Dunno ; Yes ; Proprietary, export to Unicode text, XML and HTML 
 ConnectedText ; Wiki, Tree and Categories ; Yes ; Yes ; No ; No ; No ; No ; No ; Yes ; Yes ; Dunno ; Yes ; Proprietary (SQL), Export to text, XML, CHM and HTML. Import from text, HTML, XML and RTF 
 Day One ; Chronological, tag ; Yes ; No ; YesData is synced between devices by Dropbox or iCloud. ; No ; No ; No ; No ; Yes ; Yes ; Dunno ; YesPrintable via exported pdf files. ; Markdown (in GUI), XML (data file), Export as: pdf, txt, md 
 Evernote ; tags, Notebooks, Stacks ; Yes ; No ; Yes ; Yes ; No ; PartialNo support for ink notes in Mac version. Cannot mix ink with text ; Yes ; Yes ; Yes ; Dunno ; Yes ; Notes stored as XML, both free and paid versions allow notes of any file type 
 Gnote ; Notebooks ; Dunno ; No ; Yes ; Yes ; No ; Dunno ; Dunno ; Yes ; Yes ; Dunno ; Yes ; NoteXmlFormat, HTML, PDF 
 Google Keep ; tags, colors ; No ; No ; Yes ; No ; Yes ; No ; Dunno ; partialOn android and Chrome OS uses platform's spell checker. ; Yes ; Dunno ; No ; Proprietary, export to Google Doc and thence to PDF, Word, ODT etc. 
 KeyNote NF ; Notebooks, notes and tree ; Yes ; Yes ; No ; No ; No ; No ; No ; Yes ; Yes ; Dunno ; Yes ; Internal: combination of TXT and RTF, import/export: TXT, RTF, HTML, Treepad 
 Memonic ; Dunno ; Dunno ; No ; Yes ; Yes ; No ; No ; Dunno ; Dunno ; Dunno ; Dunno ; Yes ; Notes stored as XML, can attach any filetype 
 Microsoft OneNote ; Notebooks, sections, pages ; Yes ; Yes ; YesAll versions can sync with OneDrive and SharePoint. Versions later than Office 2016 can only use online notebooks and cannot use local notebooks. ; YesOneNote 2010 and OneNote 2007 Service Pack 2 and beyond have it built in. A Save As PDF add-in is available for earlier versions of OneNote 2007. Can save to PDF with add-in. ; Yes ; Yes ; Yes ; Yes ; Yes ; No ; Yes ; Open, XML, import from web pages and other applicationsdate=August 2014 
 MyInfo ; Tree, tags, custom attributes ; Yes ; Yes ; No ; Yes ; No ; No ; No ; Yes ; Yes ; Yes ; Yes ; Proprietary, encrypted, import: plain text, RTF, CSV, MS Word, images, web pages, exports: plain text, HTML, RTF, CSV, MS Word 
 MyNotex ; Dunno ; Dunno ; Dunno ; Yes ; No ; No ; No ; No ; Dunno ; Yes ; Dunno ; Yes ; Sqlite based, zipped attachments, export to HTML, copying as LaTeX, import text files, OpenOffice.org documents 
 Okular ; Dunno ; Dunno ; Dunno ; No ; YesSaved in separate file. ; No ; No ; No ; Dunno ; Dunno ; Dunno ; Yes ; PDF, PS, TIFF, CHM, DjVu, DVI, XPS, ODF, others, export PDF+notes for sending to other Okular users 
 Open-Sankoré ; tree, notebooks ; No ; No ; No ; Yes ; Yes ; Yes ; No ; No ; No ; Dunno ; Yes ; Save/export: PDF, IWB, UBZ, Import: PDF, IWB, UBZ, images, image directories 
 Org-mode (Emacs) ; tree, tags ; Yes ; Yes ; Yes ; Yes ; No ; No ; No ; Yes ; Yes ; Dunno ; Yes ; LaTeX, HTML, DocBook, Taskjuggler, PDF, Freemind, XOXO, iCalendar 
 Outline ; Tree-structured notebooks, sections, pages ; Yes ; Yes ; YesNotes can be synced between devices via Box, Dropbox, OneDrive, SharePoint and iCloud. ; Yes ; No ; Yes ; No ; Yes ; Yes ; Dunno ; Yes ; MS OneNote format, export/import as PDF 
 PDF Studio ; Dunno ; Dunno ; Dunno ; Dunno ; Yes ; No ; Dunno ; Dunno ; Dunno ; Dunno ; Dunno ; Yes ; PDF 
 Personal Knowbase ; tag ; Dunno ; Dunno ; Dunno ; No ; No ; Dunno ; Dunno ; Dunno ; Dunno ; Dunno ; Yes ; Export to RTF, HTML, TXT, CSV 
 Qiqqa ; tag, brainstorm ; No ; No ; Yes ; Yes ; No ; Yes ; No ; No ; Yes ; Dunno ; Yes ; Proprietary, PDF, Brainstorm, export to RTF and Word 
 Simplenote ; tag ; Yes ; No ; Yes ; No ; No ; No ; No ; Yes ; Yes ; Dunno ; Yes ; Export to XML 
