 Name ; Description/Focus ; Registered user ; Alexa ranking ; Free ; Premium ; Supports same-sex connections ; Supports non-monogamous connections ; Messaging other users ; STD-notification ; background checks 
 Adam4Adam ; Connects men with men "for friendship, romance, or a hot hookup". ;  ; 9829 ; Partial ; Yes ; Yes (exclusively) ; ? ; Free ; YesAdam4adam having STD notification ;  
 Adult FriendFinder ; Members can connect with other adult members based on profiles. ; 30,000,000,as of 2006 ; 2944 ; Partial ; Yes-No, Free users cannot respond to contact and cannot initiate contact. Paid users have added benefits. ; Yes ; Yes ; Nonfree ; ;  
 AnastasiaDate ; Connects Western men with women from Russia and former Soviet Republics – CIS ; 4,000,000,as of 2013date=May 2020 ; 38225 ; Nonfree ; Yes ; Yes ; ? ; Nonfree ; ;  
 Ashley Madison ; Members are matched up with other married adult members based on profiles. ; 17815000,as of February 2013 ; 10615 ; Partial ; Yes-No, Free users can view profiles and respond to contact but cannot initiate contact. Paid users have added benefits. ; Yes ; Yes ; Nonfree ; ;  
 Badoo ; Badoo enable users to meet new people in their area for chat, dating or to make new friends. Available in 44 languages on the web and on 12 different mobile platforms. ; 403600000as of Oct 2018 ; 1454 ; Partial ; Yes-No, Charge for higher prominence, higher limits, invisibility, etc. ; Yes ; ? ; Partial ; ;  
 BeautifulPeople.com ; Dating website where membership is based on a vote, in which existing members rate how attractive they perceive prospective members to be. ; 800,000as of 2015date=2015-03-05 ; 236914 ; Partial ; Yes, free profile but subscription required for most features including messaging. ; Yes ; ? ; Nonfree ; ;  
 Bumble ; Dating app where women send the first message (for heterosexual matches) ; 22,000,000as of 2017 ; 19208 ; Free ; yes ; yes ; ? ; Yes, after mutual match. (In heterosexual matches, messaging can only be initiated by woman.) ; ;  
 Christian Connection ; For Christian singles from the UK, Ireland, Australia, New Zealand, USA, Canada and Singapore ; ; 18327 ; Partial, Free trial. Free basic profile members can still see photos, edit profiles, search, use discussion boards. ; Yes-No, Free basic profile members can still see photos, edit profiles, search, use discussion board. Paid members can freely message, start discussion thread, no daily limit of discussion board entries. ; yes ; ; Yes-No Basic profile members can messaging other users with pre-set replies. ; ;  
 ChristianMingle ; Dating site that caters to Christian singles. Members may choose whether to specify the Christian denomination to which they belong.  ;12,000,000 as of 2019 ; 27587 ; Nonfree ;  ; Yes ; ? ; Nonfree ; ;  
 Coffee Meets Bagel ; App providing daily curated matches based on Facebook connections ; ; 208421 ; Free ; Yes-No: "Beans" (in-app currency) unlock extra features, such as matching with users who aren't in your curated list. Premium membership enables activity reports, read receipts, extra beans. ; Yes ; ; Free ; ;  
 Compatible Partners ; eHarmony's service for same-sex relationships ; ; 434220 ; Nonfree ; Yes ; Yes (exclusively) ; ? ; Nonfree ; ;  
 Cupid.com ; Dating website for people who are looking for romantic relationships. Cupid.com is owned by NSI Holdings Ltd. ; 8000000as of 2016date=July 2018 ; 96226 ; Partial ; Yes-No, Free: registration, profile, search, pictures uploading, send and receive winks, chat rooms, promo activities. VIP users can send and reply to mails, view full-size personal photos ; Yes  ; No ; Nonfree ; ;  
 DateMySchool ; Dedicated to verified college students and alumni (via education database). Strong emphasis on privacy and safety. Can block by departments and schools. Members only see intersection of what they are looking for and what other members are looking for. ; 179000as of 2013 ; 796871 ; Partial ; Yes-No, All users can view profiles. Free messaging and status posting for undergraduates (5 messages/day limit). Alumni cannot initiate or respond to contact or post status updates. All Paid users can message and post and they also have added benefits. ; Yes ; ? ; Partial ; ;  
 DNA Romance / SingldOut ; Web App providing curated matches based on "chemistry attraction", personality compatibility and you also see a photograph. SingldOut has changed its web address DNA-Romance.com. ; ; 1578369 ; Partial ; Yes, free profile. ; Yes,  ; ? ; Free ;  
 eHarmony ; Dating site based upon pre-screening using personality test. ; ; 21115 ; Partial ; Yes, free profile but subscription required for most features including messaging. ; Yes, via their Compatible Partners brand ; ? ; Nonfree ; ;  
 Gaydar ; Profile-based dating website for gay and bisexual men, women, and couples. ; ; 923130 ; free: chat and search. ; Yes-No ; Yes (exclusively) ; ? ; Free ; ;  
 GayRomeo / PlanetRomeo ; Worldwide social network, instant messaging and dating community for gay, bisexual and transgender men. ; 6740000 registered and 1107000 active (last 6 weeks) ; 707590 ; Free: communication, profile and picture views, search engine ; Yes-No: video downloads, higher database limits, deactivation of advertising ; Yes (exclusively) ; ? ; Free ;  
 Gleeden ; Social network, instant messaging and dating community for extra-marital relationships. ; ; 73043 ; Nonfree: Costs credits to send and read messages unlimited number of times to one user ; Yes-No: Premium gives higher database limits, deactivation of advertising ; Yes ; ? ; Nonfree ; ;  
 Grindr ; Geosocial networking application based on Android and iOS. ; 3,600,000daily active users as of 2018accessdate=2018-07-06  ; 77133 ; Free ; Yes ; Yes (exclusively) ; Yes ; Free ; YesGrindr having STD notification ;  
 Her ; Geosocial networking application based on Android and iOS with Facebook integration. Men are not allowed to create profiles on the platform. ; ; 9365703 ; Free ; Free ; Yes (exclusively) ; ? ; ; ;  
 Hily ; Mobile dating site ;15000000as of 2020 ; 255415 ; Free ; yes ; yes ; Yes (but preliminary heterosexual) ; Yes (after the match) ; ;  
