  ; Google Play Music ;YouTube Music ; iBroadcast ; iTunes Match ; VOX Music Cloud 
 Owner: ; Google LLC ;YouTube LLC (Google LLC) ; iBroadcast Media, LLC ; Apple Inc. ; Coppertino Inc. 
 Launch date: ; 2011-05-10 (beta)Google Launches 'Music Beta,' a Streaming Cloud Service for Tunes, Wired News, 2011-05-10 ;2015-11-12 ; 2012-06-15We have released v.1.0 of the iBroadcast Android app. It is available now on Google Play., iBroadcast Facebook page, 2012-06-15 ; 2011-10-12 ; 2015-04-15Coppertino Launches New LOOP Music Locker, MacRumors, 2015-04-15 
 Web player: ; yesSystem requirements and country availability, Google Play Help ; yes ; yes ; no ; no 
 Windows player: ; Chrome ; Chrome ; no ; yes ; no 
 Android player: ; yes ; yes ; yes ; yes ; no 
 iOS player: ; yesGoogle Play Music arrives for iOS, CNET,November 15, 2013 ; yes ; yes ; yes ; yesVox Plays Any Music File on iOS, Streams Music from a New Music Locker, CNET,April 15, 2015 
 Windows Phone player: ; no ; no ; no ; no ; no 
 Other listening platforms: ; Android TV, Apple TV, other AirPlay, Chromecast, SonosPlay. Amplified. Introducing Google Play and Sonos ;Amazon Alexa, Google Home, Sonos, Chromecast, Android TV, Android Auto ; ; Apple TV, other AirPlay ; macOS, Apple TV via AirPlay, Chromecast, SonosPlay Lossless with Sonos via VOX 
Free space:Purchased music files from associated music store do not count toward space limits. ; 50,000 filesGoogle Play Music Increases Cloud Storage Limit To 50,000 Songs, Techcrunch ; 100,000 files{{Cite web|title=Upload your music - YouTube Music Help|url= ; no limit ; NoneiCloud storage plan overview, Apple.com 
 Upload software: ; Windows, macOS, Linux,Install the Google Play Music Manager, Google Play Help any web browserGoogle Play Music finally lets you upload songs through the browser, The Verge ;Any web browser ; Windows, any web browser ; Windows, macOS ; VOX Player for Mac, any web browser 
 Filetypes uploaded: ; MP3 ;AAC ; MP3, AAC, OGG, FLAC, PCM, MKA ; MP3 and AAC ; FLAC, MP3, AAC, M4A, WAV, OGG, AIFF, WMA, APE, ALAC  
 Filetypes transcoded: ; Transcoded to 320 kbit/s MP3:AAC, ALAC, FLAC,Google Play Music transcoding of FLAC to MP3 only supported with 16 and 24-bit stereo or mono FLAC. WMA,Google Play Music only supports WMA transcoding on Windows with Music Manager. OGGGoogle Play Music supported file types, Google Play Help ;Transcoded to  256 kbit/s AAC:  FLAC, M4A, MP3, OGG, WMA ; ; Transcoded to 256 kbit/s AAC:ALAC, WAV, AIFF ; None 
 Maximum file size: ; 300 MBStorage limits, Google Play Help ; ;  ; 200 MB or 2 hoursiTunes Store: Subscribing to iTunes Match, Apple.com ; No limit 
 Premium service name: ; None ;YouTube Music Premium YouTube Premium ; None ; iTunes MatchiTunes Match, Apple.com ; Loop Music Cloud Storage 
 Premium service features: ; Matching included in basic featuresGoogle Music's Free Scan and Match Feature Comes to the U.S. ;Ads-free, background play, download music offline, use audio-only mode, travel with YouTube Music, shuffle downloads, Apple Carplay & Android Auto compatibility{{Cite web|title=Explore YouTube Music Premium benefits - YouTube Music Help|url= ; N/A ; Match/importupto 100,000 filesIn the United States and Australia, iTunes Match also gets you ad-free iTunes Radio listening.Apple support page showing 100,000 track limit ; Unlimited storage and playback 
 Premium annual cost: ;  ;$119.88 (YouTube Music Premium)  $143.88 (YouTube Premium) ; N/A ; $24.99 (US), £21.99 (UK), €24.99 (FR), $39.99 (AU) ; $131.88 
 Matchable file types: ; MP3, AAC, ALAC, FLAC, Ogg, WMA ;  ; MP3, AAC, AIFF, ALAC, WAV ; No matching feature 
 Result for matched song: ; 320 kbit/s CBR MP3Google Play Music enables scan and match in Europe ahead of US launch, The VergeMatching feature on the Google Play Music Manager, Google Play Help ;  ; 256 kbit/s AAC ; No matching feature 
 Premium service countries: ; 63Our new music matching feature gets your songs into your online music library on Google Play much faster. We’ll scan your collection and quickly rebuild it in the cloud - all for free., Google Play on Google+, 18 Dec 2012Country availability for apps & digital content ; 94 (YouTube Music Premium){{Cite web|title=Paid memberships available locations - YouTube Help|url=  95 (YouTube Premium) ; 117iTunes in the Cloud and iTunes Match Availability, Apple Support ; Worldwide 
